field,ra,dec
SPLUS-d331,106.4041667,-37.73611111
SPLUS-d334,111.725,-37.73611111
SPLUS-d335,113.4958333,-37.73611111
SPLUS-d336,115.2708333,-37.73611111
SPLUS-d338,118.8166667,-37.73611111
SPLUS-d340,122.3625,-37.73611111
SPLUS-d341,124.1375,-37.73611111
SPLUS-d342,125.9125,-37.73611111
SPLUS-d343,127.6833333,-37.73611111
SPLUS-d344,129.4583333,-37.73611111
SPLUS-d345,131.2333333,-37.73611111
SPLUS-d346,133.0041667,-37.73611111
SPLUS-d347,106.7333333,-39.10722222
SPLUS-d348,108.5416667,-39.10722222
SPLUS-d349,110.35,-39.10722222
SPLUS-d350,112.1625,-39.10722222
SPLUS-d351,113.9708333,-39.10722222
SPLUS-d353,117.5875,-39.10722222
SPLUS-d356,123.0166667,-39.10722222
SPLUS-d357,124.825,-39.10722222
SPLUS-d358,126.6333333,-39.10722222
SPLUS-d359,128.4416667,-39.10722222
SPLUS-d360,130.25,-39.10722222
SPLUS-d361,132.0583333,-39.10722222
SPLUS-d363,107.075,-40.47611111
SPLUS-d364,108.925,-40.47611111
SPLUS-d366,112.6166667,-40.47611111
SPLUS-d367,114.4625,-40.47611111
SPLUS-d372,123.6916667,-40.47611111
SPLUS-d374,127.3833333,-40.47611111
SPLUS-d375,129.2291667,-40.47611111
SPLUS-d376,131.075,-40.47611111
SPLUS-d377,132.925,-40.47611111
SPLUS-d378,134.7708333,-40.47611111
SPLUS-d379,107.4333333,-41.84222222
SPLUS-d386,120.6291667,-41.84222222
SPLUS-d387,122.5125,-41.84222222
SPLUS-d388,124.3958333,-41.84222222
SPLUS-d389,126.2833333,-41.84222222
SPLUS-d390,128.1666667,-41.84222222
SPLUS-d391,130.0541667,-41.84222222
SPLUS-d392,131.9375,-41.84222222
SPLUS-d393,133.8208333,-41.84222222
SPLUS-d394,107.8083333,-43.20583333
SPLUS-d401,121.2833333,-43.20583333
SPLUS-d402,123.2083333,-43.20583333
SPLUS-d403,125.1333333,-43.20583333
SPLUS-d404,127.0583333,-43.20583333
SPLUS-d405,128.9833333,-43.20583333
SPLUS-d406,130.9083333,-43.20583333
SPLUS-d407,132.8333333,-43.20583333
SPLUS-d408,134.7583333,-43.20583333
SPLUS-d415,121.9666667,-44.56694444
SPLUS-d416,123.9333333,-44.56694444
SPLUS-d417,125.9,-44.56694444
SPLUS-d418,127.8708333,-44.56694444
SPLUS-d419,129.8375,-44.56694444
SPLUS-d420,131.8041667,-44.56694444
SPLUS-d421,133.7708333,-44.56694444
SPLUS-d429,124.6916667,-45.92527778
SPLUS-d430,126.7041667,-45.92527778
SPLUS-d431,128.7166667,-45.92527778
SPLUS-d433,132.7375,-45.92527778
SPLUS-d434,134.75,-45.92527778
SPLUS-d435,111.0875,-47.28111111
SPLUS-d442,125.4875,-47.28111111
SPLUS-d443,127.5416667,-47.28111111
SPLUS-d445,131.6583333,-47.28111111
SPLUS-d446,133.7125,-47.28111111
SPLUS-d452,122.825,-48.63388889
SPLUS-d453,124.9416667,-48.63388889
SPLUS-d454,127.0583333,-48.63388889
SPLUS-d455,129.175,-48.63388889
SPLUS-d456,131.2958333,-48.63388889
SPLUS-d457,133.4125,-48.63388889
SPLUS-d464,125.7833333,-49.98333333
SPLUS-d465,127.95,-49.98333333
SPLUS-d466,130.1208333,-49.98333333
SPLUS-d467,132.2875,-49.98333333
SPLUS-d468,134.4583333,-49.98333333
SPLUS-d475,127.4541667,-51.32972222
SPLUS-d476,129.6875,-51.32972222
SPLUS-d477,131.925,-51.32972222
SPLUS-d478,134.1625,-51.32972222
SPLUS-d480,116.9416667,-52.6725
SPLUS-d485,128.4083333,-52.6725
SPLUS-d487,132.9916667,-52.6725
SPLUS-d489,118.4208333,-54.01222222
SPLUS-d493,127.8958333,-54.01222222
SPLUS-d501,127.3458333,-55.34805556
SPLUS-d504,134.6958333,-55.34805556
SPLUS-d509,129.2958333,-56.67944444
SPLUS-d510,131.8291667,-56.67944444
SPLUS-d511,134.3666667,-56.67944444
SPLUS-d515,128.7583333,-58.00638889
SPLUS-d516,131.3875,-58.00638889
SPLUS-d517,134.0166667,-58.00638889
SPLUS-d521,129.925,-59.32861111
SPLUS-d522,132.6333333,-59.32861111
SPLUS-n01s01,150.7916667,0.0
SPLUS-n01s02,152.15,0.0
SPLUS-n01s03,153.5083333,0.0
SPLUS-n01s04,154.8666667,0.0
SPLUS-n01s05,156.225,0.0
SPLUS-n01s06,157.5833333,0.0
SPLUS-n01s07,158.9416667,0.0
SPLUS-n01s08,160.3,0.0
SPLUS-n01s09,161.6583333,0.0
SPLUS-n01s10,163.0208333,0.0
SPLUS-n01s18,173.8875,0.0
SPLUS-n01s19,175.2458333,0.0
SPLUS-n01s20,176.6041667,0.0
SPLUS-n01s21,177.9625,0.0
SPLUS-n01s22,179.3208333,0.0
SPLUS-n01s23,180.6791667,0.0
SPLUS-n01s24,182.0375,0.0
SPLUS-n01s25,183.3958333,0.0
SPLUS-n01s26,184.7541667,0.0
SPLUS-n01s27,186.1125,0.0
SPLUS-n01s28,187.4708333,0.0
SPLUS-n01s37,199.7,0.0
SPLUS-n01s38,201.0583333,0.0
SPLUS-n01s45,210.5666667,0.0
SPLUS-n01s46,211.925,0.0
SPLUS-n01s47,213.2833333,0.0
SPLUS-n01s48,214.6416667,0.0
SPLUS-n01s49,216.0,0.0
SPLUS-n01s50,217.3583333,0.0
SPLUS-n01s51,218.7166667,0.0
SPLUS-n01s52,220.075,0.0
SPLUS-n01s53,221.4333333,0.0
SPLUS-n01s54,222.7916667,0.0
SPLUS-n01s55,224.15,0.0
SPLUS-n02n01,150.7916667,1.359303
SPLUS-n02n02,152.15,1.359303
SPLUS-n02n03,153.5083333,1.359303
SPLUS-n02n04,154.8666667,1.359303
SPLUS-n02n05,156.225,1.359303
SPLUS-n02n06,157.5833333,1.359303
SPLUS-n02n07,158.9416667,1.359303
SPLUS-n02n18,173.8875,1.359303
SPLUS-n02n19,175.2458333,1.359303
SPLUS-n02n20,176.6041667,1.359303
SPLUS-n02n21,177.9625,1.359303
SPLUS-n02n22,179.3208333,1.359303
SPLUS-n02n23,180.6791667,1.359303
SPLUS-n02n24,182.0375,1.359303
SPLUS-n02n25,183.3958333,1.359303
SPLUS-n02n26,184.7541667,1.359303
SPLUS-n02n27,186.1125,1.359303
SPLUS-n02n28,187.4708333,1.359303
SPLUS-n02n44,209.2083333,1.359303
SPLUS-n02n45,210.5666667,1.359303
SPLUS-n02n46,211.925,1.359303
SPLUS-n02n47,213.2833333,1.359303
SPLUS-n02n48,214.6416667,1.359303
SPLUS-n02n49,216.0,1.359303
SPLUS-n02n50,217.3583333,1.359303
SPLUS-n02n51,218.7166667,1.359303
SPLUS-n02n52,220.075,1.359303
SPLUS-n02n53,221.4333333,1.359303
SPLUS-n02n54,222.7916667,1.359303
SPLUS-n02n55,224.15,1.359303
SPLUS-n02s01,150.7916667,-1.359166667
SPLUS-n02s02,152.15,-1.359166667
SPLUS-n02s03,153.5083333,-1.359166667
SPLUS-n02s04,154.8666667,-1.359166667
SPLUS-n02s05,156.225,-1.359166667
SPLUS-n02s06,157.5833333,-1.359166667
SPLUS-n02s07,158.9416667,-1.359166667
SPLUS-n02s08,160.3,-1.359166667
SPLUS-n02s09,161.6583333,-1.359166667
SPLUS-n02s10,163.0208333,-1.359166667
SPLUS-n02s18,173.8875,-1.359166667
SPLUS-n02s19,175.2458333,-1.359166667
SPLUS-n02s20,176.6041667,-1.359166667
SPLUS-n02s21,177.9625,-1.359166667
SPLUS-n02s22,179.3208333,-1.359166667
SPLUS-n02s23,180.6791667,-1.359166667
SPLUS-n02s24,182.0375,-1.359166667
SPLUS-n02s25,183.3958333,-1.359166667
SPLUS-n02s26,184.7541667,-1.359166667
SPLUS-n02s27,186.1125,-1.359166667
SPLUS-n02s28,187.4708333,-1.359166667
SPLUS-n02s37,199.7,-1.359166667
SPLUS-n02s38,201.0583333,-1.359166667
SPLUS-n02s44,209.2083333,-1.359166667
SPLUS-n02s45,210.5666667,-1.359166667
SPLUS-n02s46,211.925,-1.359166667
SPLUS-n02s47,213.2833333,-1.359166667
SPLUS-n02s48,214.6416667,-1.359166667
SPLUS-n02s49,216.0,-1.359166667
SPLUS-n02s50,217.3583333,-1.359166667
SPLUS-n02s51,218.7166667,-1.359166667
SPLUS-n02s52,220.075,-1.359166667
SPLUS-n02s53,221.4333333,-1.359166667
SPLUS-n02s54,222.7916667,-1.359166667
SPLUS-n02s55,224.15,-1.359166667
SPLUS-n03n01,150.7916667,2.717214278
SPLUS-n03n02,152.15,2.717214278
SPLUS-n03n03,153.5083333,2.717214278
SPLUS-n03n04,154.8666667,2.717214278
SPLUS-n03n22,179.3208333,2.717214278
SPLUS-n03n23,180.6791667,2.717214278
SPLUS-n03n24,182.0375,2.717214278
SPLUS-n03n51,218.7166667,2.717214278
SPLUS-n03n52,220.075,2.717214278
SPLUS-n03n53,221.4333333,2.717214278
SPLUS-n03n54,222.7916667,2.717214278
SPLUS-n03n55,224.15,2.717214278
SPLUS-n03s01,150.7916667,-2.717222222
SPLUS-n03s02,152.15,-2.717222222
SPLUS-n03s03,153.5083333,-2.717222222
SPLUS-n03s04,154.8666667,-2.717222222
SPLUS-n03s05,156.225,-2.717222222
SPLUS-n03s06,157.5833333,-2.717222222
SPLUS-n03s07,158.9416667,-2.717222222
SPLUS-n03s08,160.3,-2.717222222
SPLUS-n03s09,161.6583333,-2.717222222
SPLUS-n03s10,163.0208333,-2.717222222
SPLUS-n03s11,164.3791667,-2.717222222
SPLUS-n03s18,173.8875,-2.717222222
SPLUS-n03s19,175.2458333,-2.717222222
SPLUS-n03s20,176.6041667,-2.717222222
SPLUS-n03s21,177.9625,-2.717222222
SPLUS-n03s22,179.3208333,-2.717222222
SPLUS-n03s23,180.6791667,-2.717222222
SPLUS-n03s24,182.0375,-2.717222222
SPLUS-n03s25,183.3958333,-2.717222222
SPLUS-n03s26,184.7541667,-2.717222222
SPLUS-n03s27,186.1125,-2.717222222
SPLUS-n03s28,187.4708333,-2.717222222
SPLUS-n03s43,207.85,-2.717222222
SPLUS-n03s44,209.2083333,-2.717222222
SPLUS-n03s53,221.4333333,-2.717222222
SPLUS-n03s54,222.7916667,-2.717222222
SPLUS-n03s55,224.15,-2.717222222
SPLUS-n04n01,150.7916667,4.073739917
SPLUS-n04n02,152.15,4.073739917
SPLUS-n04n51,218.7166667,4.073739917
SPLUS-n04n52,220.075,4.073739917
SPLUS-n04n53,221.4333333,4.073739917
SPLUS-n04n54,222.7916667,4.073739917
SPLUS-n04n55,224.15,4.073739917
SPLUS-n04s01,150.7916667,-4.073611111
SPLUS-n04s02,152.15,-4.073611111
SPLUS-n04s03,153.5083333,-4.073611111
SPLUS-n04s04,154.8666667,-4.073611111
SPLUS-n04s05,156.225,-4.073611111
SPLUS-n04s06,157.5833333,-4.073611111
SPLUS-n04s07,158.9416667,-4.073611111
SPLUS-n04s08,160.3,-4.073611111
SPLUS-n04s09,161.6583333,-4.073611111
SPLUS-n04s10,163.0208333,-4.073611111
SPLUS-n04s11,164.3791667,-4.073611111
SPLUS-n04s12,165.7375,-4.073611111
SPLUS-n04s13,167.0958333,-4.073611111
SPLUS-n04s23,180.6791667,-4.073611111
SPLUS-n04s41,205.1333333,-4.073611111
SPLUS-n04s42,206.4916667,-4.073611111
SPLUS-n04s43,207.85,-4.073611111
SPLUS-n04s44,209.2083333,-4.073611111
SPLUS-n04s52,220.075,-4.073611111
SPLUS-n04s53,221.4333333,-4.073611111
SPLUS-n04s54,222.7916667,-4.073611111
SPLUS-n04s55,224.15,-4.073611111
SPLUS-n05n50,216.8166667,5.428889167
SPLUS-n05n51,218.1833333,5.428889167
SPLUS-n05n52,219.5458333,5.428889167
SPLUS-n05n53,220.9083333,5.428889167
SPLUS-n05n54,222.2708333,5.428889167
SPLUS-n05n55,223.6375,5.428889167
SPLUS-n05s01,150.0,-5.428888889
SPLUS-n05s02,151.3625,-5.428888889
SPLUS-n05s03,152.7291667,-5.428888889
SPLUS-n05s04,154.0916667,-5.428888889
SPLUS-n05s05,155.4541667,-5.428888889
SPLUS-n05s06,156.8166667,-5.428888889
SPLUS-n05s07,158.1833333,-5.428888889
SPLUS-n05s08,159.5458333,-5.428888889
SPLUS-n05s09,160.9083333,-5.428888889
SPLUS-n05s10,162.2708333,-5.428888889
SPLUS-n05s11,163.6375,-5.428888889
SPLUS-n05s12,165.0,-5.428888889
SPLUS-n05s13,166.3625,-5.428888889
SPLUS-n05s14,167.7291667,-5.428888889
SPLUS-n05s15,169.0916667,-5.428888889
SPLUS-n05s43,207.2708333,-5.428888889
SPLUS-n05s44,208.6375,-5.428888889
SPLUS-n05s45,210.0,-5.428888889
SPLUS-n05s53,220.9083333,-5.428888889
SPLUS-n05s54,222.2708333,-5.428888889
SPLUS-n05s55,223.6375,-5.428888889
SPLUS-n06s01,150.0,-6.7825
SPLUS-n06s02,151.3625,-6.7825
SPLUS-n06s03,152.7291667,-6.7825
SPLUS-n06s04,154.0916667,-6.7825
SPLUS-n06s05,155.4541667,-6.7825
SPLUS-n06s06,156.8166667,-6.7825
SPLUS-n06s07,158.1833333,-6.7825
SPLUS-n06s08,159.5458333,-6.7825
SPLUS-n06s09,160.9083333,-6.7825
SPLUS-n06s10,162.2708333,-6.7825
SPLUS-n06s11,163.6375,-6.7825
SPLUS-n06s12,165.0,-6.7825
SPLUS-n06s13,166.3625,-6.7825
SPLUS-n06s14,167.7291667,-6.7825
SPLUS-n06s15,169.0916667,-6.7825
SPLUS-n06s16,170.4541667,-6.7825
SPLUS-n06s37,199.0916667,-6.7825
SPLUS-n06s40,203.1833333,-6.7825
SPLUS-n06s41,204.5458333,-6.7825
SPLUS-n06s42,205.9083333,-6.7825
SPLUS-n06s43,207.2708333,-6.7825
SPLUS-n06s44,208.6375,-6.7825
SPLUS-n06s45,210.0,-6.7825
SPLUS-n06s52,219.5458333,-6.7825
SPLUS-n06s53,220.9083333,-6.7825
SPLUS-n06s54,222.2708333,-6.7825
SPLUS-n06s55,223.6375,-6.7825
SPLUS-n07s01,150.5708333,-8.135
SPLUS-n07s02,151.9375,-8.135
SPLUS-n07s03,153.3083333,-8.135
SPLUS-n07s04,154.675,-8.135
SPLUS-n07s05,156.0458333,-8.135
SPLUS-n07s06,157.4125,-8.135
SPLUS-n07s07,158.7833333,-8.135
SPLUS-n07s08,160.1541667,-8.135
SPLUS-n07s09,161.5208333,-8.135
SPLUS-n07s10,162.8916667,-8.135
SPLUS-n07s11,164.2583333,-8.135
SPLUS-n07s12,165.6291667,-8.135
SPLUS-n07s13,166.9958333,-8.135
SPLUS-n07s14,168.3666667,-8.135
SPLUS-n07s15,169.7333333,-8.135
SPLUS-n07s16,171.1041667,-8.135
SPLUS-n07s17,172.4708333,-8.135
SPLUS-n07s22,179.3166667,-8.135
SPLUS-n07s38,201.2166667,-8.135
SPLUS-n07s39,202.5875,-8.135
SPLUS-n07s40,203.9541667,-8.135
SPLUS-n07s41,205.325,-8.135
SPLUS-n07s42,206.6916667,-8.135
SPLUS-n07s43,208.0625,-8.135
SPLUS-n07s44,209.4291667,-8.135
SPLUS-n07s48,214.9041667,-8.135
SPLUS-n07s49,216.275,-8.135
SPLUS-n07s50,217.6416667,-8.135
SPLUS-n07s51,219.0125,-8.135
SPLUS-n07s52,220.3791667,-8.135
SPLUS-n07s53,221.75,-8.135
SPLUS-n07s54,223.1166667,-8.135
SPLUS-n07s55,224.4875,-8.135
SPLUS-n08s01,151.1458333,-9.486111111
SPLUS-n08s02,152.5208333,-9.486111111
SPLUS-n08s03,153.8916667,-9.486111111
SPLUS-n08s04,155.2666667,-9.486111111
SPLUS-n08s05,156.6416667,-9.486111111
SPLUS-n08s06,158.0166667,-9.486111111
SPLUS-n08s07,159.3875,-9.486111111
SPLUS-n08s08,160.7625,-9.486111111
SPLUS-n08s09,162.1375,-9.486111111
SPLUS-n08s10,163.5125,-9.486111111
SPLUS-n08s11,164.8875,-9.486111111
SPLUS-n08s12,166.2583333,-9.486111111
SPLUS-n08s13,167.6333333,-9.486111111
SPLUS-n08s14,169.0083333,-9.486111111
SPLUS-n08s15,170.3833333,-9.486111111
SPLUS-n08s16,171.7541667,-9.486111111
SPLUS-n08s17,173.1291667,-9.486111111
SPLUS-n08s18,174.5041667,-9.486111111
SPLUS-n08s19,175.8791667,-9.486111111
SPLUS-n08s37,200.6125,-9.486111111
SPLUS-n08s38,201.9833333,-9.486111111
SPLUS-n08s39,203.3583333,-9.486111111
SPLUS-n08s40,204.7333333,-9.486111111
SPLUS-n08s41,206.1083333,-9.486111111
SPLUS-n08s42,207.4791667,-9.486111111
SPLUS-n08s43,208.8541667,-9.486111111
SPLUS-n08s44,210.2291667,-9.486111111
SPLUS-n08s46,212.9791667,-9.486111111
SPLUS-n08s48,215.725,-9.486111111
SPLUS-n08s49,217.1,-9.486111111
SPLUS-n08s50,218.475,-9.486111111
SPLUS-n08s51,219.8458333,-9.486111111
SPLUS-n08s52,221.2208333,-9.486111111
SPLUS-n08s53,222.5958333,-9.486111111
SPLUS-n08s54,223.9708333,-9.486111111
SPLUS-n09s01,150.3458333,-10.83555556
SPLUS-n09s02,151.725,-10.83555556
SPLUS-n09s03,153.1041667,-10.83555556
SPLUS-n09s04,154.4833333,-10.83555556
SPLUS-n09s05,155.8625,-10.83555556
SPLUS-n09s06,157.2416667,-10.83555556
SPLUS-n09s07,158.6208333,-10.83555556
SPLUS-n09s08,160.0,-10.83555556
SPLUS-n09s09,161.3791667,-10.83555556
SPLUS-n09s10,162.7583333,-10.83555556
SPLUS-n09s11,164.1375,-10.83555556
SPLUS-n09s12,165.5166667,-10.83555556
SPLUS-n09s13,166.8958333,-10.83555556
SPLUS-n09s14,168.275,-10.83555556
SPLUS-n09s15,169.6541667,-10.83555556
SPLUS-n09s16,171.0333333,-10.83555556
SPLUS-n09s17,172.4125,-10.83555556
SPLUS-n09s18,173.7916667,-10.83555556
SPLUS-n09s19,175.1708333,-10.83555556
SPLUS-n09s20,176.55,-10.83555556
SPLUS-n09s21,177.9291667,-10.83555556
SPLUS-n09s22,179.3083333,-10.83555556
SPLUS-n09s23,180.6916667,-10.83555556
SPLUS-n09s24,182.0708333,-10.83555556
SPLUS-n09s25,183.45,-10.83555556
SPLUS-n09s26,184.8291667,-10.83555556
SPLUS-n09s27,186.2083333,-10.83555556
SPLUS-n09s28,187.5875,-10.83555556
SPLUS-n09s29,188.9666667,-10.83555556
SPLUS-n09s30,190.3458333,-10.83555556
SPLUS-n09s31,191.725,-10.83555556
SPLUS-n09s32,193.1041667,-10.83555556
SPLUS-n09s33,194.4833333,-10.83555556
SPLUS-n09s34,195.8625,-10.83555556
SPLUS-n09s35,197.2416667,-10.83555556
SPLUS-n09s36,198.6208333,-10.83555556
SPLUS-n09s37,200.0,-10.83555556
SPLUS-n09s38,201.3791667,-10.83555556
SPLUS-n09s39,202.7583333,-10.83555556
SPLUS-n09s40,204.1375,-10.83555556
SPLUS-n09s41,205.5166667,-10.83555556
SPLUS-n09s42,206.8958333,-10.83555556
SPLUS-n09s43,208.275,-10.83555556
SPLUS-n09s44,209.6541667,-10.83555556
SPLUS-n09s45,211.0333333,-10.83555556
SPLUS-n09s46,212.4125,-10.83555556
SPLUS-n09s48,215.1708333,-10.83555556
SPLUS-n09s49,216.55,-10.83555556
SPLUS-n09s50,217.9291667,-10.83555556
SPLUS-n09s51,219.3083333,-10.83555556
SPLUS-n09s52,220.6916667,-10.83555556
SPLUS-n09s53,222.0708333,-10.83555556
SPLUS-n09s54,223.45,-10.83555556
SPLUS-n09s55,224.8291667,-10.83555556
SPLUS-n10s01,150.925,-12.18361111
SPLUS-n10s02,152.3083333,-12.18361111
SPLUS-n10s03,153.6916667,-12.18361111
SPLUS-n10s04,155.075,-12.18361111
SPLUS-n10s05,156.4625,-12.18361111
SPLUS-n10s06,157.8458333,-12.18361111
SPLUS-n10s07,159.2291667,-12.18361111
SPLUS-n10s08,160.6166667,-12.18361111
SPLUS-n10s09,162.0,-12.18361111
SPLUS-n10s10,163.3833333,-12.18361111
SPLUS-n10s11,164.7708333,-12.18361111
SPLUS-n10s12,166.1541667,-12.18361111
SPLUS-n10s13,167.5375,-12.18361111
SPLUS-n10s14,168.925,-12.18361111
SPLUS-n10s15,170.3083333,-12.18361111
SPLUS-n10s16,171.6916667,-12.18361111
SPLUS-n10s17,173.075,-12.18361111
SPLUS-n10s18,174.4625,-12.18361111
SPLUS-n10s19,175.8458333,-12.18361111
SPLUS-n10s20,177.2291667,-12.18361111
SPLUS-n10s21,178.6166667,-12.18361111
SPLUS-n10s22,180.0,-12.18361111
SPLUS-n10s23,181.3833333,-12.18361111
SPLUS-n10s24,182.7708333,-12.18361111
SPLUS-n10s25,184.1541667,-12.18361111
SPLUS-n10s26,185.5375,-12.18361111
SPLUS-n10s27,186.925,-12.18361111
SPLUS-n10s28,188.3083333,-12.18361111
SPLUS-n10s29,189.6916667,-12.18361111
SPLUS-n10s30,191.075,-12.18361111
SPLUS-n10s31,192.4625,-12.18361111
SPLUS-n10s32,193.8458333,-12.18361111
SPLUS-n10s33,195.2291667,-12.18361111
SPLUS-n10s34,196.6166667,-12.18361111
SPLUS-n10s35,198.0,-12.18361111
SPLUS-n10s36,199.3833333,-12.18361111
SPLUS-n10s37,200.7708333,-12.18361111
SPLUS-n10s38,202.1541667,-12.18361111
SPLUS-n10s39,203.5375,-12.18361111
SPLUS-n10s40,204.925,-12.18361111
SPLUS-n10s41,206.3083333,-12.18361111
SPLUS-n10s42,207.6916667,-12.18361111
SPLUS-n10s43,209.075,-12.18361111
SPLUS-n10s44,210.4625,-12.18361111
SPLUS-n10s45,211.8458333,-12.18361111
SPLUS-n10s46,213.2291667,-12.18361111
SPLUS-n10s47,214.6166667,-12.18361111
SPLUS-n10s48,216.0,-12.18361111
SPLUS-n10s49,217.3833333,-12.18361111
SPLUS-n10s50,218.7708333,-12.18361111
SPLUS-n10s51,220.1541667,-12.18361111
SPLUS-n10s52,221.5375,-12.18361111
SPLUS-n10s53,222.925,-12.18361111
SPLUS-n10s54,224.3083333,-12.18361111
SPLUS-n11s01,150.1166667,-13.53055556
SPLUS-n11s02,151.5041667,-13.53055556
SPLUS-n11s03,152.8958333,-13.53055556
SPLUS-n11s04,154.2875,-13.53055556
SPLUS-n11s05,155.675,-13.53055556
SPLUS-n11s06,157.0666667,-13.53055556
SPLUS-n11s07,158.4541667,-13.53055556
SPLUS-n11s08,159.8458333,-13.53055556
SPLUS-n11s09,161.2375,-13.53055556
SPLUS-n11s10,162.625,-13.53055556
SPLUS-n11s11,164.0166667,-13.53055556
SPLUS-n11s12,165.4041667,-13.53055556
SPLUS-n11s13,166.7958333,-13.53055556
SPLUS-n11s14,168.1833333,-13.53055556
SPLUS-n11s15,169.575,-13.53055556
SPLUS-n11s16,170.9666667,-13.53055556
SPLUS-n11s17,172.3541667,-13.53055556
SPLUS-n11s18,173.7458333,-13.53055556
SPLUS-n11s19,175.1333333,-13.53055556
SPLUS-n11s20,176.525,-13.53055556
SPLUS-n11s21,177.9166667,-13.53055556
SPLUS-n11s22,179.3041667,-13.53055556
SPLUS-n11s23,180.6958333,-13.53055556
SPLUS-n11s24,182.0833333,-13.53055556
SPLUS-n11s25,183.475,-13.53055556
SPLUS-n11s26,184.8666667,-13.53055556
SPLUS-n11s27,186.2541667,-13.53055556
SPLUS-n11s28,187.6458333,-13.53055556
SPLUS-n11s29,189.0333333,-13.53055556
SPLUS-n11s30,190.425,-13.53055556
SPLUS-n11s31,191.8166667,-13.53055556
SPLUS-n11s32,193.2041667,-13.53055556
SPLUS-n11s33,194.5958333,-13.53055556
SPLUS-n11s34,195.9833333,-13.53055556
SPLUS-n11s35,197.375,-13.53055556
SPLUS-n11s36,198.7625,-13.53055556
SPLUS-n11s37,200.1541667,-13.53055556
SPLUS-n11s38,201.5458333,-13.53055556
SPLUS-n11s39,202.9333333,-13.53055556
SPLUS-n11s40,204.325,-13.53055556
SPLUS-n11s41,205.7125,-13.53055556
SPLUS-n11s42,207.1041667,-13.53055556
SPLUS-n11s43,208.4958333,-13.53055556
SPLUS-n11s44,209.8833333,-13.53055556
SPLUS-n11s46,212.6625,-13.53055556
SPLUS-n11s47,214.0541667,-13.53055556
SPLUS-n11s48,215.4458333,-13.53055556
SPLUS-n11s49,216.8333333,-13.53055556
SPLUS-n11s50,218.225,-13.53055556
SPLUS-n11s51,219.6125,-13.53055556
SPLUS-n11s52,221.0041667,-13.53055556
SPLUS-n11s53,222.3958333,-13.53055556
SPLUS-n11s54,223.7833333,-13.53055556
SPLUS-n11s55,225.175,-13.53055556
SPLUS-n12s01,151.2833333,-14.87583333
SPLUS-n12s02,152.6833333,-14.87583333
SPLUS-n12s03,154.0875,-14.87583333
SPLUS-n12s04,155.4875,-14.87583333
SPLUS-n12s05,156.8875,-14.87583333
SPLUS-n12s06,158.2875,-14.87583333
SPLUS-n12s07,159.6875,-14.87583333
SPLUS-n12s08,161.0875,-14.87583333
SPLUS-n12s09,162.4916667,-14.87583333
SPLUS-n12s10,163.8916667,-14.87583333
SPLUS-n12s11,165.2916667,-14.87583333
SPLUS-n12s12,166.6916667,-14.87583333
SPLUS-n12s13,168.0916667,-14.87583333
SPLUS-n12s14,169.4958333,-14.87583333
SPLUS-n12s15,170.8958333,-14.87583333
SPLUS-n12s16,172.2958333,-14.87583333
SPLUS-n12s17,173.6958333,-14.87583333
SPLUS-n12s18,175.0958333,-14.87583333
SPLUS-n12s19,176.5,-14.87583333
SPLUS-n12s20,177.9,-14.87583333
SPLUS-n12s21,179.3,-14.87583333
SPLUS-n12s22,180.7,-14.87583333
SPLUS-n12s23,182.1,-14.87583333
SPLUS-n12s24,183.5,-14.87583333
SPLUS-n12s25,184.9041667,-14.87583333
SPLUS-n12s26,186.3041667,-14.87583333
SPLUS-n12s27,187.7041667,-14.87583333
SPLUS-n12s28,189.1041667,-14.87583333
SPLUS-n12s29,190.5041667,-14.87583333
SPLUS-n12s30,191.9083333,-14.87583333
SPLUS-n12s31,193.3083333,-14.87583333
SPLUS-n12s32,194.7083333,-14.87583333
SPLUS-n12s33,196.1083333,-14.87583333
SPLUS-n12s34,197.5083333,-14.87583333
SPLUS-n12s35,198.9125,-14.87583333
SPLUS-n12s36,200.3125,-14.87583333
SPLUS-n12s37,201.7125,-14.87583333
SPLUS-n12s38,203.1125,-14.87583333
SPLUS-n12s39,204.5125,-14.87583333
SPLUS-n12s40,205.9125,-14.87583333
SPLUS-n12s41,207.3166667,-14.87583333
SPLUS-n12s42,208.7166667,-14.87583333
SPLUS-n12s43,210.1166667,-14.87583333
SPLUS-n12s44,211.5166667,-14.87583333
SPLUS-n12s45,212.9166667,-14.87583333
SPLUS-n12s46,214.3208333,-14.87583333
SPLUS-n12s47,215.7208333,-14.87583333
SPLUS-n12s48,217.1208333,-14.87583333
SPLUS-n12s49,218.5208333,-14.87583333
SPLUS-n12s50,219.9208333,-14.87583333
SPLUS-n12s51,221.325,-14.87583333
SPLUS-n12s52,222.725,-14.87583333
SPLUS-n12s53,224.125,-14.87583333
SPLUS-n13s01,150.4708333,-16.21972222
SPLUS-n13s02,151.875,-16.21972222
SPLUS-n13s03,153.2833333,-16.21972222
SPLUS-n13s04,154.6875,-16.21972222
SPLUS-n13s05,156.0958333,-16.21972222
SPLUS-n13s06,157.5,-16.21972222
SPLUS-n13s07,158.9083333,-16.21972222
SPLUS-n13s08,160.3125,-16.21972222
SPLUS-n13s09,161.7208333,-16.21972222
SPLUS-n13s10,163.125,-16.21972222
SPLUS-n13s11,164.5333333,-16.21972222
SPLUS-n13s12,165.9375,-16.21972222
SPLUS-n13s13,167.3458333,-16.21972222
