field,ra,dec
HYDRA-0161,152.2291667,-47.28111111
HYDRA-0162,154.2875,-47.28111111
HYDRA-0163,156.3416667,-47.28111111
HYDRA-0164,158.4,-47.28111111
HYDRA-0165,160.4583333,-47.28111111
HYDRA-0166,162.5125,-47.28111111
HYDRA-0167,164.5708333,-47.28111111
HYDRA-0173,150.9791667,-39.3
HYDRA-D-0001,158.3541667,-34.635
HYDRA-D-0002,156.6791667,-34.63194444
HYDRA-D-0003,158.3666667,-36.00527778
HYDRA-D-0004,156.6666667,-36.00805556
MC0001,67.69166667,-63.26777778
MC0002,70.77083333,-63.26777778
MC0003,73.84583333,-63.26777778
MC0004,76.925,-63.26777778
MC0005,80.0,-63.26777778
MC0006,83.075,-63.26777778
MC0007,86.15416667,-63.26777778
MC0008,89.22916667,-63.26777778
MC0009,92.30833333,-63.26777778
MC0010,95.38333333,-63.26777778
MC0011,67.5,-64.56861111
MC0012,70.7125,-64.56861111
MC0013,73.92916667,-64.56861111
MC0014,77.14166667,-64.56861111
MC0015,80.35833333,-64.56861111
MC0017,86.7875,-64.56861111
MC0018,90.0,-64.56861111
MC0019,93.2125,-64.56861111
MC0020,96.42916667,-64.56861111
MC0021,70.65416667,-65.86333333
MC0022,74.01666667,-65.86333333
MC0023,77.38333333,-65.86333333
MC0024,80.74583333,-65.86333333
MC0026,87.475,-65.86333333
MC0027,90.84166667,-65.86333333
MC0028,94.20416667,-65.86333333
MC0029,70.5875,-67.15138889
MC0030,74.11666667,-67.15138889
MC0031,77.64583333,-67.15138889
MC0032,81.175,-67.15138889
MC0033,84.70416667,-67.15138889
MC0034,88.23333333,-67.15138889
MC0035,91.76666667,-67.15138889
MC0036,95.29583333,-67.15138889
MC0037,70.51666667,-68.43222222
MC0038,74.225,-68.43222222
MC0040,81.65,-68.43222222
MC0041,85.3625,-68.43222222
MC0042,89.07083333,-68.43222222
MC0043,92.78333333,-68.43222222
MC0044,96.49583333,-68.43222222
MC0045,3.954166667,-69.70555556
MC0046,7.9125,-69.70555556
MC0047,11.86666667,-69.70555556
MC0048,15.825,-69.70555556
MC0049,19.77916667,-69.70555556
MC0050,23.7375,-69.70555556
MC0051,27.69166667,-69.70555556
MC0052,31.65,-69.70555556
MC0053,35.60416667,-69.70555556
MC0054,39.5625,-69.70555556
MC0055,43.51666667,-69.70555556
MC0056,47.47083333,-69.70555556
MC0057,51.42916667,-69.70555556
MC0058,55.38333333,-69.70555556
MC0059,59.34166667,-69.70555556
MC0060,63.29583333,-69.70555556
MC0061,67.25416667,-69.70555556
MC0062,71.20833333,-69.70555556
MC0063,75.16666667,-69.70555556
MC0064,79.12083333,-69.70555556
MC0065,83.075,-69.70555556
MC0066,87.03333333,-69.70555556
MC0067,90.9875,-69.70555556
MC0068,94.94583333,-69.70555556
MC0069,4.1875,-70.96722222
MC0070,8.370833333,-70.96722222
MC0071,12.55833333,-70.96722222
MC0072,16.74583333,-70.96722222
MC0073,20.92916667,-70.96722222
MC0074,25.11666667,-70.96722222
MC0075,29.30416667,-70.96722222
MC0076,33.4875,-70.96722222
MC0077,37.675,-70.96722222
MC0078,41.8625,-70.96722222
MC0079,46.04583333,-70.96722222
MC0080,50.23333333,-70.96722222
MC0081,54.41666667,-70.96722222
MC0082,58.60416667,-70.96722222
MC0083,62.79166667,-70.96722222
MC0084,66.975,-70.96722222
MC0085,71.1625,-70.96722222
MC0086,75.35,-70.96722222
MC0087,79.53333333,-70.96722222
MC0088,83.72083333,-70.96722222
MC0089,87.90833333,-70.96722222
MC0090,92.09166667,-70.96722222
MC0091,96.27916667,-70.96722222
MC0092,4.445833333,-72.21944444
MC0093,8.8875,-72.21944444
MC0094,13.33333333,-72.21944444
MC0095,17.77916667,-72.21944444
MC0096,22.22083333,-72.21944444
MC0097,26.66666667,-72.21944444
MC0098,31.1125,-72.21944444
MC0099,35.55416667,-72.21944444
MC0100,40.0,-72.21944444
MC0101,44.44583333,-72.21944444
MC0102,48.8875,-72.21944444
MC0103,53.33333333,-72.21944444
MC0104,57.77916667,-72.21944444
MC0105,62.22083333,-72.21944444
MC0106,66.66666667,-72.21944444
MC0107,71.1125,-72.21944444
MC0108,75.55416667,-72.21944444
MC0109,80.0,-72.21944444
MC0110,84.44583333,-72.21944444
MC0111,88.8875,-72.21944444
MC0112,93.33333333,-72.21944444
MC0113,4.7375,-73.46166667
MC0114,9.475,-73.46166667
MC0115,14.2125,-73.46166667
MC0116,18.94583333,-73.46166667
MC0117,23.68333333,-73.46166667
MC0118,28.42083333,-73.46166667
MC0119,33.15833333,-73.46166667
MC0120,37.89583333,-73.46166667
MC0121,42.63333333,-73.46166667
MC0122,47.36666667,-73.46166667
MC0123,52.10416667,-73.46166667
MC0124,56.84166667,-73.46166667
MC0125,61.57916667,-73.46166667
MC0126,66.31666667,-73.46166667
MC0127,71.05416667,-73.46166667
MC0128,75.7875,-73.46166667
MC0129,80.525,-73.46166667
MC0131,90.0,-73.46166667
MC0132,94.7375,-73.46166667
MC0133,5.141666667,-74.6925
MC0134,10.2875,-74.6925
MC0135,15.42916667,-74.6925
MC0136,20.57083333,-74.6925
MC0137,25.7125,-74.6925
MC0138,30.85833333,-74.6925
MC0139,36.0,-74.6925
MC0140,41.14166667,-74.6925
MC0141,46.2875,-74.6925
MC0142,51.42916667,-74.6925
MC0143,56.57083333,-74.6925
MC0144,61.7125,-74.6925
MC0145,66.85833333,-74.6925
MC0146,72.0,-74.6925
MC0147,77.14166667,-74.6925
MC0148,82.2875,-74.6925
MC0149,87.42916667,-74.6925
MC0150,92.57083333,-74.6925
SPLUS-b002,267.0,-19.72416667
SPLUS-b003,268.5,-19.72416667
SPLUS-b004,270.0,-19.72416667
SPLUS-b009,272.2708333,-21.12055556
SPLUS-b012,268.475,-22.51555556
SPLUS-b016,274.575,-22.51555556
SPLUS-b017,276.1,-22.51555556
SPLUS-b021,269.2291667,-23.90861111
SPLUS-b027,278.4625,-23.90861111
SPLUS-b028,263.375,-25.30027778
SPLUS-b029,264.9333333,-25.30027778
