,col1,id_x,ra,dec,parallax,gaia_ruwe,gaia_parallax_over_error,gaia_classprob_dsc_combmod_star,gaia_in_qso_candidates,gaia_in_galaxy_candidates,gaia_phot_bp_rp_excess_factor,err_mag_psf_u,err_mag_psf_j0378,err_mag_psf_j0395,err_mag_psf_j0410,err_mag_psf_j0430,err_mag_psf_g,err_mag_psf_j0515,err_mag_psf_r,err_mag_psf_j0660,err_mag_psf_i,err_mag_psf_j0861,err_mag_psf_z,mag_psf_u,mag_psf_j0378,mag_psf_j0395,mag_psf_j0410,mag_psf_j0430,mag_psf_g,mag_psf_j0515,mag_psf_r,mag_psf_j0660,mag_psf_i,mag_psf_j0861,mag_psf_z,ri,rJ0660,delta_Ha,thr,panel_label,excess,main_type,main_id,size_angle,splus_idr6_id,id_y,mu_max_u,mu_max_g,mu_max_r,mu_max_i,mu_max_z,mu_max_j0378,mu_max_j0395,mu_max_j0410,mu_max_j0430,mu_max_j0515,mu_max_j0660,mu_max_j0861,upload_ra,upload_dec,upload_splus_idr6_id,id,mu_background_g,mu_background_i,mu_background_j0378,mu_background_j0395,mu_background_j0410,mu_background_j0430,mu_background_j0515,mu_background_j0660,mu_background_j0861,mu_background_r,mu_background_u,mu_background_z,flags_det,flags_g,flags_i,flags_j0378,flags_j0395,flags_j0410,flags_j0430,flags_j0515,flags_j0660,flags_j0861,flags_r,flags_u,flags_z,r_i,r_j0660,j0515_j0660,j0660_i,j0660_j0861,u_j0378,j0378_j0410,g_r,j0395_j0410,i_j0861,j0515_r,j0430_g,gaia_source_id,flag_be_star_figueiredo,source_id,r_med_geo,r_lo_geo,r_hi_geo,r_med_photogeo,r_lo_photogeo,r_hi_photogeo,flag
0,15105,b'i06MC00450085A',2.0596972,-70.19888,-0.041086614,0.9837374,-1.5429462,0.9999996,0,0,1.1523159,0.004346132,0.005530896,0.00726195,0.0069184895,0.006695185,0.0031497462,0.0060485615,0.0031291004,0.003521249,0.0037884123,0.0073278057,0.0053445376,15.367463,15.426189,15.389524,15.338472,15.437773,15.540327,15.577019,15.79646,15.721819,16.030561,16.250149,16.247059,-0.2341012954711914,0.0746412277221679,0.1408979056215032,0.0402181962803309,r â¤ 18,0.1916914999999992,unknown,,,i06MC00450085A,i06MC00450085A,17.030946449279785,17.21244631576538,17.287832710266112,17.32660604095459,17.50557481765747,16.830854190826415,16.997433267593383,17.34580404472351,17.276428680419922,17.22019194793701,17.304125314712525,17.605360767364502,2.0596972,-70.19888,i06MC00450085A,i06MC00450085A,26.763470514297484,26.961930280685426,25.93196369552612,25.36364587402344,25.59152657699585,25.65704677581787,26.79048346710205,,,,25.812997535705566,,2,2,2,2,2,2,2,2,2,2,2,2,2,-0.234100999999999,0.0746409999999997,-0.1448,-0.3087419999999987,-0.5283300000000004,-0.058726,0.0877170000000013,-0.2561330000000001,0.0510520000000003,-0.2195880000000016,-0.2194409999999997,-0.1025539999999995,4702938581521835648,0,4702938581521835648,20300.3223,14841.9541,26906.7012,27678.4375,17190.8008,33119.957,10122
9,1673,b'i06MC013302U8R',4.419611,-74.369316,-0.042945184,0.9712613,-1.6595976,0.99999946,0,0,1.1709023,0.0039655534,0.005488647,0.0075303474,0.0069986954,0.0068041137,0.003131261,0.0061646346,0.003000751,0.003020119,0.003582135,0.007216296,0.005744182,15.234861,15.508098,15.446213,15.502016,15.503974,15.662313,15.64893,15.720905,15.437458,15.891535,16.1177,16.110167,-0.1706295013427734,0.283447265625,0.327022499641679,0.0365854928988177,r â¤ 18,0.3687620000000002,Star,2MASS J00174073-7422097,0.0,i06MC013302U8R,i06MC013302U8R,,,,,,,,,,,,,4.419611,-74.369316,i06MC013302U8R,i06MC013302U8R,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,-0.1706299999999991,0.2834470000000006,0.2114720000000005,-0.4540769999999998,-0.6802419999999998,-0.2732369999999999,0.006082000000001,-0.0585920000000008,-0.0558029999999991,-0.2261649999999999,-0.0719750000000001,-0.1583389999999997,4688405752228450176,0,4688405752228450176,24636.2539,16500.0645,32438.0117,22800.2129,18446.7402,26242.6816,10022
10,1684,b'i06MC01330428W',4.4206815,-74.08879,-0.13063502,1.0194767,-1.6191548,0.99999785,0,0,1.1423748,0.013460794,0.018486302,0.02508129,0.022318477,0.021969492,0.009702323,0.01971101,0.010217671,0.010553198,0.013618423,0.031033164,0.027585097,17.436142,17.757555,17.567497,17.52718,17.640764,17.752579,17.748539,17.897425,17.734993,18.066923,18.2867,18.266367,-0.1694984436035156,0.1624317169189453,0.2056027710476395,0.1271937758591211,r â¤ 18,0.2471810000000012,unknown,,,i06MC01330428W,i06MC01330428W,,,,,,,,,,,,,4.4206815,-74.08879,i06MC01330428W,i06MC01330428W,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,-0.1694980000000008,0.162431999999999,0.0135460000000016,-0.3319299999999998,-0.5517070000000004,-0.3214129999999997,0.2303749999999986,-0.1448459999999976,0.0403169999999981,-0.2197770000000005,-0.1488859999999974,-0.111815,4688463266128125824,0,4688463266128125824,11784.96,8740.82422,15196.2422,12209.3828,7984.17676,16049.0293,10022
11,322,b'i06MC011300C7H',4.420975,-74.08892,-0.13063502,1.0194767,-1.6191548,0.99999785,0,0,1.1423748,0.012757256,0.017965067,0.024556626,0.021764044,0.021040807,0.009676037,0.018926231,0.009744706,0.010459295,0.012465381,0.026421897,0.022502631,17.492662,17.685114,17.593641,17.537401,17.618393,17.773438,17.74674,17.880865,17.749569,18.05601,18.237408,18.28927,-0.1751441955566406,0.131296157836914,0.1764847034806759,0.1229827629984122,r â¤ 18,0.2188684999999992,unknown,,,i06MC011300C7H,i06MC011300C7H,,,,,,,,,,,,,4.420975,-74.08892,i06MC011300C7H,i06MC011300C7H,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,-0.1751450000000005,0.1312959999999989,-0.0028290000000019,-0.3064409999999995,-0.4878389999999974,-0.1924519999999994,0.1477129999999995,-0.1074270000000012,0.0562400000000025,-0.1813979999999979,-0.1341250000000009,-0.1550449999999976,4688463266128125824,0,4688463266128125824,11784.96,8740.82422,15196.2422,12209.3828,7984.17676,16049.0293,10022
13,375,b'i06MC011304SJS',4.838119,-73.146454,-0.010417885,1.0428342,-0.4283876,0.9999998,0,0,1.1463276,0.0040999237,0.0044834786,0.0059622084,0.005406447,0.005278826,0.00247916,0.0048519573,0.002555809,0.0030490523,0.0031969207,0.0059840474,0.004517298,15.3938055,15.098561,14.999686,14.999037,15.054145,15.233602,15.228216,15.434926,15.476884,15.722037,15.841277,15.855086,-0.2871112823486328,-0.0419578552246093,0.0432417729897652,0.0339110502778232,r â¤ 18,0.1015975000000004,unknown,,,i06MC011304SJS,i06MC011304SJS,,,,,,,,,,,,,4.838119,-73.146454,i06MC011304SJS,i06MC011304SJS,,,,,,,,,,,,,6,2,2,2,2,2,2,2,2,2,2,2,2,-0.2871109999999994,-0.0419579999999992,-0.2486680000000003,-0.2451530000000001,-0.3643929999999997,0.295244499999999,0.0995240000000006,-0.2013240000000014,0.000649000000001,-0.1192399999999995,-0.206710000000001,-0.1794569999999993,4688748559334975872,0,4688748559334975872,17331.3125,12863.5049,23738.2109,10546.9307,10067.7715,10956.916,10022
16,1674,b'i06MC013303DES',5.07101,-74.23968,-0.061007507,1.0528165,-0.8656926,0.9999989,0,0,1.14628,0.012691095,0.016738597,0.021675663,0.018966306,0.018824518,0.008344833,0.01722604,0.00880609,0.009251194,0.011781393,0.026727842,0.02305471,17.309467,17.496946,17.32239,17.295048,17.3545,17.507,17.532581,17.669012,17.530514,17.883186,18.11622,18.067379,-0.2141742706298828,0.138498306274414,0.1976341251860233,0.1104923678166199,r â¤ 18,0.2455849999999984,unknown,,,i06MC013303DES,i06MC013303DES,,,,,,,,,,,,,5.07101,-74.23968,i06MC013303DES,i06MC013303DES,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2141739999999998,0.1384979999999984,0.0020670000000002,-0.3526719999999983,-0.5857059999999983,-0.1874789999999997,0.2018979999999999,-0.1620119999999971,0.0273419999999973,-0.2330339999999999,-0.1364309999999982,-0.1524999999999998,4688408599784315392,0,4688408599784315392,9646.68848,7170.53027,14754.5957,10118.8838,8144.50195,12384.3545,10022
18,26177,b'i06MC011300WMM',5.0855246,-73.96841,-0.039711546,0.98017395,-0.493416,0.9999996,0,0,1.134546,0.015591423,0.020522948,0.026359193,0.024020629,0.022915702,0.01065107,0.021460786,0.011004841,0.011732959,0.0140370205,0.030557986,0.025629228,17.855566,17.936197,17.772535,17.747135,17.7819,17.962513,17.972946,18.103703,17.960958,18.260305,18.445013,18.46928,-0.1566028594970703,0.1427440643310547,0.181220910758697,0.1398296398798222,18 < r â¤ 19,0.2210459999999976,unknown,,,i06MC011300WMM,i06MC011300WMM,,,,,,,,,,,,,5.0855246,-73.96841,i06MC011300WMM,i06MC011300WMM,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1566019999999994,0.1427449999999979,0.0119879999999987,-0.2993469999999973,-0.4840549999999979,-0.0806310000000003,0.1890619999999998,-0.1411899999999981,0.0254000000000012,-0.1847080000000005,-0.1307569999999991,-0.180613000000001,4688465636950101376,0,4688465636950101376,9853.50488,6645.37451,17280.9961,10386.8477,6445.08789,13322.707,10022
23,1688,b'i06MC013304ACZ',5.288177,-74.045555,0.013885404,1.0673754,0.36021805,0.99999785,0,0,1.1736195,0.006925997,0.009399269,0.0129073905,0.011529495,0.011283566,0.0051037627,0.010026177,0.0049382015,0.005039608,0.0059941397,0.0123797525,0.010471457,16.218033,16.407438,16.369684,16.373188,16.433542,16.576551,16.542875,16.633572,16.399725,16.773457,16.96988,16.987093,-0.1398849487304687,0.2338466644287109,0.2664354302928985,0.0606553981312627,r â¤ 18,0.3037895000000006,unknown,,,i06MC013304ACZ,i06MC013304ACZ,,,,,,,,,,,,,5.288177,-74.045555,i06MC013304ACZ,i06MC013304ACZ,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,-0.1398849999999996,0.2338470000000008,0.1431499999999985,-0.3737320000000004,-0.5701549999999997,-0.1894050000000007,0.0342500000000001,-0.0570210000000024,-0.0035039999999995,-0.1964229999999993,-0.0906970000000022,-0.1430089999999992,4688420148958728960,0,4688420148958728960,10952.0928,8075.3877,14686.2432,10050.0342,8263.1582,14479.4775,10022
24,326,b'i06MC011300JSN',5.288488,-74.045685,0.013885404,1.0673754,0.36021805,0.99999785,0,0,1.1736195,0.0065449504,0.009072711,0.012541542,0.011491237,0.011130953,0.0051605585,0.01005828,0.0049853865,0.005113427,0.0059131407,0.011968784,0.0093592005,16.36324,16.45533,16.428549,16.433147,16.481146,16.6084,16.588017,16.67008,16.416195,16.797436,17.002008,17.00892,-0.1273555755615234,0.253885269165039,0.2819967033527134,0.0612613792450908,r â¤ 18,0.3175630000000033,unknown,,,i06MC011300JSN,i06MC011300JSN,,,,,,,,,,,,,5.288488,-74.045685,i06MC011300JSN,i06MC011300JSN,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,-0.1273560000000024,0.2538850000000003,0.1718220000000023,-0.3812410000000028,-0.5858130000000017,-0.0920899999999989,0.0221829999999982,-0.061679999999999,-0.0045980000000014,-0.2045719999999988,-0.082062999999998,-0.1272540000000006,4688420148958728960,0,4688420148958728960,10952.0928,8075.3877,14686.2432,10050.0342,8263.1582,14479.4775,10022
26,1681,b'i06MC013303VJ2',5.388325,-74.126755,0.016292298,1.0053242,0.43082127,0.99999785,0,0,1.1591234,0.0075167324,0.009595084,0.012571171,0.011353273,0.011108605,0.0050558024,0.010144249,0.0050388477,0.0053119496,0.0063378257,0.013075912,0.010925955,16.387455,16.45666,16.327906,16.341116,16.38277,16.537994,16.552267,16.670626,16.503561,16.887337,17.069962,17.059454,-0.2167110443115234,0.1670646667480468,0.2271069936714939,0.0629810593236317,r â¤ 18,0.2754204999999992,unknown,,,i06MC013303VJ2,i06MC013303VJ2,,,,,,,,,,,,,5.388325,-74.126755,i06MC013303VJ2,i06MC013303VJ2,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,-0.2167110000000001,0.1670649999999973,0.0487059999999992,-0.3837759999999974,-0.566400999999999,-0.0692050000000001,0.1155439999999998,-0.1326319999999974,-0.0132100000000008,-0.1826250000000016,-0.1183589999999981,-0.1552240000000004,4688415853991449600,0,4688415853991449600,10677.2393,8762.28516,13812.6318,14759.1797,10110.4062,18767.0234,10122
27,319,b'i06MC0113005PT',5.388648,-74.12687,0.016292298,1.0053242,0.43082127,0.99999785,0,0,1.1591234,0.0071630715,0.009314896,0.012592678,0.011450326,0.010948114,0.0051421206,0.0100599965,0.0050830566,0.0054595475,0.0063464367,0.0127565935,0.0099352645,16.426914,16.399675,16.362226,16.381027,16.395544,16.554884,16.540514,16.673054,16.509174,16.89878,17.088833,17.08626,-0.2257270812988281,0.16387939453125,0.2271435736140635,0.0640433648440657,r â¤ 18,0.2767429999999962,unknown,,,i06MC0113005PT,i06MC0113005PT,,,,,,,,,,,,,5.388648,-74.12687,i06MC0113005PT,i06MC0113005PT,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,-0.2257259999999981,0.1638799999999989,0.0313400000000001,-0.389605999999997,-0.5796589999999995,0.0272390000000015,0.0186479999999988,-0.1181699999999992,-0.0188009999999998,-0.1900530000000024,-0.1325399999999987,-0.1593400000000002,4688415853991449600,0,4688415853991449600,10677.2393,8762.28516,13812.6318,14759.1797,10110.4062,18767.0234,10122
31,1677,b'i06MC013303N9U',5.7230644,-74.18034,0.013362157,0.94136053,0.28220534,0.9999999,0,0,1.1407387,0.009844593,0.011980073,0.015098409,0.013472678,0.0133250505,0.0060686967,0.012238062,0.006403774,0.0072798464,0.008679781,0.018055841,0.015972804,16.950718,16.921778,16.690292,16.67633,16.719038,16.910831,16.906681,17.099932,17.080954,17.391132,17.535759,17.568163,-0.2912006378173828,0.0189781188964843,0.1056390652893403,0.0834694132337037,r â¤ 18,0.1645779999999987,unknown,,,i06MC013303N9U,i06MC013303N9U,,,,,,,,,,,,,5.7230644,-74.18034,i06MC013303N9U,i06MC013303N9U,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,-0.2911999999999999,0.0189780000000006,-0.1742729999999994,-0.3101780000000005,-0.4548050000000003,0.0289399999999986,0.2454479999999996,-0.1891009999999973,0.0139619999999993,-0.1446269999999998,-0.193251,-0.1917930000000005,4688402969089566208,0,4688402969089566208,9873.92578,7670.52002,13473.0029,10514.624,8113.48389,12748.8711,10022
34,351,b'i06MC011301TCF',5.7529936,-73.78435,-0.0016724166,1.0024564,-0.06811595,0.99973834,0,0,1.1573305,0.005228319,0.0061106184,0.00779581,0.0069193575,0.006684836,0.0030538533,0.005933938,0.0029355187,0.0032818003,0.0035607798,0.0065884427,0.004962469,15.883901,15.768732,15.608504,15.496859,15.530744,15.62169,15.58893,15.694545,15.574534,15.897701,15.974841,15.974839,-0.2031564712524414,0.1200103759765625,0.175209019301419,0.0376144377708511,r â¤ 18,0.2215889999999998,unknown,,,i06MC011301TCF,i06MC011301TCF,,,,,,,,,,,,,5.7529936,-73.78435,i06MC011301TCF,i06MC011301TCF,,,,,,,,,,,,,6,2,2,2,2,2,2,2,2,2,2,2,2,-0.2031559999999999,0.1200109999999998,0.0143959999999996,-0.3231669999999997,-0.4003069999999997,0.1151689999999998,0.2718729999999993,-0.0728550000000005,0.1116449999999993,-0.0771399999999999,-0.1056150000000002,-0.0909459999999988,4688474952743000320,0,4688474952743000320,14563.2471,11512.1348,18670.7852,16193.7705,13482.3213,21346.4258,10022
35,360,b'i06MC011302RVV',5.803656,-73.58548,-0.10275424,1.1409822,-1.7778155,0.9999989,0,0,1.1684847,0.008181704,0.011149743,0.014962034,0.013265915,0.012738625,0.005945907,0.011529252,0.0059192576,0.0064677186,0.0073353527,0.0148330135,0.011899123,16.738102,16.848347,16.714693,16.704082,16.75945,16.912453,16.87427,17.025795,16.911358,17.218515,17.392365,17.414938,-0.1927204132080078,0.1144371032714843,0.1659064544258367,0.0751379380129063,r â¤ 18,0.2107969999999994,unknown,,,i06MC011302RVV,i06MC011302RVV,,,,,,,,,,,,,5.803656,-73.58548,i06MC011302RVV,i06MC011302RVV,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1927200000000013,0.1144369999999987,-0.0370880000000006,-0.3071570000000001,-0.4810070000000017,-0.110244999999999,0.1442650000000007,-0.1133419999999993,0.0106110000000008,-0.1738500000000016,-0.1515249999999994,-0.1530029999999982,4688492201331606016,0,4688492201331606016,16274.7832,10683.6729,37817.375,12676.793,8548.83008,21297.7559,11122
37,1661,b'i06MC013302NXU',5.8434243,-74.409035,0.034048162,0.94520915,0.85148627,0.99999785,0,0,1.1645437,0.0058588074,0.0073295557,0.010263767,0.009418157,0.009198815,0.004133545,0.008182626,0.003987537,0.0040773056,0.0047852676,0.010042278,0.008209609,15.845733,15.856281,16.007387,16.016817,16.0689,16.201944,16.182915,16.24449,16.005154,16.403294,16.649883,16.644747,-0.1588039398193359,0.2393360137939453,0.2786854209885233,0.0489763440381213,r â¤ 18,0.3187379999999997,unknown,,,i06MC013302NXU,i06MC013302NXU,,,,,,,,,,,,,5.8434243,-74.409035,i06MC013302NXU,i06MC013302NXU,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,-0.1588039999999999,0.239335999999998,0.1777610000000002,-0.3981399999999979,-0.6447289999999981,-0.010548,-0.1605360000000004,-0.0425459999999979,-0.0094299999999982,-0.2465890000000001,-0.0615749999999977,-0.1330440000000017,4685395083229558400,0,4685395083229558400,10467.626,7806.67725,14205.1416,10818.3115,7912.73145,14076.3418,10122
40,340,b'i06MC01130192J',5.8769975,-73.89599,-0.07833604,0.9222967,-1.6100845,0.9999285,0,0,1.1430209,0.010825612,0.012115903,0.017628422,0.013540233,0.013229049,0.006087758,0.011948283,0.006235266,0.0069139292,0.00802197,0.016015023,0.012956546,17.205547,16.994377,16.852217,16.725319,16.790508,16.91602,16.900902,17.089333,16.981417,17.332525,17.467321,17.503244,-0.2431926727294922,0.1079158782958984,0.1774213309609667,0.0799452480255645,r â¤ 18,0.2295119999999997,unknown,,,i06MC01130192J,i06MC01130192J,,,,,,,,,,,,,5.8769975,-73.89599,i06MC01130192J,i06MC01130192J,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,-0.2431920000000005,0.1079159999999994,-0.0805150000000018,-0.351108,-0.4859039999999979,0.2111699999999992,0.2690580000000011,-0.1733130000000002,0.1268980000000006,-0.1347959999999979,-0.1884310000000013,-0.1255120000000005,4688469558264115968,0,4688469558264115968,15124.0049,10576.7998,22855.5996,22142.4238,20899.2227,23222.7891,10022
41,370,b'i06MC011303M8U',5.8772473,-73.40588,-0.047675613,1.039701,-0.8320903,0.99999946,0,0,1.1510335,0.009624254,0.012042951,0.015459692,0.014028498,0.0132666025,0.0061766882,0.012164968,0.006352147,0.0071892524,0.008029536,0.016264806,0.013015517,17.023394,16.95618,16.739767,16.804287,16.812931,16.98937,16.975412,17.149136,17.106243,17.38041,17.537407,17.554289,-0.2312736511230468,0.0428924560546875,0.1081386842340606,0.0821396696655206,r â¤ 18,0.1585299999999989,unknown,,,i06MC011303M8U,i06MC011303M8U,,,,,,,,,,,,,5.8772473,-73.40588,i06MC011303M8U,i06MC011303M8U,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,-0.2312740000000026,0.0428929999999994,-0.1308310000000005,-0.274167000000002,-0.4311640000000025,0.0672139999999998,0.1518930000000011,-0.1597659999999976,-0.0645199999999981,-0.1569970000000005,-0.173724,-0.176439000000002,4688685577934409088,0,4688685577934409088,13957.0791,9032.7793,20055.0176,10192.1445,7311.81299,13927.8896,10022
43,1664,b'i06MC013302X6E',5.9188375,-74.34275,-0.16612749,1.0409547,-2.04037,0.99997556,0,0,1.1389093,0.012994466,0.015955867,0.021797596,0.019436078,0.018992053,0.0084690945,0.017256085,0.008744035,0.008774687,0.011621315,0.024445022,0.022535162,17.444025,17.332396,17.336113,17.315683,17.357601,17.525175,17.531813,17.643099,17.422152,17.856194,17.984665,18.028593,-0.2130947113037109,0.220947265625,0.2796973074428497,0.1074691571706688,r â¤ 18,0.3274944999999967,EclBin,Gaia DR3 4685396212806703744,0.0,i06MC013302X6E,i06MC013302X6E,,,,,,,,,,,,,5.9188375,-74.34275,i06MC013302X6E,i06MC013302X6E,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,-0.2130949999999991,0.2209469999999989,0.1096609999999991,-0.434041999999998,-0.5625129999999992,0.1116290000000006,0.0167129999999993,-0.1179239999999985,0.020430000000001,-0.1284710000000011,-0.1112859999999997,-0.1675740000000019,4685396212806703744,0,4685396212806703744,10705.04,7462.28516,15105.1777,10464.4863,8164.94824,12463.9463,10022
44,332,b'i06MC011300RYB',5.9476347,-73.99327,0.021073746,0.9637353,0.39065248,0.9999943,0,0,1.1423682,0.011553491,0.013395693,0.016882941,0.014658951,0.014786055,0.006737485,0.013508165,0.0070167044,0.008088494,0.009123713,0.01879456,0.015066477,17.420225,17.182423,16.998045,16.849567,16.980392,17.086653,17.110884,17.286211,17.257078,17.529375,17.705791,17.705893,-0.2431640625,0.0291328430175781,0.0986280719080767,0.0917647990058575,r â¤ 18,0.1507150000000017,unknown,,,i06MC011300RYB,i06MC011300RYB,,,,,,,,,,,,,5.9476347,-73.99327,i06MC011300RYB,i06MC011300RYB,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,-0.2431640000000001,0.0291330000000016,-0.1461940000000012,-0.2722970000000018,-0.4487130000000014,0.2378019999999985,0.3328559999999996,-0.1995580000000032,0.1484780000000007,-0.1764159999999996,-0.1753270000000029,-0.1062609999999999,4688421488988499712,0,4688421488988499712,10583.4219,7638.8457,14238.2402,10577.4492,7042.37256,13601.752,10122
47,348,b'i06MC011301JSN',6.029179,-73.834564,-0.07558426,1.0038292,-1.7002124,0.9999932,0,0,1.169467,0.010554955,0.010500881,0.013370941,0.011770989,0.011596328,0.0053515863,0.010547546,0.005502893,0.0065055224,0.007197431,0.013862526,0.010793739,17.141668,16.721798,16.58146,16.467209,16.554365,16.687971,16.678417,16.87426,16.88426,17.158451,17.253302,17.233793,-0.2841911315917969,-0.0100002288818359,0.0741558927414682,0.0729210520339004,r â¤ 18,0.1320954999999983,unknown,,,i06MC011301JSN,i06MC011301JSN,,,,,,,,,,,,,6.029179,-73.834564,i06MC011301JSN,i06MC011301JSN,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,-0.2841909999999998,-0.0100000000000015,-0.2058430000000015,-0.2741909999999983,-0.3690420000000003,0.4198699999999995,0.2545889999999993,-0.1862889999999986,0.1142509999999994,-0.094851000000002,-0.195843,-0.1336060000000003,4688471104452312960,0,4688471104452312960,16245.5508,11177.3359,23781.1992,20104.4688,19214.6855,20868.9023,10022
48,357,b'i06MC011302G85',6.044742,-73.65362,0.047585767,0.9866535,1.4793104,0.99999946,0,0,1.1586552,0.0055002933,0.007032081,0.009325547,0.0084710885,0.0082702385,0.0038634979,0.0075732535,0.0038897095,0.0042150896,0.0047818776,0.009503437,0.0073160212,15.997425,15.974889,15.834502,15.853132,15.9284315,16.067455,16.049929,16.22601,16.058569,16.44198,16.622469,16.627392,-0.2159709930419922,0.1674404144287109,0.227218286383291,0.0491520485929694,r â¤ 18,0.275426000000003,unknown,,,i06MC011302G85,i06MC011302G85,,,,,,,,,,,,,6.044742,-73.65362,i06MC011302G85,i06MC011302G85,,,,,,,,,,,,,6,2,2,2,2,2,2,2,2,2,2,2,2,-0.2159700000000022,0.1674410000000001,-0.0086399999999997,-0.3834110000000024,-0.5639000000000003,0.0225360000000005,0.1217569999999987,-0.1585549999999997,-0.0186299999999999,-0.1804889999999979,-0.1760809999999999,-0.1390234999999986,4688487906364317440,0,4688487906364317440,10571.4336,8467.26074,13806.9316,14749.3896,13996.4443,15404.9697,10022
54,1651,b'i06MC013301RMK',6.183135,-74.65005,-0.16148897,1.0072064,-2.6733787,0.9999993,0,0,1.1495594,0.010768093,0.013218145,0.017331325,0.015449673,0.0152045395,0.006828497,0.013699269,0.006961334,0.0070805913,0.009099446,0.018868713,0.016879303,17.152628,17.010046,16.914963,16.913975,16.983957,17.113422,17.100174,17.248236,17.041067,17.480927,17.61799,17.65493,-0.2326908111572265,0.2071685791015625,0.2729212249146165,0.0859232892644966,r â¤ 18,0.3235144999999981,unknown,,,i06MC013301RMK,i06MC013301RMK,,,,,,,,,,,,,6.183135,-74.65005,i06MC013301RMK,i06MC013301RMK,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,-0.2326910000000026,0.2071689999999968,0.0591069999999973,-0.4398599999999995,-0.5769229999999972,0.1425820000000008,0.0960709999999984,-0.1348139999999986,0.0009879999999995,-0.1370629999999977,-0.1480619999999994,-0.1294649999999997,4685326703051018240,0,4685326703051018240,15611.0381,11756.7393,36441.1562,19604.1289,17519.5879,21555.7246,10022
55,347,b'i06MC011301I5R',6.2080064,-73.845116,-0.06218075,0.99549484,-1.3287812,0.99996823,0,0,1.1589338,0.010499967,0.011901613,0.014639023,0.01306193,0.012604995,0.005804218,0.011479424,0.005867202,0.0067119533,0.0076008397,0.015151005,0.012031274,17.191965,16.95311,16.723549,16.656939,16.710041,16.839636,16.832281,16.989206,16.93577,17.24744,17.389128,17.388826,-0.2582340240478515,0.053436279296875,0.1283167110456673,0.0764188916149632,r â¤ 18,0.1825529999999986,unknown,,,i06MC011301I5R,i06MC011301I5R,,,,,,,,,,,,,6.2080064,-73.845116,i06MC011301I5R,i06MC011301I5R,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,-0.2582340000000016,0.0534359999999978,-0.1034890000000032,-0.3116699999999994,-0.4533579999999979,0.2388550000000009,0.2961709999999975,-0.1495700000000006,0.0666099999999971,-0.1416879999999984,-0.1569250000000011,-0.1295949999999983,4688493541362400896,0,4688493541362400896,14857.5459,10944.667,21631.1289,19360.1367,9725.98828,22066.5957,10122
64,23894,b'i06MC0092035NG',6.4360843,-71.710144,0.022223089,1.0697763,0.42501277,0.9999998,0,0,1.1320028,0.01205546,0.013794405,0.01724899,0.015247061,0.014408684,0.006802127,0.012893437,0.00680628,0.007832531,0.008295781,0.018072585,0.013692205,16.986792,16.924381,16.749798,16.632858,16.739326,16.835564,16.877878,17.067984,16.99388,17.313982,17.511477,17.513485,-0.2459983825683593,0.0741043090820312,0.1446123732398915,0.0884995583104828,r â¤ 18,0.1971029999999984,Star,Cl* NGC  104    TUC    2474,0.0,i06MC0092035NG,i06MC0092035NG,,,,,,,,,,,,,6.4360843,-71.710144,i06MC0092035NG,i06MC0092035NG,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,-0.2459980000000001,0.0741039999999984,-0.1160020000000017,-0.3201019999999985,-0.5175969999999985,0.0624110000000008,0.2915230000000015,-0.2324199999999976,0.1169399999999996,-0.1974949999999999,-0.1901060000000001,-0.0962380000000031,4689843844713247232,0,4689843844713247232,10014.1914,7467.25,15445.9932,10158.1006,8162.79883,12170.168,10021
