col1,id_x,ra,dec,parallax,gaia_ruwe,gaia_parallax_over_error,gaia_classprob_dsc_combmod_star,gaia_in_qso_candidates,gaia_in_galaxy_candidates,gaia_phot_bp_rp_excess_factor,err_mag_psf_u,err_mag_psf_j0378,err_mag_psf_j0395,err_mag_psf_j0410,err_mag_psf_j0430,err_mag_psf_g,err_mag_psf_j0515,err_mag_psf_r,err_mag_psf_j0660,err_mag_psf_i,err_mag_psf_j0861,err_mag_psf_z,mag_psf_u,mag_psf_j0378,mag_psf_j0395,mag_psf_j0410,mag_psf_j0430,mag_psf_g,mag_psf_j0515,mag_psf_r,mag_psf_j0660,mag_psf_i,mag_psf_j0861,mag_psf_z,ri,rJ0660,delta_Ha,thr,panel_label,excess,main_type,main_id,size_angle,splus_idr6_id,id_y,mu_max_u,mu_max_g,mu_max_r,mu_max_i,mu_max_z,mu_max_j0378,mu_max_j0395,mu_max_j0410,mu_max_j0430,mu_max_j0515,mu_max_j0660,mu_max_j0861,upload_ra,upload_dec,upload_splus_idr6_id,id,mu_background_g,mu_background_i,mu_background_j0378,mu_background_j0395,mu_background_j0410,mu_background_j0430,mu_background_j0515,mu_background_j0660,mu_background_j0861,mu_background_r,mu_background_u,mu_background_z,flags_det,flags_g,flags_i,flags_j0378,flags_j0395,flags_j0410,flags_j0430,flags_j0515,flags_j0660,flags_j0861,flags_r,flags_u,flags_z,r_i,r_j0660,j0515_j0660,j0660_i,j0660_j0861,u_j0378,j0378_j0410,g_r,j0395_j0410,i_j0861,j0515_r,j0430_g,gaia_source_id,flag_be_star_figueiredo,source_id,r_med_geo,r_lo_geo,r_hi_geo,r_med_photogeo,r_lo_photogeo,r_hi_photogeo,flag
7722,b'i06MC002302OLU',78.072266,-66.24369,0.029931614,0.9920757,0.8046737,0.9999905,0,0,1.1497421,0.0069794646,0.0103654675,0.0131476205,0.01177333,0.010885545,0.0039145616,0.010158905,0.00396894,0.0052147233,0.0047099944,0.011513522,0.009323327,16.316244,16.250168,16.058867,16.149702,16.15809,16.304796,16.32423,16.45607,16.277386,16.6569,16.841911,16.835993,-0.2008304595947265,0.1786842346191406,0.2330516850714887,0.0553043631867498,r â¤ 18,0.2790990000000022,unknown,,,i06MC002302OLU,i06MC002302OLU,,,,,,,,,,,,,78.072266,-66.24369,i06MC002302OLU,i06MC002302OLU,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,-0.2008299999999998,0.1786840000000005,0.0468440000000001,-0.3795140000000003,-0.5645249999999997,0.0660760000000024,0.1004659999999972,-0.1512740000000008,-0.090835000000002,-0.1850109999999993,-0.1318400000000004,-0.1467059999999982,4661993868057067136,0,4661993868057067136,11757.3398,8582.45605,14731.5,10473.1445,7794.43896,16028.7285,10122
34633,b'i06MC00640AO0A',78.07411,-69.535904,0.151116,0.97727346,1.7207483,0.99998,0,0,1.1330522,0.026660237,0.03158183,0.039336327,0.036641844,0.034277778,0.018996896,0.030127406,0.019767566,0.018788077,0.025369944,0.035657346,0.0351264,18.518875,18.439867,18.24239,18.22917,18.231184,18.29706,18.188622,18.204277,17.947828,18.31345,18.335524,18.348707,-0.1091728210449218,0.256448745727539,0.2767466619414789,0.2394264139331278,18 < r â¤ 19,0.3110354999999991,unknown,,,i06MC00640AO0A,i06MC00640AO0A,,,,,,,,,,,,,78.07411,-69.535904,i06MC00640AO0A,i06MC00640AO0A,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,-0.1091729999999984,0.2564489999999999,0.2407939999999975,-0.3656219999999983,-0.3876959999999982,0.0790080000000017,0.2106969999999997,0.0927829999999971,0.0132200000000004,-0.0220739999999999,-0.0156550000000024,-0.0658759999999993,4658207596728732800,0,4658207596728732800,4007.2627,2966.62109,5619.55615,4413.81592,3311.92432,5800.15625,10011
19751,b'i06MC00640951Q',78.07422,-69.70568,-0.05125655,0.98425454,-1.4246503,0.99999785,0,0,1.1473361,0.005335051,0.007331823,0.010195343,0.009261735,0.010764698,0.00488504,0.010321066,0.007434317,0.0064906846,0.0062729623,0.0113140885,0.010127802,15.824801,15.968857,15.99234,15.939109,16.325052,16.225378,16.447836,16.899555,16.41065,16.450682,16.720102,16.752035,0.4488735198974609,0.4889049530029297,0.3111027515091598,0.0837063855020261,r â¤ 18,0.2644684999999995,unknown,,,i06MC00640951Q,i06MC00640951Q,,,,,,,,,,,,,78.07422,-69.70568,i06MC00640951Q,i06MC00640951Q,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,0.4488729999999989,0.488904999999999,0.0371859999999983,-0.040032,-0.3094520000000003,-0.144055999999999,0.0297479999999996,-0.6741770000000002,0.0532310000000002,-0.2694200000000002,-0.4517190000000006,0.0996740000000002,4652199487221526144,0,4652199487221526144,21316.8125,14696.7109,30076.4043,17343.6387,12636.1562,20783.2793,10021
23528,b'i06MC003104C9F',78.078224,-67.36078,0.024142021,1.0019647,0.34035006,0.9998555,0,0,1.1183091,0.019555686,0.023612574,0.02749032,0.024966203,0.023583373,0.011804608,0.021846527,0.011892774,0.012183738,0.01907883,0.03533328,0.036937222,17.96007,17.858315,17.586714,17.520874,17.529604,17.736147,17.695274,17.892223,17.760239,18.161886,18.254843,18.369387,-0.269662857055664,0.1319847106933593,0.2109491995902209,0.15060933780452,r â¤ 18,0.2668154999999998,unknown,,,i06MC003104C9F,i06MC003104C9F,,,,,,,,,,,,,78.078224,-67.36078,i06MC003104C9F,i06MC003104C9F,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,-0.2696629999999977,0.1319840000000027,-0.0649649999999972,-0.4016470000000005,-0.4946040000000025,0.1017550000000007,0.3374410000000019,-0.1560760000000023,0.0658400000000014,-0.0929570000000019,-0.196949,-0.2065429999999999,4661827596946827904,0,4661827596946827904,7588.27197,5524.54932,10746.9971,7567.30127,5255.7417,8957.33789,10122
20168,b'i06MC00640CZN4',78.08058,-69.301735,-0.3518164,1.410474,-4.219389,0.9998981,0,0,1.3280922,0.0177375,0.017032698,0.020383503,0.01841981,0.017552208,0.009617169,0.016371494,0.0107620135,0.010106339,0.014614892,0.021440094,0.020656306,17.861786,17.450453,17.196991,17.170437,17.179056,17.294512,17.272532,17.38388,17.086061,17.602783,17.635715,17.68094,-0.218902587890625,0.2978191375732422,0.3586446056287206,0.1290021714606206,r â¤ 18,0.4072704999999992,unknown,,,i06MC00640CZN4,i06MC00640CZN4,,,,,,,,,,,,,78.08058,-69.301735,i06MC00640CZN4,i06MC00640CZN4,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,-0.2189029999999974,0.2978190000000005,0.1864710000000009,-0.5167219999999979,-0.5496540000000003,0.411332999999999,0.2800159999999998,-0.0893680000000003,0.0265540000000008,-0.0329320000000024,-0.1113479999999995,-0.1154560000000017,4658216697685398528,0,4658216697685398528,11619.6133,8806.60254,15248.7412,9066.72754,7459.13721,11503.6729,10021
7714,b'i06MC0023025Y2',78.084915,-66.305725,0.024736702,1.1837531,0.94824517,0.999888,0,0,1.1533324,0.00426659,0.0049403384,0.0061080507,0.0052786884,0.004917076,0.0017389241,0.004644806,0.0017878049,0.0027190137,0.0021583731,0.0052189846,0.0039885356,15.443103,15.030044,14.791446,14.815892,14.824952,14.952478,14.954945,15.1247635,15.076577,15.363543,15.4923315,15.47808,-0.238779067993164,0.0481863021850585,0.1161145672265233,0.0272379934667074,r â¤ 18,0.1675762499999997,unknown,,,i06MC0023025Y2,i06MC0023025Y2,,,,,,,,,,,,,78.084915,-66.305725,i06MC0023025Y2,i06MC0023025Y2,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,-0.2387794999999997,0.0481864999999999,-0.1216319999999999,-0.2869659999999996,-0.4157545000000002,0.4130590000000005,0.2141520000000003,-0.1722855000000009,-0.0244459999999993,-0.1287885000000006,-0.1698184999999998,-0.1275259999999995,4661993249581678976,0,4661993249581678976,12315.2539,9852.32227,16253.2168,10521.0303,8953.73828,12617.8467,10022
14167,b'i06MC01090DNEN',78.08687,-71.55669,-0.032789275,1.0670233,-0.61228466,0.99992335,0,0,1.1476284,0.016299505,0.018584667,0.02450604,0.021150641,0.01747791,0.0055641066,0.016399197,0.005855545,0.008371662,0.00713849,0.017884085,0.013640657,17.446882,17.113306,16.868027,16.815224,16.852001,17.04721,17.057487,17.15596,17.039658,17.388386,17.514751,17.50109,-0.2324256896972656,0.116302490234375,0.1819603957364173,0.085886512591411,r â¤ 18,0.2325150000000029,unknown,,,i06MC01090DNEN,i06MC01090DNEN,,,,,,,,,,,,,78.08687,-71.55669,i06MC01090DNEN,i06MC01090DNEN,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,-0.2324260000000002,0.116302000000001,0.0178289999999989,-0.3487280000000012,-0.4750930000000011,0.3335759999999972,0.2980820000000008,-0.1087500000000005,0.0528030000000008,-0.1263649999999998,-0.098473000000002,-0.1952089999999984,4651577571597878272,0,4651577571597878272,11586.5918,8940.21582,16018.3623,13235.2803,11968.3467,14504.748,10012
25596,b'i06MC008700YI1',78.08689,-71.55667,-0.032789275,1.0670233,-0.61228466,0.99992335,0,0,1.1476284,0.013200449,0.015334235,0.01864822,0.0152836405,0.014513244,0.00537587,0.013347348,0.0061518447,0.007989069,0.0077337334,0.016297681,0.013783143,17.407553,17.086369,16.884962,16.83126,16.950247,17.023773,17.041676,17.164448,17.077448,17.399717,17.486917,17.492125,-0.235269546508789,0.0869998931884765,0.1536740418827371,0.0854693418151124,r â¤ 18,0.2046345000000009,unknown,,,i06MC008700YI1,i06MC008700YI1,,,,,,,,,,,,,78.08689,-71.55667,i06MC008700YI1,i06MC008700YI1,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,-0.2352689999999988,0.0869999999999997,-0.0357720000000014,-0.3222689999999986,-0.4094689999999978,0.3211839999999988,0.2551090000000009,-0.1406750000000016,0.0537020000000012,-0.0871999999999992,-0.1227720000000012,-0.0735259999999975,4651577571597878272,0,4651577571597878272,11586.5918,8940.21582,16018.3623,13235.2803,11968.3467,14504.748,10012
7897,b'i06MC002307EG5',78.0878,-65.66893,0.0038550012,1.0310574,0.05941754,0.99992776,0,0,1.1319896,,0.023792885,0.02931671,0.025682772,0.021544892,0.008329413,0.020161208,0.0084611755,0.009978775,0.009684778,0.022553226,0.019397689,,17.460136,17.206871,17.230707,17.14941,17.404615,17.341005,17.543259,17.368656,17.716179,17.868883,17.878532,-0.1729202270507812,0.1746025085449218,0.2189963261121402,0.1109339976034367,r â¤ 18,0.261063,unknown,,,i06MC002307EG5,i06MC002307EG5,,,,,,,,,,,,,78.0878,-65.66893,i06MC002307EG5,i06MC002307EG5,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,-0.1729200000000013,0.1746029999999976,-0.0276510000000023,-0.3475229999999989,-0.5002269999999989,,0.2294289999999996,-0.1386439999999993,-0.0238359999999993,-0.1527039999999999,-0.2022539999999999,-0.2552050000000001,4663533970272955776,0,4663533970272955776,8017.9375,5848.67725,11711.5215,5287.21924,4309.32324,6229.16455,10022
19695,b'i06MC006403HD5',78.09152,-70.13164,-0.043487173,1.0438914,-1.2586763,0.99999785,0,0,1.1783447,0.0057260427,0.007963147,0.01029465,0.009855259,0.009588084,0.0051850476,0.009422198,0.0055815945,0.005706423,0.007483491,0.012396878,0.011156339,16.006598,16.143812,16.020836,16.064844,16.121216,16.310839,16.311842,16.457842,16.205278,16.681444,16.838644,16.87001,-0.223602294921875,0.2525634765625,0.3150683699872779,0.0692113774064731,r â¤ 18,0.3643649999999994,Variable*,MACHO   9.5124.47,0.0,i06MC006403HD5,i06MC006403HD5,,,,,,,,,,,,,78.09152,-70.13164,i06MC006403HD5,i06MC006403HD5,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,-0.2236019999999996,0.2525639999999995,0.1065639999999987,-0.4761659999999992,-0.6333659999999988,-0.1372140000000001,0.0789679999999997,-0.147002999999998,-0.0440080000000016,-0.1571999999999995,-0.1460000000000008,-0.1896230000000009,4652160798148793344,0,4652160798148793344,14693.1113,11346.4785,19721.9453,17786.1016,14566.9775,24408.1289,10012
