id,ra_be,dec_be,mag_psf_g_be,mag_psf_i_be,mag_psf_j0378_be,mag_psf_j0395_be,mag_psf_j0410_be,mag_psf_j0430_be,mag_psf_j0515_be,mag_psf_j0660_be,mag_psf_j0861_be,mag_psf_r_be,mag_psf_u_be,mag_psf_z_be,OGLE-II,OGLE-III,OGLE-IV,ura,udec,OGLE,Ori,DC,DDC,Nou,Mass,Group,id_x,ra_simb,dec_simb,parallax,gaia_ruwe,gaia_parallax_over_error,gaia_classprob_dsc_combmod_star,gaia_in_qso_candidates,gaia_in_galaxy_candidates,gaia_phot_bp_rp_excess_factor,err_mag_psf_u,err_mag_psf_j0378,err_mag_psf_j0395,err_mag_psf_j0410,err_mag_psf_j0430,err_mag_psf_g,err_mag_psf_j0515,err_mag_psf_r,err_mag_psf_j0660,err_mag_psf_i,err_mag_psf_j0861,err_mag_psf_z,mag_psf_u_simb,mag_psf_j0378_simb,mag_psf_j0395_simb,mag_psf_j0410_simb,mag_psf_j0430_simb,mag_psf_g_simb,mag_psf_j0515_simb,mag_psf_r_simb,mag_psf_j0660_simb,mag_psf_i_simb,mag_psf_j0861_simb,mag_psf_z_simb,ri,rJ0660,delta_Ha,thr,panel_label,excess,main_type,main_id,size_angle,splus_idr6_id,id_y,mu_max_u,mu_max_g,mu_max_r,mu_max_i,mu_max_z,mu_max_j0378,mu_max_j0395,mu_max_j0410,mu_max_j0430,mu_max_j0515,mu_max_j0660,mu_max_j0861,upload_ra,upload_dec,upload_splus_idr6_id,mu_background_g,mu_background_i,mu_background_j0378,mu_background_j0395,mu_background_j0410,mu_background_j0430,mu_background_j0515,mu_background_j0660,mu_background_j0861,mu_background_r,mu_background_u,mu_background_z,flags_det,flags_g,flags_i,flags_j0378,flags_j0395,flags_j0410,flags_j0430,flags_j0515,flags_j0660,flags_j0861,flags_r,flags_u,flags_z,r_i,r_j0660,j0515_j0660,j0660_i,j0660_j0861,u_j0378,j0378_j0410,g_r,j0395_j0410,i_j0861,j0515_r,j0430_g,gaia_source_id
i06MC009500TQJ,16.51354373494146,-72.8254089123737,14.685519882202149,14.868312461853026,14.497574867248536,14.475612789154052,14.565716407775875,14.57608660888672,14.676162216186524,14.431179061889647,15.068349235534669,14.736219699859618,14.511717338562011,15.082793708801267,SMC_SC10_112290,SMC110.2.11,3,16.51333,-72.82531,SMC_SC10_112290,P,0.849,1.0,0.602,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i06MC011608ZS3,16.52128708821745,-72.7789737081559,17.53677894973755,18.143302059173585,17.513826358795168,17.22012312889099,17.265747949600218,17.3706416721344,17.538274147033693,17.78966855239868,18.101044282913207,17.803510162353515,18.709414333343503,18.08821197128296,SMC_SC10_114654,SMC110.2.15304,SMC726.28.556,16.521,-72.77881,SMC_SC10_114654,P,0.599,1.0,0.185,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i06MC0095017AA,16.521169829473685,-72.7789227840196,17.52027294921875,18.11994133758545,17.366384328842162,17.24603188610077,17.346070430755614,17.344239799499512,17.548893445968627,17.77605848121643,18.086642854690552,17.77811571121216,18.49679972648621,18.078330513000488,SMC_SC10_114654,SMC110.2.15304,SMC726.28.556,16.521,-72.77881,SMC_SC10_114654,P,0.599,1.0,0.185,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i06MC009503PE4,16.476299828741194,-72.47840079895983,16.016984275817872,16.429316955566406,15.931313924789428,15.80831005859375,15.854312789916992,15.872296070098876,16.042510929107667,16.22828872680664,16.61496466064453,16.230971340179444,16.0831708984375,16.618279090881348,SMC_SC10_124829,SMC110.4.12789,SMC725.04.201,16.47612,-72.47831,SMC_SC10_124829,P,0.527,1.0,0.139,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i06MC009503VWG,16.42754440047841,-72.46322339417223,14.439404632568358,14.969863300323484,14.17466609954834,14.164417842864989,14.24353200149536,14.279584621429445,14.485256397247316,14.739226417541502,15.132854709625246,14.71316862487793,14.231198608398437,15.159297649383548,SMC_SC10_126755,SMC110.4.12716,SMC725.05.21,16.42737,-72.46314,SMC_SC10_126755,P,0.691,1.0,0.694,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i06MC0095035C8,16.00475867059174,-72.55318962258387,13.113133468627929,13.334339141845703,,12.895819690704348,12.957582988739013,12.96860976409912,13.075034664154051,13.099272327423094,13.508358901977536,13.173168922424315,,13.528236053466795,SMC_SC10_14707,SMC110.5.9420,SMC726.29.24372,16.00467,-72.55308,SMC_SC10_14707,P,0.447,1.0,1.295,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i06MC0095035F8,15.928971936150324,-72.54545075163499,15.45020631790161,15.82749884033203,15.192795013427734,15.171568897247315,15.253319301605224,15.265149070739746,15.43785364151001,15.675237689971922,16.02330529022217,15.616772033691408,15.22567895889282,16.048821590423582,SMC_SC10_14733,SMC110.5.9445,SMC726.29.24481,15.92887,-72.54542,SMC_SC10_14733,P,0.756,1.0,0.277,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i06MC009505SAS,15.97817071242557,-72.25458200086972,16.036972316741945,16.304028583526613,15.996190216064452,15.873628206253052,15.931465126037596,15.959474910736084,16.04662127685547,15.96754124069214,16.441413814544678,16.169269886016846,16.04565902709961,16.437896579742432,SMC_SC10_26634,SMC113.7.12004,SMC725.05.18367,15.97854,-72.25458,SMC_SC10_26634,P,0.817,1.0,0.185,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i06MC009505ONG,15.926539809107975,-72.22854096121273,13.963136871337891,14.05021054840088,14.1831291847229,13.973508476257326,13.949279762268066,13.958859531402588,13.915251094818114,13.330815296173096,13.965868480682374,13.89882332611084,15.138232959747311,13.997499794006348,SMC_SC10_28910,SMC113.7.34643,0,15.92642,-72.22844,SMC_SC10_28910,P,0.748,1.0,0.253,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i06MC01150CC4N,15.986676464706616,-72.82403307035818,15.118740798950196,15.445535640716551,15.127038650512697,14.96589720916748,15.01873390197754,15.02395565032959,15.14894351196289,15.185610889434816,15.62396118927002,15.272523841857913,15.280915870666504,15.640489234924315,SMC_SC10_3038,SMC110.7.9186,M,15.98642,-72.82394,SMC_SC10_3038,P,0.519,1.0,0.43,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
