Names,RAJ2000_2008,DEJ2000_2008,Type_2008,amaj_2008,amin,PA,Com,SimbadName_2008,RAJ2000_2020,DEJ2000_2020,Type_2020,amaj_2020,bmin,l_logAge,logAge,r_logAge,[M/H],r_[M/H],PapI,B18,SimbadName_2020
"2,OGLS 312,OGLS 328",,,,,,,,,00 12 56.9,-73 29 28,C,1.2,1.2,,9.6,DKB+14,-1.58,DKB+16,0.0,B18,OGLE-CL SMC  328;OGLE-CL SMC 312
"AM 3,ESO28SC4,OGLS 315",,,,,,,,,23 48 59.3,-72 56 46,C,0.9,0.9,,9.72,"PGC+14,DKB+14",-0.98,DKB+16,1.0,B18,OGLE-CL SMC  315
"AM-3,ESO28SC4",23 48 59,-72 56 43,C,0.9,0.9,,Old IAC,ESO 28-4,,,,,,,,,,,,,
B-OB1,,,,,,,,,00 45 34.0,-73 15 26,AN,3.7,3.0,,8.2,CVH+06,,,1.0,B18,[B91] 1
B-OB11,,,,,,,,,00 54 09.0,-72 42 39,AN,3.0,3.0,,,,,,1.0,B18,[B91] 11
B-OB12,,,,,,,,,00 55 22.0,-72 46 57,AN,4.5,4.0,,7.6,CVH+06,,,1.0,B18,[B91] 12
B-OB13,,,,,,,,,00 57 58.0,-72 32 54,A,9.0,6.0,,6.8,CVH+06,,,1.0,B18,[B91] 13
B-OB14,,,,,,,,,00 59 38.0,-72 44 50,A,7.0,7.0,,6.9,CVH+06,,,1.0,B18,[B91] 14
B-OB16,,,,,,,,,00 59 26.0,-72 04 48,AN,4.0,2.0,,,,,,1.0,B18,[B91] 16
B-OB18,,,,,,,,,01 00 55.0,-72 29 44,AN,5.0,3.0,,6.8,CVH+06,,,1.0,B18,[B91] 18
B-OB19,,,,,,,,,01 02 03.0,-72 12 38,A,13.0,13.0,,6.7,CVH+06,,,1.0,B18,[B91] 19
B-OB2,,,,,,,,,00 48 17.0,-73 24 09,A,7.0,3.0,,6.8,CVH+06,,,1.0,B18,[B91] 2
B-OB20,,,,,,,,,01 01 45.0,-72 56 52,A,4.0,3.0,,6.8,CVH+06,,,1.0,B18,[B91] 20
B-OB21,,,,,,,,,01 02 03.0,-72 40 26,A,4.0,2.7,,7.0,CVH+06,,,1.0,B18,[B91] 21
B-OB23,,,,,,,,,01 03 06.0,-72 25 54,AN,5.0,2.5,,6.9,CVH+06,,,1.0,B18,[B91] 23
B-OB24,,,,,,,,,01 03 29.0,-71 56 00,AN,8.5,6.0,,7.0,CVH+06,,,1.0,B18,[B91] 24
B-OB25,,,,,,,,,01 04 38.0,-72 40 36,A,4.0,2.0,,7.0,CVH+06,,,1.0,B18,[B91] 25
B-OB28nw,,,,,,,,,01 04 58.0,-72 24 11,AN,6.0,2.0,,6.8,CVH+06,,,1.0,B18,[B91] 28nw
B-OB28se,,,,,,,,,01 05 37.0,-72 27 57,AN,3.4,2.4,,6.9,CVH+06,,,1.0,B18,[B91] 28se
B-OB29,,,,,,,,,01 06 14.0,-72 15 13,A,10.0,5.5,,6.9,CVH+06,,,1.0,B18,[B91] 29
B-OB30,,,,,,,,,01 07 40.0,-72 16 10,A,4.0,3.0,,6.8,CVH+06,,,1.0,B18,[B91] 30
B-OB5ne,,,,,,,,,00 52 21.0,-73 09 44,A,3.3,2.3,,6.8,CVH+06,,,1.0,B18,[B91] 5ne
B-OB5se,,,,,,,,,00 53 11.2,-73 13 13,AN,5.5,5.0,,8.3,CVH+06,,,1.0,B18,[B91] 5se
B-OB7,,,,,,,,,00 51 33.0,-72 47 39,AN,4.0,2.0,,6.8,CVH+06,,,1.0,B18,[B91] 7
"B-OB9,BIS538",,,,,,,,,00 51 51.0,-72 32 52,A,2.8,2.5,,6.9,CVH+06,,,1.0,B18,[B91] 9
B1,00 19 20,-74 06 26,C,0.8,0.8,,br*in or sup,Bruck 1,,,,,,,,,,,,,
"B1,OGLS 322",,,,,,,,,00 19 19.3,-74 06 24,C,0.8,0.8,,,,,,1.0,B18,OGLE-CL SMC  322
"B10,SOGLE4",00 37 44,-73 12 40,C,0.8,0.8,,,Bruck 10,00 37 44.5,-73 12 38,C,0.8,0.8,,9.0,"GGK10,CVH+06",,,1.0,B18,Bruck 10
B100,01 00 23,-72 05 05,C,0.65,0.65,,,Bruck 100,01 00 23.9,-72 05 21,C,0.65,0.65,,8.1,GGK10,,,0.0,B18,Bruck 100
"B101,BUS1017",,,,,,,,,01 00 44.8,-71 31 26,A,1.3,1.3,,7.53,BGB+18,,,1.0,B18,Bruck 101
B102,01 00 49,-71 35 16,C,0.5,0.4,80,in DEMS108,Bruck 102,01 00 48.7,-71 35 15,C,0.5,0.4,,,,,,1.0,B18,Bruck 102
B103,01 00 56,-73 09 09,C,0.9,0.65,160,,Bruck 103,,,,,,,,,,,,,
"B103,RZ127",,,,,,,,,01 00 57.0,-73 09 13,C,0.9,0.65,,8.43,"GGK10,MPS14",-0.01,PPV17,1.0,B18,Bruck 103
B104,,,,,,,,,01 01 29.1,-73 15 55,CC,0.35,0.35,,,,,,0.0,B18,
"B105,SOGLE128",01 01 37,-72 24 25,C,0.75,0.75,,in?DEMS114,Bruck 105,,,,,,,,,,,,,
"B105,SOGLE128,RZ131,BMS315",,,,,,,,,01 01 37.0,-72 24 25,C,0.75,0.75,,7.2,"CVH+06,PU99",,,1.0,B18,Bruck 105
B106,01 01 30,-71 50 47,DCN,0.5,0.4,150,in DEMS112 DC SMC-N72,Bruck 106,,,,,,,,,,,,,
B107,01 01 44,-71 39 44,CA,0.75,0.65,50,,Bruck 107,01 01 44.2,-71 39 25,CA,0.75,0.65,,,,,,0.0,B18,Bruck 107
"B108,SOGLE130",01 01 52,-72 10 58,C,0.8,0.8,,in B-OB19,Bruck 108,,,,,,,,,,,,,
"B108,SOGLE130,RZ133",,,,,,,,,01 01 51.0,-72 10 55,C,0.8,0.8,,8.75,"GGK10,CVH+06",,,1.0,B18,Bruck 108
B109,01 01 56,-73 36 46,C,0.7,0.7,,,Bruck 109,01 01 53.8,-73 36 40,C,0.7,0.7,,9.4,GGK10,,,1.0,B18,Bruck 109
B11,,,,,,,,,00 39 00.0,-72 55 05,CC,0.2,0.15,,,,,,0.0,B18,
B110,01 02 11,-72 00 11,C,0.55,0.45,70,"mP, br*in,in H-A49",Bruck 110,01 02 09.8,-72 00 20,C,0.55,0.45,,8.0,GGK10,,,1.0,B18,Bruck 110
B111,01 01 59,-71 01 16,C,0.5,0.45,,,Bruck 111,,,,,,,,,,,,,
"B111,RZ134,OGLS 334",,,,,,,,,01 02 02.2,-71 01 14,C,0.5,0.45,,9.15,MPS14,-0.28,PPV17,0.0,B18,OGLE-CL SMC  334
B112,01 02 23,-72 00 11,C,0.85,0.75,60,"mP, br*in,in H-A49",Bruck 112,,,,,,,,,,,,,
B112ne,,,,,,,,,01 02 21.6,-72 00 16,C,0.35,0.3,,,,,,1.0,B18,Bruck 112
B112sw,,,,,,,,,01 02 24.1,-72 00 04,C,0.35,0.3,,,,,,1.0,B18,Bruck 112
B113,01 02 56,-73 20 10,C,0.6,0.6,,,Bruck 113,,,,,,,,,,,,,
"B113,RZ142",,,,,,,,,01 02 54.6,-73 20 16,C,0.6,0.6,,8.75,GGK10,-1.01,PGC+16,1.0,B18,Bruck 113
"B114,SOGLE234",01 02 53,-72 24 53,CN,0.85,0.85,,"in DEMS118,mP",Bruck 114,01 02 53.2,-72 24 53,CN,0.85,0.85,,7.4,"GGK10,CVH+06",,,3.0,B18,Bruck 114
"B115,SOGLE137",01 03 23,-72 39 06,C,0.9,0.8,100,in H-A52,Bruck 115,,,,,,,,,,,,,
"B115,SOGLE137,RZ144,BMS252",,,,,,,,,01 03 23.2,-72 39 03,C,0.9,0.8,,7.43,"GGK10,CVH+06,PU99",,,1.0,B18,Bruck 115
B116,,,,,,,,,01 03 03.5,-71 53 38,NA,0.6,0.45,,,,,,2.0,B18,Bruck 116
B117,01 04 12,-73 15 19,C,0.65,0.65,,,Bruck 117,,,,,,,,,,,,,
"B117,RZ147",,,,,,,,,01 04 12.6,-73 15 38,C,0.65,0.65,,8.3,GGK10,,,0.0,B18,Bruck 117
B118,01 04 13,-73 01 55,C,0.45,0.45,,,Bruck 118,01 04 12.0,-73 02 07,C,0.45,0.45,,,,,,1.0,B18,Bruck 118
B119,01 04 19,-73 09 54,C,0.6,0.6,,mP,Bruck 119,01 04 19.4,-73 10 01,C,0.6,0.6,,8.9,GGK10,,,1.0,B18,Bruck 119
B12,00 38 22,-73 16 30,C,0.45,0.35,140,,Bruck 12,00 38 20.7,-73 16 16,C,0.45,0.35,,9.0,CVH+06,,,0.0,B18,Bruck 12
B120,01 04 31,-73 02 16,C,0.45,0.35,60,,Bruck 120,01 04 31.4,-73 02 22,C,0.45,0.35,,,,,,1.0,B18,Bruck 120
"B121,SOGLE141",01 04 30,-72 37 09,C,0.65,0.65,,,Bruck 121,,,,,,,,,,,,,
"B121,SOGLE141,RZ149",,,,,,,,,01 04 29.9,-72 37 09,C,0.65,0.65,,8.07,"GGK10,CVH+06,PU99",,,1.0,B18,Bruck 121
B122,01 04 18,-71 42 54,C,0.9,0.9,,,Bruck 122,,,,,,,,,,,,,
"B122,BS275,RZ148",,,,,,,,,01 04 24.7,-71 42 38,CA,1.2,1.2,,8.6,RZ05,,,0.0,B18,Bruck 122
B123,01 04 24,-71 23 57,CA,0.45,0.35,140,,Bruck 123,01 04 27.3,-71 23 59,CA,0.45,0.35,,,,,,0.0,B18,Bruck 123
B124,01 05 02,-73 02 34,C,0.55,0.55,,,Bruck 124,,,,,,,,,,,,,
"B124,RZ152",,,,,,,,,01 05 02.2,-73 02 32,C,0.55,0.55,,8.05,"GGK10,MPS14",-0.18,PPV17,1.0,B18,Bruck 124
B125,01 04 56,-72 02 44,C,0.6,0.6,,"br*in,in DEMS124",Bruck 125,01 04 55.3,-72 02 36,CA,0.6,0.6,,7.3,GGK10,,,1.0,B18,Bruck 125
B126,,,,,,,,,01 05 10.0,-71 10 55,AC,1.1,0.75,,7.9,GGK10,,,0.0,B18,Bruck 126
B127,01 05 30,-71 32 04,CA,0.95,0.75,60,,Bruck 127,01 05 29.8,-71 32 07,CA,0.95,0.75,,8.4,GGK10,,,1.0,B18,Bruck 127
B128,01 05 50,-71 57 04,C,0.7,0.45,30,in DEMS132,Bruck 128,,,,,,,,,,,,,
"B128,RZ154",,,,,,,,,01 05 51.0,-71 57 09,C,0.7,0.45,,8.35,"GGK10,CVH+06",,,1.0,B18,Bruck 128
"B129,SOGLE154",01 07 02,-72 37 18,CA,1.1,1.1,,,Bruck 129,,,,,,,,,,,,,
"B129,SOGLE154,RZ163,BMS246",,,,,,,,,01 07 02.0,-72 37 19,C,1.1,1.1,,8.2,"GGK10,CVH+06,PU99",,,1.0,B18,Bruck 129
B13,,,,,,,,,00 36 48.2,-74 57 45,CC,1.2,0.9,,,,,,0.0,B18,
B130,,,,,,,,,01 07 17.4,-72 35 08,A,1.1,1.0,,7.3,CVH+06,,,1.0,B18,Bruck 130
"B131,RZ161",,,,,,,,,01 07 00.8,-71 48 59,AC,1.2,0.7,,7.76,RZ05,,,1.0,B18,Bruck 131
B132,01 08 05,-73 31 25,CA,0.55,0.55,,,Bruck 132,01 08 05.8,-73 31 41,AC,0.55,0.55,,8.9,GGK10,,,0.0,B18,Bruck 132
B133,,,,,,,,,01 07 17.0,-71 21 25,CA,0.5,0.35,,,,,,1.0,B18,Bruck 133
B134,01 09 01,-73 12 24,CA,0.8,0.55,80,"m4,in H-A60",Bruck 134,01 09 05.9,-73 12 37,CA,0.8,0.55,,7.98,"GGK10,MPS14",-0.28,PPV17,0.0,B18,Bruck 134
B135,01 09 19,-73 11 15,C,0.55,0.4,60,"m4,in H-A60",Bruck 135,01 09 21.9,-73 11 19,CA,0.7,0.7,,8.0,GGK10,,,1.0,B18,Bruck 135
B136,01 08 41,-71 45 46,C,0.85,0.8,120,,Bruck 136,,,,,,,,,,,,,
"B136,RZ175",,,,,,,,,01 08 40.1,-71 45 32,C,0.85,0.8,,8.7,GGK10,,,1.0,B18,Bruck 136
B137,01 10 30,-72 57 23,C,0.6,0.6,,,Bruck 137,01 10 27.9,-72 57 26,C,0.6,0.6,,8.4,GGK10,,,1.0,B18,Bruck 137
B139,01 10 28,-71 33 41,C,0.65,0.55,160,,Bruck 139,,,,,,,,,,,,,
"B139,RZ183",,,,,,,,,01 10 26.6,-71 33 56,C,0.65,0.55,,8.3,GGK10,,,0.0,B18,Bruck 139
"B14,SOGLE162",00 38 37,-73 48 21,C,0.6,0.45,160,,Bruck 14,,,,,,,,,,,,,
"B14,SOGLE162,RZ21",,,,,,,,,00 38 37.2,-73 48 21,C,0.6,0.45,,8.28,"GGK10,CVH+06",,,1.0,B18,Bruck 14
B140,,,,,,,,,01 11 20.0,-72 22 37,NA,1.7,1.7,,,,,,0.0,B18,Bruck 140
B142,01 10 50,-71 28 37,C,0.55,0.55,,in BS153,Bruck 142,01 10 51.0,-71 28 40,AC,0.55,0.55,,,,,,1.0,B18,Bruck 142
B143,01 12 42,-72 45 07,C,0.5,0.5,,,Bruck 143,,,,,,,,,,,,,
"B143,RZ192",,,,,,,,,01 12 44.0,-72 45 00,C,0.5,0.5,,8.25,GGK10,,,1.0,B18,Bruck 143
"B144,H86-200",,,,,,,,,01 11 50.5,-71 57 00,A,0.7,0.5,,,,,,0.0,B18,Bruck 144
B146,,,,,,,,,01 14 05.6,-73 14 10,A,0.75,0.75,,,,,,1.0,B18,Bruck 146
B147,,,,,,,,,01 14 50.5,-73 06 49,AC,1.2,1.1,,8.1,GGK10,,,0.0,B18,Bruck 147
B148,,,,,,,,,01 14 07.3,-72 51 02,CA,1.2,1.0,,8.3,GGK10,,,0.0,B18,Bruck 148
B149,01 14 31,-72 59 54,C,0.5,0.5,,,Bruck 149,01 14 35.2,-72 59 44,C,0.5,0.5,,,,,,0.0,B18,Bruck 149
B15,00 39 42,-72 58 39,CA,0.6,0.45,100,mP,Bruck 15,00 39 40.3,-72 58 35,CA,0.6,0.45,,,,,,1.0,B18,Bruck 15
B150,,,,,,,,,01 13 58.5,-72 08 53,C,0.3,0.3,,,,,,0.0,B18,
B151,01 13 59,-71 45 11,CA,0.9,0.6,160,in BS153,Bruck 151,,,,,,,,,,,,,
"B151,RZ196",,,,,,,,,01 13 54.8,-71 45 27,CA,0.9,0.6,>,9.0,GGK10,,,0.0,B18,Bruck 151
B155,01 20 22,-73 59 55,C,0.55,0.55,,,Bruck 155,,,,,,,,,,,,,
"B155,RZ204",,,,,,,,,01 20 23.7,-74 00 12,C,0.55,0.55,,8.7,PdGR+15,,,0.0,B18,Bruck 155
B156,01 19 30,-73 05 38,C,0.65,0.45,110,,Bruck 156,01 19 34.7,-73 05 47,C,0.65,0.45,,7.5,GGK10,,,0.0,B18,Bruck 156
B157,,,,,,,,,01 18 49.3,-72 56 31,CC,0.35,0.35,,,,,,0.0,B18,
B159,,,,,,,,,01 20 52.0,-72 31 58,A,2.3,2.3,,,,,,1.0,B18,Bruck 159
B16,00 38 59,-73 56 49,C,0.3,0.3,,,Bruck 16,00 39 01.7,-73 56 51,C,0.3,0.3,,9.0,CVH+06,,,1.0,B18,Bruck 16
B160,,,,,,,,,01 21 49.0,-73 04 48,A,0.8,0.7,,,,,,1.0,B18,Bruck 160
B162,01 23 52,-73 26 19,CA,0.55,0.4,110,,Bruck 162,01 23 50.9,-73 26 23,AC,0.55,0.4,,7.3,PdGR+15,,,1.0,B18,Bruck 162
B163,,,,,,,,,01 24 10.7,-73 14 51,AC,2.0,1.2,,,,,,1.0,B18,Bruck 163
B164,01 29 30,-73 32 00,C,0.65,0.45,50,att NGC602,Bruck 164,,,,,,,,,,,,,
B165,01 30 50,-73 26 05,C,0.45,0.45,,in BS186,Bruck 165,,,,,,,,,,,,,
"B165,OGLS 285",,,,,,,,,01 30 50.5,-73 26 03,C,0.45,0.45,,,,,,1.0,B18,OGLE-CL SMC  285
B166,01 31 51,-73 54 50,C,0.4,0.4,,,Bruck 166,01 31 55.1,-73 54 32,AC,0.8,0.5,,8.3,PdGR+15,,,0.0,B18,Bruck 166
B167,,,,,,,,,01 32 25.2,-73 58 38,A,1.8,0.7,,,,,,1.0,B18,Bruck 167
B168,01 26 43,-70 46 49,C,0.45,0.45,,,Bruck 168,,,,,,,,,,,,,
"B168,OGLS 343",,,,,,,,,01 26 42.7,-70 47 01,C,0.45,0.45,,9.6,PdGR+15,,,1.0,B18,OGLE-CL SMC  343
B17,,,,,,,,,00 39 56.1,-72 48 46,CC,0.25,0.25,,,,,,0.0,B18,
B18,00 41 06,-72 43 33,C,0.35,0.3,120,,Bruck 18,00 41 06.4,-72 43 33,C,0.35,0.3,,,,,,1.0,B18,Bruck 18
B19,00 40 44,-73 03 42,C,0.45,0.35,170,mT,Bruck 19,00 40 44.3,-73 03 42,C,0.45,0.35,,7.8,GGK10,,,1.0,B18,Bruck 19
B2,00 19 18,-74 34 28,C,0.45,0.45,,,Bruck 2,,,,,,,,,,,,,
"B2,OGLS 331",,,,,,,,,00 19 17.7,-74 34 26,C,0.45,0.45,,9.26,DKB+16,-1.0,DKB+16,1.0,B18,OGLE-CL SMC  331
B20,00 40 49,-73 04 09,C,0.3,0.3,,mT,Bruck 20,00 40 48.1,-73 04 11,C,0.3,0.3,,,,,,1.0,B18,Bruck 20
"B21,SOGLE171",00 41 15,-72 49 55,C,0.35,0.35,,mP,Bruck 21,00 41 15.2,-72 49 55,C,0.35,0.35,,,,,,1.0,B18,Bruck 21
B22,00 41 21,-72 49 32,C,0.35,0.35,,mP,Bruck 22,00 41 20.7,-72 49 27,C,0.35,0.35,,,,,,1.0,B18,Bruck 22
"B23,SOGLE170",00 40 55,-73 24 07,C,0.6,0.5,40,"mT,in H-A3",Bruck 23,00 40 55.4,-73 24 09,C,0.6,0.5,,7.98,"GGK10,CVH+06,RZ05",,,1.0,B18,Bruck 23
B24,00 41 21,-72 58 51,CA,0.8,0.55,100,,Bruck 24,,,,,,,,,,,,,
"B24,RZ30",,,,,,,,,00 41 23.7,-72 58 51,CA,0.8,0.55,,8.75,GGK10,,,1.0,B18,Bruck 24
B25,00 40 32,-73 43 22,CA,0.65,0.55,90,,Bruck 25,00 40 33.5,-73 43 21,CA,0.65,0.55,,,,,,1.0,B18,Bruck 25
"B26,SOGLE169",00 40 45,-73 44 26,C,0.9,0.9,,,Bruck 26,00 40 44.9,-73 44 25,C,0.9,0.9,,8.23,"GGK10,CVH+06",,,1.0,B18,Bruck 26
B27,00 40 42,-73 52 20,C,0.4,0.4,,,Bruck 27,00 40 43.1,-73 52 16,NC,0.4,0.4,,,,,,1.0,B18,Bruck 27
B28,00 43 10,-72 15 24,CA,0.85,0.55,80,,Bruck 28,00 43 08.5,-72 15 38,CA,0.85,0.55,,8.7,GGK10,,,0.0,B18,Bruck 28
B29,00 42 11,-73 43 51,CA,0.5,0.35,100,mP,Bruck 29,00 42 12.5,-73 43 47,CA,0.5,0.35,,8.0,GGK10,,,1.0,B18,Bruck 29
B3,,,,,,,,,00 23 58.5,-73 38 03,CA,1.2,1.1,,,,,,1.0,B18,Bruck 3
"B31,SOGLE19,SOGLE175",00 43 38,-72 57 31,C,0.5,0.4,150,mT,Bruck 31,00 43 36.7,-72 57 26,C,0.5,0.4,,8.55,"CVH+06,PU99",,,1.0,B18,Bruck 31
"B33,SOGLE23",00 44 13,-73 37 08,C,0.5,0.5,,,Bruck 33,00 44 12.6,-73 37 10,C,0.5,0.5,,8.4,CVH+06,,,1.0,B18,Bruck 33
"B34,SOGLE176",00 44 52,-73 00 07,C,0.6,0.6,,br* edge,Bruck 34,00 44 52.1,-73 00 06,C,0.6,0.6,,9.08,"GGK10,CVH+06,PGC+14",-0.58,PPV17,1.0,B18,Bruck 34
B34A,00 44 23,-72 56 44,CA,0.75,0.55,30,,Name Bruck 34A,00 44 25.2,-72 56 41,CA,0.75,0.55,,9.0,CVH+06,,,1.0,B18,NAME Bruck 34A
"B35,L61-68,SOGLE29",,,,,,,,,00 45 30.8,-73 04 55,NC,0.3,0.25,,,,,,5.0,B18,Bruck 35
B36,00 45 44,-72 50 35,C,0.7,0.6,140,mP,Bruck 36,00 45 41.9,-72 50 29,C,0.7,0.6,,8.35,"GGK10,CVH+06",,,1.0,B18,Bruck 36
B37,00 44 44,-74 12 06,CA,1.1,0.9,60,,Bruck 37,00 44 44.6,-74 12 09,CA,1.1,0.9,>,9.0,GGK10,,,1.0,B18,Bruck 37
B38,00 45 54,-72 36 08,C,0.3,0.3,,mP,Bruck 38,00 45 55.0,-72 36 20,CC,0.25,0.25,,,,,,1.0,B18,Bruck 38
"B39,SOGLE27",00 45 26,-73 28 53,C,0.55,0.55,,mP,Bruck 39,,,,,,,,,,,,,
"B39,SOGLE27,RZ42",,,,,,,,,00 45 27.1,-73 28 50,C,0.55,0.55,,9.08,"GGK10,CVH+06,PGC+14",-0.58,PPV17,1.0,B18,Bruck 39
B4,00 24 54,-73 01 50,CA,0.85,0.85,,,Bruck 4,,,,,,,,,,,,,
"B4,OGLS 317",,,,,,,,,00 24 54.3,-73 01 50,C,0.85,0.85,,9.58,DKB+16,-1.19,DKB+16,1.0,B18,OGLE-CL SMC  317
B40,00 46 15,-72 35 18,DCN,0.4,0.35,40,DCMA126,Bruck 40,,,,,,,,,,,,,
"B40,MA126",,,,,,,,,00 46 15.0,-72 35 16,CA,0.5,0.5,,,,,,2.0,B18,Bruck 40
B41,00 45 27,-73 42 11,C,0.5,0.5,,,Bruck 41,,,,,,,,,,,,,
"B41,RZ41",,,,,,,,,00 45 27.3,-73 42 13,C,0.5,0.5,,8.0,GGK10,,,1.0,B18,Bruck 41
"B42,SOGLE34,VMC3",,,,,,,,,00 46 35.1,-73 05 54,NC,0.7,0.7,,9.0,PIR+16,,,2.0,B18,Bruck 42
B43,00 46 41,-73 31 22,C,0.5,0.5,,in SMC-N17,Bruck 43,00 46 40.2,-73 31 14,CN,0.5,0.5,,,,,,1.0,B18,Bruck 43
B44,00 46 13,-74 22 41,C,0.5,0.5,,,Bruck 44,00 46 15.5,-74 22 40,C,0.5,0.5,,,,,,1.0,B18,Bruck 44
B45,00 47 47,-71 59 56,CA,0.65,0.45,110,,Bruck 45,00 47 52.0,-72 00 02,CA,0.65,0.5,,8.0,GGK10,,,0.0,B18,Bruck 45
"B47,SOGLE48",00 48 33,-73 18 25,C,1.0,1.0,,,Bruck 47,00 48 33.0,-73 18 25,C,1.0,1.0,,9.11,"CVH+06,PGC+14",-0.01,PPV17,1.0,B18,Bruck 47
"B48,SOGLE49",00 48 37,-73 24 53,CA,1.3,1.1,140,in H-A16,Bruck 48,00 48 37.0,-73 24 53,CA,1.3,1.1,,7.7,"GGK10,CVH+06,PU99,MPS14",-0.1,PPV17,1.0,B18,Bruck 48
B49,00 48 52,-73 33 41,C,0.5,0.5,,,Bruck 49,00 48 55.1,-73 33 35,C,0.5,0.5,,9.0,"GGK10,CVH+06",,,1.0,B18,Bruck 49
B5,,,,,,,,,00 26 28.4,-74 09 00,CC,0.3,0.2,,,,,,0.0,B18,
B50,00 49 02,-73 21 44,C,0.55,0.55,,mT,Bruck 50,00 49 02.5,-73 21 57,C,0.55,0.55,,7.0,"GGK10,CVH+06",,,1.0,B18,Bruck 50
"B52,SOGLE57",00 49 40,-73 03 32,C,1.1,1.1,,in DEMS51,Bruck 52,00 49 39.9,-73 03 31,C,1.1,1.1,,8.5,CVH+06,,,1.0,B18,Bruck 52
"B53,SOGLE197",00 50 04,-73 23 04,C,0.95,0.95,,mP,Bruck 53,,,,,,,,,,,,,
"B53,SOGLE197,BMS75",,,,,,,,,00 50 03.7,-73 22 57,C,0.95,0.95,,8.27,"GGK10,CVH+06,PU99",,,1.0,B18,Bruck 53
"B54,SOGLE62",00 50 28,-73 12 12,C,0.65,0.65,,,Bruck 54,,,,,,,,,,,,,
"B54,SOGLE62,RZ60",,,,,,,,,00 50 28.4,-73 12 11,C,0.65,0.65,,8.2,"GGK10,CVH+06",,,1.0,B18,Bruck 54
"B55,SOGLE60",00 50 22,-73 23 16,C,0.7,0.6,110,mP,Bruck 55,,,,,,,,,,,,,
"B55,SOGLE60,RZ59",,,,,,,,,00 50 22.1,-73 23 13,C,0.7,0.6,,8.21,"GGK10,CVH+06,PU99,MPS14",-0.01,PPV17,1.0,B18,Bruck 55
"B56,SOGLE66",00 50 55,-73 12 11,C,0.45,0.45,,,Bruck 56,,,,,,,,,,,,,
"B56,SOGLE66,RZ66",,,,,,,,,00 50 54.9,-73 12 06,C,0.45,0.45,,7.75,"CVH+06,PU99",,,1.0,B18,Bruck 56
"B57,SOGLE71",00 51 32,-73 00 38,C,1.2,1.2,,,Bruck 57,00 51 32.2,-73 00 48,C,0.45,0.45,,7.3,"CVH+06,PU99",,,1.0,B18,Bruck 57
"B59,L61-183,SOGLE73,RZ70,MA488",,,,,,,,,00 51 43.7,-72 50 27,CN,0.8,0.6,,8.1,"CVH+06,PU99",,,2.0,B18,Bruck 59
"B59,SOGLE73",00 51 44,-72 50 25,DCN,0.8,0.6,80,mP DC L61-183,Bruck 59,,,,,,,,,,,,,
B6,00 27 57,-74 24 02,C,0.6,0.6,,,Bruck 6,00 27 59.5,-74 24 04,C,0.6,0.6,,8.11,DKB+16,-0.04,DKB+16,1.0,B18,Bruck 6
"B60,SOGLE72",00 51 42,-73 13 47,C,0.93,0.93,,in SMC-N45,Bruck 60,00 51 41.5,-73 13 39,CN,0.95,0.75,,7.9,"GGK10,PU99",,,3.0,B18,Bruck 60
"B61,BMS427,BUS966",,,,,,,,,00 52 13.4,-71 51 17,CN,1.8,1.7,,6.97,BGB+18,,,1.0,B18,Bruck 61
"B62,BMS17",,,,,,,,,00 52 07.4,-73 36 04,A,1.2,0.8,,8.2,BGB+18,,,1.0,B18,Bruck 62
"B64,SOGLE210",00 52 30,-73 02 59,C,0.7,0.7,,"mP,in H-A29",Bruck 64,00 52 30.6,-73 02 59,C,0.7,0.7,,8.18,"GGK10,CVH+06,PU99",,,2.0,B18,Bruck 64
"B65,SOGLE83",00 52 44,-72 58 48,C,0.75,0.75,,mT,Bruck 65,,,,,,,,,,,,,
"B65,SOGLE83,RZ75",,,,,,,,,00 52 44.3,-72 58 46,C,0.75,0.75,,7.77,"GGK10,CVH+06,PU99",,,1.0,B18,Bruck 65
"B66,SOGLE85",00 52 48,-72 47 46,C,0.6,0.45,40,,Bruck 66,,,,,,,,,,,,,
"B66,SOGLE85,RZ78",,,,,,,,,00 52 47.3,-72 47 44,C,0.6,0.45,,8.6,"GGK10,CVH+06",,,1.0,B18,Bruck 66
"B67,SOGLE87",00 52 49,-73 24 43,C,0.65,0.5,110,"mP,in DEMS73",Bruck 67,,,,,,,,,,,,,
"B67,SOGLE87,RZ76",,,,,,,,,00 52 48.7,-73 24 44,C,0.65,0.5,,8.6,"CVH+06,PU99",,,1.0,B18,Bruck 67
B68,,,,,,,,,00 52 26.6,-74 47 28,A,1.7,0.55,,,,,,1.0,B18,Bruck 68
"B69,SOGLE89",00 53 07,-72 37 28,C,0.65,0.65,,in H-A33,Bruck 69,,,,,,,,,,,,,
"B69,SOGLE89,RZ81",,,,,,,,,00 53 05.8,-72 37 26,C,0.65,0.65,,7.5,"CVH+06,PU99",,,1.0,B18,Bruck 69
B7,,,,,,,,,00 34 31.7,-72 58 24,CC,0.3,0.25,,,,,,0.0,B18,
B70,00 53 26,-71 45 15,C,0.55,0.45,150,,Bruck 70,00 53 26.2,-71 44 51,C,0.55,0.45,,,,,,0.0,B18,Bruck 70
"B71,SOGLE92",00 53 18,-72 46 00,C,0.85,0.85,,,Bruck 71,,,,,,,,,,,,,
