Names,RAJ2000_2008,DEJ2000_2008,Type_2008,amaj_2008,amin,PA,Com,SimbadName_2008,RAJ2000_2020,DEJ2000_2020,Type_2020,amaj_2020,bmin,l_logAge,logAge,r_logAge,[M/H],r_[M/H],PapI,B18,SimbadName_2020
KMHK223,04 54 08,-65 46 40,C,0.55,0.5,160,,KMHK223,,,,,,,,,,,,,
KMHK225,04 54 15,-65 29 11,CA,0.5,0.5,,,KMHK225,,,,,,,,,,,,,
KMHK229,04 53 51,-69 34 19,CA,0.85,0.75,150,in SGshell-LMC7,KMHK229,,,,,,,,,,,,,
KMHK233,04 54 28,-65 49 13,CA,0.8,0.7,70,,KMHK233,,,,,,,,,,,,,
KMHK236,04 54 25,-66 44 30,DCN,0.6,0.5,130,in Shapley-VI DC DEML29b,KMHK236,,,,,,,,,,,,,
"KMHK237,GKK-O112",04 54 01,-69 59 46,C,0.8,0.7,170,in LMC-N185,KMHK237,,,,,,,,,,,,,
KMHK243,04 54 52,-64 55 00,C,0.95,0.8,40,,KMHK243,,,,,,,,,,,,,
KMHK245,04 54 26,-68 27 39,C,0.9,0.8,150,in SGshell-LMC6,KMHK245,,,,,,,,,,,,,
KMHK246,04 54 55,-65 36 21,C,0.6,0.5,,,KMHK246,,,,,,,,,,,,,
KMHK248,04 54 56,-66 23 16,CA,0.85,0.75,130,in LMC-N11,KMHK248,,,,,,,,,,,,,
KMHK251,04 54 42,-69 03 34,C,0.7,0.6,50,,KMHK251,,,,,,,,,,,,,
KMHK258,04 54 45,-69 49 26,C,0.6,0.5,110,in SGshell-LMC7,KMHK258,,,,,,,,,,,,,
KMHK262,04 54 38,-70 48 33,CA,0.5,0.5,,in GKK-O63,KMHK262,,,,,,,,,,,,,
KMHK267,04 55 17,-66 48 21,C,0.8,0.7,130,in DEML27,KMHK267,,,,,,,,,,,,,
KMHK268,04 55 23,-66 26 37,CN,1.1,1.0,20,in LMC-N11,KMHK268,,,,,,,,,,,,,
KMHK270,04 55 05,-69 03 29,C,0.5,0.45,70,2 br*in?,KMHK270,,,,,,,,,,,,,
KMHK271,04 55 04,-69 27 43,C,0.65,0.65,,in LH8,KMHK271,,,,,,,,,,,,,
KMHK273,04 55 24,-67 03 42,C,0.65,0.6,20,in BSDL229,KMHK273,,,,,,,,,,,,,
KMHK288,04 55 23,-70 19 07,C,0.6,0.55,170,,KMHK288,,,,,,,,,,,,,
KMHK289,04 55 32,-69 30 38,C,0.5,0.45,170,"mP,in LH8",KMHK289,,,,,,,,,,,,,
KMHK292,04 55 35,-69 26 53,C,1.1,1.0,60,in LH8,KMHK292,,,,,,,,,,,,,
KMHK297,04 55 23,-71 23 45,C,0.6,0.5,10,in LH7,KMHK297,,,,,,,,,,,,,
KMHK3,04 29 34,-68 21 22,C,0.8,0.8,,,KMHK3,,,,,,,,,,,,,
KMHK300,04 55 39,-70 32 48,C,1.2,1.1,20,,KMHK300,,,,,,,,,,,,,
KMHK311,04 56 33,-67 01 03,C,0.65,0.5,100,in Shapley-VI,KMHK311,,,,,,,,,,,,,
KMHK32,04 41 00,-68 18 04,C,0.65,0.5,160,,KMHK32,,,,,,,,,,,,,
KMHK325,04 57 04,-66 42 35,C,0.65,0.6,140,in Shapley-VI,KMHK325,,,,,,,,,,,,,
KMHK327,04 56 35,-70 25 28,C,0.55,0.5,30,,KMHK327,,,,,,,,,,,,,
KMHK329,04 57 10,-66 41 48,C,0.7,0.6,160,in Shapley-VI,KMHK329,,,,,,,,,,,,,
KMHK332,04 57 13,-66 53 05,C,0.8,0.7,70,in Shapley-VI,KMHK332,,,,,,,,,,,,,
KMHK335,04 56 51,-70 06 03,C,0.65,0.55,60,,KMHK335,,,,,,,,,,,,,
KMHK34,04 41 51,-64 32 51,C,1.0,1.0,,,KMHK34,,,,,,,,,,,,,
KMHK343,04 55 55,-75 08 17,C,0.35,0.3,130,mP,KMHK343,,,,,,,,,,,,,
KMHK346,04 57 30,-66 54 39,CA,1.2,1.0,80,"mP,in Shapley-VI",KMHK346,,,,,,,,,,,,,
KMHK355,04 57 21,-70 28 59,C,0.6,0.45,150,,KMHK355,,,,,,,,,,,,,
KMHK36,04 41 25,-70 29 40,C,0.6,0.6,,,KMHK36,,,,,,,,,,,,,
KMHK366,04 58 18,-66 58 43,CA,0.6,0.55,10,"in Shapley-VI,br*in",KMHK366,,,,,,,,,,,,,
"KMHK376,GKK-O110",04 58 08,-70 24 11,CA,0.95,0.7,40,in BSDL352,KMHK376,,,,,,,,,,,,,
KMHK378,04 58 22,-69 48 11,C,0.55,0.45,30,in SGshell-LMC7,KMHK378,,,,,,,,,,,,,
KMHK381e,04 58 49,-68 38 11,CA,0.45,0.35,150,"mP,in SGshell-LMC6",KMHK381,,,,,,,,,,,,,
KMHK403,04 59 48,-68 18 56,C,0.65,0.6,60,,KMHK403,,,,,,,,,,,,,
KMHK417,04 59 04,-74 47 40,C,0.7,0.7,,,KMHK417,,,,,,,,,,,,,
"KMHK423,LOGLE6",05 00 29,-68 38 28,C,0.55,0.45,160,in SGshell-LMC6,KMHK423,,,,,,,,,,,,,
KMHK424,05 00 30,-68 27 24,C,0.8,0.6,120,in BSDL408,KMHK424,,,,,,,,,,,,,
KMHK431,05 00 17,-71 35 31,C,0.35,0.35,,in BSDL417,KMHK431,,,,,,,,,,,,,
KMHK432,05 01 02,-66 44 52,CA,0.85,0.75,50,,KMHK432,,,,,,,,,,,,,
KMHK44,04 43 26,-64 53 05,C,0.85,0.75,20,not SL16,KMHK44,,,,,,,,,,,,,
KMHK442,05 01 06,-69 35 40,C,0.55,0.45,160,,KMHK442,,,,,,,,,,,,,
KMHK447,05 00 15,-74 45 07,C,0.65,0.65,,,KMHK447,,,,,,,,,,,,,
"KMHK451,LOGLE20",05 01 45,-67 34 01,C,0.7,0.5,160,,KMHK451,,,,,,,,,,,,,
KMHK453,05 00 13,-75 45 08,C,0.9,0.65,70,,KMHK453,,,,,,,,,,,,,
"KMHK454,GKK-O76",05 00 47,-71 03 23,CA,1.6,1.1,60,,KMHK454,,,,,,,,,,,,,
"KMHK456,LOGLE29",05 02 06,-66 45 19,C,0.9,0.9,,,KMHK456,,,,,,,,,,,,,
KMHK457,05 01 54,-68 23 40,CA,0.95,0.9,70,,KMHK457,,,,,,,,,,,,,
KMHK458se,05 02 19,-65 32 38,C,0.5,0.5,,"mP,in DEML43?",KMHK458,,,,,,,,,,,,,
KMHK46,04 43 14,-68 02 12,C,0.4,0.3,100,,KMHK46,,,,,,,,,,,,,
KMHK461,05 01 51,-69 55 09,C,0.65,0.55,30,,KMHK461,,,,,,,,,,,,,
KMHK464,05 01 54,-70 31 23,CA,1.1,0.95,110,in Shapley-VIII,KMHK464,,,,,,,,,,,,,
KMHK471,05 02 13,-70 50 13,C,0.55,0.5,100,,KMHK471,,,,,,,,,,,,,
KMHK477,05 03 27,-66 14 58,C,0.55,0.55,,not HS101,KMHK477,,,,,,,,,,,,,
KMHK490,05 04 01,-66 26 48,C,0.75,0.65,170,mP,KMHK490,,,,,,,,,,,,,
KMHK493,05 03 45,-70 21 15,C,0.6,0.55,130,in LH18,KMHK493,,,,,,,,,,,,,
KMHK494,05 03 50,-70 22 18,C,0.5,0.45,160,in LH18,KMHK494,,,,,,,,,,,,,
KMHK496,05 04 34,-65 53 11,CA,0.7,0.55,50,,KMHK496,,,,,,,,,,,,,
KMHK502,05 04 42,-66 12 57,CA,0.65,0.55,110,,KMHK502,,,,,,,,,,,,,
KMHK505,05 04 33,-67 58 32,C,0.65,0.65,,,KMHK505,,,,,,,,,,,,,
KMHK506,05 04 30,-68 20 59,CA,0.75,0.6,60,,KMHK506,,,,,,,,,,,,,
KMHK508,05 04 09,-71 04 39,C,0.5,0.4,170,,KMHK508,,,,,,,,,,,,,
KMHK51,04 43 31,-70 24 29,CA,0.95,0.8,100,,KMHK51,,,,,,,,,,,,,
KMHK511,05 05 03,-66 29 58,CA,1.2,0.95,20,,KMHK511,,,,,,,,,,,,,
KMHK514,05 04 36,-70 10 01,C,0.65,0.6,160,in BSDL550,KMHK514,,,,,,,,,,,,,
KMHK516,05 03 55,-73 56 08,C,0.8,0.8,,,KMHK516,,,,,,,,,,,,,
KMHK519,05 05 25,-65 28 49,CA,0.65,0.55,170,,KMHK519,,,,,,,,,,,,,
"KMHK540,LOGLE98",05 06 10,-70 00 52,C,0.8,0.75,160,,KMHK540,,,,,,,,,,,,,
"KMHK541,LOGLE99",05 06 12,-69 58 22,C,0.85,0.8,50,,KMHK541,,,,,,,,,,,,,
"KMHK554,LOGLE119",05 07 11,-68 18 04,C,0.55,0.45,70,,KMHK554,,,,,,,,,,,,,
KMHK56,04 43 45,-70 33 06,CA,0.9,0.75,160,,KMHK56,,,,,,,,,,,,,
KMHK572,05 07 55,-70 01 58,CA,0.9,0.8,20,in LH29,KMHK572,,,,,,,,,,,,,
"KMHK575,LOGLE139",05 08 28,-66 46 14,C,1.0,0.9,10,not SL263,KMHK575,,,,,,,,,,,,,
KMHK579,05 08 50,-65 40 21,C,0.5,0.45,160,,KMHK579,,,,,,,,,,,,,
KMHK58,04 43 14,-73 48 43,C,0.9,0.8,100,,KMHK58,,,,,,,,,,,,,
KMHK581,05 08 18,-70 34 28,CA,1.7,1.5,20,in DEML80,KMHK581,,,,,,,,,,,,,
KMHK586,05 08 51,-67 58 49,C,0.6,0.5,120,,KMHK586,,,,,,,,,,,,,
KMHK587,05 08 32,-70 26 55,CA,1.0,1.0,,,KMHK587,,,,,,,,,,,,,
KMHK6,04 32 48,-71 27 30,C,0.6,0.55,80,,KMHK6,,,,,,,,,,,,,
KMHK606,05 09 35,-70 14 31,CA,1.7,1.4,120,,KMHK606,,,,,,,,,,,,,
"KMHK609,GKK-O221",05 10 01,-68 14 43,CA,0.8,0.65,50,,KMHK609,,,,,,,,,,,,,
"KMHK610,GKK-O70",05 09 34,-71 16 27,CA,0.6,0.5,150,,KMHK610,,,,,,,,,,,,,
KMHK624,05 10 02,-72 46 20,CA,0.8,0.8,,,KMHK624,,,,,,,,,,,,,
KMHK633,05 10 37,-71 17 39,C,0.8,0.6,50,,KMHK633,,,,,,,,,,,,,
KMHK640,05 11 10,-71 32 22,CA,0.7,0.6,110,br*in,KMHK640,,,,,,,,,,,,,
KMHK643,05 11 35,-70 02 33,C,0.55,0.55,,,KMHK643,,,,,,,,,,,,,
KMHK651,05 11 08,-74 32 41,C,0.7,0.7,,,KMHK651,,,,,,,,,,,,,
KMHK655,05 12 34,-68 03 49,C,0.55,0.5,10,,KMHK655,,,,,,,,,,,,,
KMHK66,04 44 46,-71 00 09,C,0.8,0.8,,,KMHK66,,,,,,,,,,,,,
KMHK662,05 12 48,-70 36 50,C,0.75,0.65,120,,KMHK662,,,,,,,,,,,,,
KMHK669,05 13 42,-67 26 04,CN,1.4,1.1,40,"in LMC-N30C,not NGC1871",KMHK669,,,,,,,,,,,,,
KMHK672,05 14 13,-66 23 40,CA,1.3,1.1,10,,KMHK672,,,,,,,,,,,,,
KMHK686,05 13 58,-73 09 31,C,0.65,0.55,50,,KMHK686,,,,,,,,,,,,,
KMHK697,05 15 49,-66 01 41,CA,0.9,0.8,110,,KMHK697,,,,,,,,,,,,,
KMHK698,05 15 40,-67 50 48,CA,0.55,0.5,40,,KMHK698,,,,,,,,,,,,,
KMHK704,05 15 34,-70 45 07,C,0.7,0.65,50,in BSDL1050,KMHK704,,,,,,,,,,,,,
KMHK707e,05 16 13,-70 30 10,C,0.85,0.85,,mP,KMHK707,,,,,,,,,,,,,
KMHK707w,05 16 11,-70 30 08,C,0.65,0.65,,mP,KMHK707,,,,,,,,,,,,,
KMHK710,05 17 06,-66 34 57,C,0.55,0.55,,,KMHK710,,,,,,,,,,,,,
KMHK711,05 17 01,-67 32 25,C,0.65,0.55,160,,KMHK711,,,,,,,,,,,,,
