,id,ra,dec,mag_psf_g,mag_psf_i,mag_psf_j0378,mag_psf_j0395,mag_psf_j0410,mag_psf_j0430,mag_psf_j0515,mag_psf_j0660,mag_psf_j0861,mag_psf_r,mag_psf_u,mag_psf_z,err_mag_psf_g,err_mag_psf_i,err_mag_psf_j0378,err_mag_psf_j0395,err_mag_psf_j0410,err_mag_psf_j0430,err_mag_psf_j0515,err_mag_psf_j0660,err_mag_psf_j0861,err_mag_psf_r,err_mag_psf_u,err_mag_psf_z,aperture_id,center_ra,center_dec,sep_arcsec,star_id
0,i06MC006309AMC,75.56053326266097,-69.69134568556427,19.89679965019226,18.73805331802368,21.40431523036957,,20.389687541007994,20.59144747924805,19.59110148048401,18.940912784576412,18.663748458862305,19.06377374649048,,18.62570121765137,0.05432699,0.028857188,0.3065873,,0.1857023,0.19895706,0.075846255,0.031210853,0.04141104,0.03180242,,0.034429483,0,75.5427588234351,-69.67639835214419,58.21629163366673,
1,i06MC006309AX1,75.54258983595767,-69.69257767774356,18.58416677856445,17.14924478149414,20.96554535341263,20.43311197257042,19.801088574409484,19.4523449010849,18.32209022140503,17.41738349342346,17.016147331237793,17.57360565185547,21.12379514694214,16.946367530822755,0.019731557,0.009609686,0.20565936,0.20229927,0.11448902,0.07820524,0.030033855,0.010583963,0.012936839,0.010499669,0.18516336,0.009826815,0,75.5427588234351,-69.67639835214419,58.24595511732,
2,i06MC006309AT5,75.53806643484693,-69.69099554972274,19.914440168380736,18.872950550079345,,,20.787972542524336,20.62874246311188,19.71648902988434,19.095307841300965,18.75351679611206,19.145771141052247,,18.710816888809205,0.055396866,0.032089926,,,0.2611519,0.20584537,0.08423271,0.03522182,0.0444176,0.03409804,,0.036959287,0,75.5427588234351,-69.67639835214419,52.87620625119184,
3,i06MC006309BZT,75.53685624180059,-69.68940883558083,19.8214567565918,18.74148273086548,21.40131997776032,,20.39242011594772,20.36368478012085,19.58639247512817,18.93158663749695,18.61497748184204,19.07975112915039,22.26193332195282,18.54625919342041,0.051238272,0.029092733,0.307625,,0.18792228,0.16352949,0.07649068,0.03110615,0.039976858,0.03229549,0.5918099,0.032273967,0,75.5427588234351,-69.67639835214419,47.415293329797116,
4,i06MC006309AEP,75.52969357932135,-69.6918359310108,19.52074123764038,18.42088317489624,20.62351196718216,20.388706303596496,20.01732218551636,20.11972642612457,19.22843058204651,18.64651264190674,18.276499393463133,18.73229705810547,21.17466452240944,18.21235874176025,0.040167015,0.022671519,0.1558612,0.19692914,0.13631898,0.13428482,0.05747399,0.024772754,0.030535381,0.024485327,0.19399716,0.02461629,0,75.5427588234351,-69.67639835214419,57.92487362098919,
5,i06MC006309BXT,75.52245846830029,-69.69002144509862,19.243700756073,18.05218505477905,20.80923652362824,20.82056853866577,20.046008410930632,19.93154335689545,18.901448322296144,18.250673666000367,17.924628141403197,18.377890224456788,20.94676288485527,17.828777103424073,0.0318176,0.017242026,0.17993897,0.27807906,0.13703617,0.11103848,0.044382114,0.018374588,0.023577925,0.01843762,0.15812126,0.018177163,0,75.5427588234351,-69.67639835214419,55.21864337258844,
6,i06MC006309BT0,75.52563755111062,-69.68903943184597,19.868136253356933,18.76046943283081,21.747393009185792,,20.56247344899177,20.8720865316391,19.706668807029725,18.982292308807374,18.6798337726593,19.075156803131105,21.830476517677308,18.60868480682373,0.052758876,0.029209903,0.41121528,,0.21317941,0.24905843,0.08277769,0.031888865,0.04152592,0.031862512,0.34638157,0.03358824,0,75.5427588234351,-69.67639835214419,50.2890248189305,
7,i06MC006309BVV,75.51745456605497,-69.6900114428604,19.1595361366272,18.615581985473632,19.95760911417008,19.447176373958587,19.25412702846527,19.17925060462952,19.07018859481812,18.80402220726013,18.46787202644348,18.896522159576417,20.685379705280067,18.43394401550293,0.030226314,0.025984587,0.09249857,0.093990214,0.076814756,0.06443854,0.051029183,0.027803136,0.03544869,0.027555864,0.13573568,0.02922383,0,75.5427588234351,-69.67639835214419,58.32759535556787,
8,i06MC006309CSK,75.51068473350867,-69.68856491739551,19.788748350143432,18.84783267593384,,,20.637278976917266,20.41102904748917,19.702184511184694,19.054536237716675,18.81810248184204,19.148475284576417,22.10409187793732,18.815975694656373,0.04933486,0.031230647,,,0.22854827,0.16937083,0.0834672,0.03377002,0.046567548,0.03385195,0.44228378,0.03994574,0,75.5427588234351,-69.67639835214419,59.37867494696473,
9,i06MC006309FPO,75.58809056892116,-69.68133946754743,19.692327419281007,18.67015599822998,21.092434152126312,20.89509292840957,20.532769367933277,20.24941051673889,19.53042955493927,18.878250494003296,18.643109920501708,18.981559867858888,,18.542539936065676,0.046247173,0.027449952,0.23749422,0.30322748,0.210682,0.15006518,0.07221343,0.02978999,0.040741663,0.029940838,,0.0321133,0,75.5427588234351,-69.67639835214419,59.40030646870463,
