,Unnamed: 0,id,ra,dec,mag_psf_g,mag_psf_i,mag_psf_j0378,mag_psf_j0395,mag_psf_j0410,mag_psf_j0430,mag_psf_j0515,mag_psf_j0660,mag_psf_j0861,mag_psf_r,mag_psf_u,mag_psf_z,err_mag_psf_g,err_mag_psf_i,err_mag_psf_j0378,err_mag_psf_j0395,err_mag_psf_j0410,err_mag_psf_j0430,err_mag_psf_j0515,err_mag_psf_j0660,err_mag_psf_j0861,err_mag_psf_r,err_mag_psf_u,err_mag_psf_z,aperture_id,center_ra,center_dec,sep_arcsec,star_id
179,179,i06MC003309G1N,83.397707246089,-66.73611665089395,18.351511512756343,18.83742074584961,18.60060390853882,18.317577559947967,18.270660755157472,17.829822942733763,18.48109333133697,18.787020217895503,19.13166220474244,18.59290326309204,18.78143528175354,19.036719060897827,0.011512353,0.023629418,0.040325865,0.05832042,0.04605055,0.5381717,0.1212382,0.02411276,0.07271359,0.014927229,0.03121737,0.0696489,1,83.36497153515745,-66.73184291718985,49.02692325169193,
182,182,i06MC003309IYC,83.39616558295494,-66.72965965396686,16.791823970794677,17.410193725585938,16.862538904190064,16.617537517547607,16.605992122650147,16.992346378326417,17.02429522895813,17.2426574344635,17.566715553283693,17.09185231399536,17.006559164047243,17.57674977874756,0.0041891183,0.007864232,0.012328592,0.01699656,0.014395189,0.24746689,0.039029613,0.00851358,0.020789552,0.0051886793,0.009435229,0.019995108,1,83.36497153515745,-66.73184291718985,45.05469117468852,
186,186,i06MC003309F2N,83.36564226506043,-66.73855135400453,18.444581470489503,18.96317922782898,18.826272696495057,18.22237906074524,18.31569485282898,,18.51746134853363,18.88233007144928,19.040103463172912,18.661393768310543,19.191999465942384,19.07020661926269,0.012135519,0.026294623,0.04608258,0.052620754,0.046260465,,0.12425452,0.02581503,0.06690145,0.015695244,0.041633673,0.07153661,1,83.36497153515745,-66.73184291718985,24.16919732400419,
191,191,i06MC003309ES5,83.35207334725152,-66.73793053011413,18.500351795196533,19.01294035720825,18.90226054215432,18.475719841480256,18.461477800369263,,18.76370449352265,18.908550273895266,19.18025079154968,18.77076526451111,19.175120814323424,19.318875289916992,0.01289845,0.027686778,0.049745984,0.065225035,0.052785024,,0.15420444,0.026704902,0.07630297,0.017348796,0.041891985,0.08982352,1,83.36497153515745,-66.73184291718985,28.57729862877452,
201,201,i06MC003309IP5,83.36930253643297,-66.72741143454735,18.287489044189453,18.63581733322144,18.613162057876583,18.29038021183014,18.16043779373169,,18.243882368087768,18.62346721839905,18.80788329029083,18.460614807128906,18.807083590507503,18.91709683036804,0.0109808035,0.020071073,0.04039281,0.056996103,0.04195763,,0.099758916,0.021355724,0.055400893,0.013503257,0.031745426,0.06262994,1,83.36497153515745,-66.73184291718985,17.1012253900388,
202,202,i06MC003309G79,83.36266938774514,-66.73273290252585,18.433893238067625,18.81669604492188,18.926191628217698,18.53187123155594,18.46857742881775,17.349711820602415,18.47178099155426,18.78198326778412,19.063991335868835,18.62835753631592,19.425865216732024,19.105663038253784,0.012237472,0.023434572,0.050448854,0.06827911,0.053099267,1.6394411,0.12014192,0.024185866,0.06903941,0.015472838,0.050833344,0.074257255,1,83.36497153515745,-66.73184291718985,4.580785734489597,
203,203,i06MC003309EW4,83.35148988927142,-66.73649671613246,19.01266809463501,19.670391748428344,19.3388940768838,18.98841983294487,18.80787055110932,,19.51809437561036,19.46191186857224,19.667738584518432,19.28921647834778,19.56131048369408,19.85047123527527,0.018936412,0.048776057,0.071203426,0.100088805,0.06968243,,0.29240352,0.041231215,0.11664641,0.026450576,0.05744765,0.1452061,1,83.36497153515745,-66.73184291718985,25.45986630387098,
219,219,i06MC003309JLU,83.37187289110462,-66.72438055135761,17.717465103149415,18.16684846496582,17.995730417251586,17.631647320747376,17.618804187774657,,18.000377937316895,18.07639528465271,18.334002164840697,17.94289506149292,18.30786023902893,18.257655836105343,0.00749169,0.013898293,0.02586666,0.03443708,0.02852751,,0.08201845,0.014621262,0.037712064,0.009282119,0.02208579,0.035337746,1,83.36497153515745,-66.73184291718985,28.601709357098063,
223,223,i06MC003309LFU,83.37783977656937,-66.71656833326112,18.772039260864258,19.18698236465454,19.173873533129694,18.617115589141846,18.63784458065033,,18.60325903224945,19.13725603771209,19.355654863357543,18.940018707275392,19.78586201238632,19.47837898826599,0.015772011,0.032198403,0.063596815,0.077511206,0.061786525,,0.13943887,0.03175262,0.08902162,0.019934237,0.06901058,0.10399919,1,83.36497153515745,-66.73184291718985,57.955522003784125,
228,228,i06MC003309KFL,83.36136140162856,-66.71851614813271,19.44678903961181,19.547143741607663,20.009184722423555,19.842037245750426,19.559586721897126,17.42013265609741,19.256023152828217,19.60397190999985,19.760867921352386,19.40732420158386,20.645917233467102,19.606047369003296,0.026558276,0.043878697,0.12308807,0.2100702,0.13152668,0.39548242,0.46305504,0.045975752,0.12701318,0.02918043,0.14253928,0.116194,1,83.36497153515745,-66.73184291718985,48.25043857770825,
230,230,i06MC003309MX3,83.35965951665598,-66.71678738243035,14.98052669906616,15.607429786682127,14.914412681579591,14.754456207275387,14.794141429901124,14.860360164642334,15.138566776275637,15.436817180633543,15.787743000030517,15.296724922180177,15.055119689941408,15.814779258728027,0.0015568418,0.0024758012,0.004165872,0.005884614,0.005159496,0.04196415,0.011724533,0.0030951397,0.0064052413,0.001826312,0.0031672986,0.0053766635,1,83.36497153515745,-66.73184291718985,54.72417296150276,
237,237,i06MC003309EP8,83.33244700221547,-66.73871752028312,17.527305015563964,18.073241661071776,17.633216351509095,17.382127495765687,17.434316679000855,17.97087042045593,17.655341678619386,17.95253309059143,18.22661271476745,17.79294749069214,17.825563533782958,18.26888821220398,0.0066420045,0.01295949,0.020070462,0.028679838,0.024943529,0.61251134,0.06219474,0.013579751,0.03471808,0.0083931405,0.015604057,0.035817742,1,83.36497153515745,-66.73184291718985,52.453081978385626,
241,241,i06MC003309JGY,83.34448242569957,-66.72617945836545,17.474640476226806,18.07644211959839,17.57893611717224,17.292120501518248,17.29254958152771,,17.576066184997558,17.838016998291014,18.25225224876404,17.759610778808593,17.91337691116333,18.273832536697387,0.006407083,0.012982956,0.019516917,0.027024277,0.02281483,,0.058616012,0.012484825,0.035176564,0.008196886,0.016703853,0.03587911,1,83.36497153515745,-66.73184291718985,35.56561157993189,
