cluster_Names,counts_be_stars,counts_all_stars,fraction_be_stars,Names,logAge,[M/H],amaj
B-OB1                                  ,3.0,360,0.008333333333333333,B-OB1                                  , 8.20,     ,3.7
B-OB11                                 ,1.0,376,0.0026595744680851063,B-OB11                                 ,     ,     ,3.0
B-OB12                                 ,15.0,3543,0.004233700254022015,B-OB12                                 , 7.60,     ,4.5
B-OB13                                 ,54.0,7138,0.007565144298122724,B-OB13                                 , 6.80,     ,9.0
B-OB14                                 ,33.0,9597,0.0034385745545482964,B-OB14                                 , 6.90,     ,7.0
B-OB16                                 ,14.0,1102,0.012704174228675136,B-OB16                                 ,     ,     ,4.0
B-OB18                                 ,54.0,4380,0.012328767123287671,B-OB18                                 , 6.80,     ,5.0
B-OB19                                 ,267.0,20277,0.013167628347388667,B-OB19                                 , 6.70,     ,13.0
B-OB2                                  ,66.0,7520,0.008776595744680852,B-OB2                                  , 6.80,     ,7.0
B-OB20                                 ,5.0,2959,0.0016897600540723217,B-OB20                                 , 6.80,     ,4.0
B-OB21                                 ,25.0,3880,0.006443298969072165,B-OB21                                 , 7.00,     ,4.0
B-OB23                                 ,36.0,3154,0.011414077362079899,B-OB23                                 , 6.90,     ,5.0
B-OB24                                 ,71.0,5905,0.012023708721422523,B-OB24                                 , 7.00,     ,8.5
B-OB25                                 ,22.0,2301,0.009561060408518035,B-OB25                                 , 7.00,     ,4.0
B-OB28nw                               ,46.0,4313,0.010665430095061441,B-OB28nw                               , 6.80,     ,6.0
B-OB28se                               ,23.0,1498,0.015353805073431242,B-OB28se                               , 6.90,     ,3.4
B-OB29                                 ,152.0,10114,0.015028673126359502,B-OB29                                 , 6.90,     ,10.0
B-OB30                                 ,29.0,1596,0.018170426065162906,B-OB30                                 , 6.80,     ,4.0
B-OB5ne                                ,6.0,979,0.006128702757916241,B-OB5ne                                , 6.80,     ,3.3
B-OB5se                                ,35.0,5472,0.006396198830409356,B-OB5se                                , 8.30,     ,5.5
B-OB7                                  ,14.0,1657,0.008449004224502113,B-OB7                                  , 6.80,     ,4.0
"B-OB9,BIS538                           ",3.0,462,0.006493506493506494,"B-OB9,BIS538                           ", 6.90,     ,2.8
"B1,OGLS 322                            ",0.0,23,0.0,"B1,OGLS 322                            ",     ,     ,0.8
"B10,SOGLE4                             ",1.0,92,0.010869565217391304,"B10,SOGLE4                             ", 9.00,     ,0.8
B100                                   ,0.0,179,0.0,B100                                   , 8.10,     ,0.65
"B101,BUS1017                           ",4.0,206,0.019417475728155338,"B101,BUS1017                           ", 7.53,     ,1.3
B102                                   ,0.0,103,0.0,B102                                   ,     ,     ,0.5
"B103,RZ127                             ",1.0,190,0.005263157894736842,"B103,RZ127                             ", 8.43,-0.01,0.9
B104                                   ,0.0,82,0.0,B104                                   ,     ,     ,0.35
"B105,SOGLE128,RZ131,BMS315             ",2.0,108,0.018518518518518517,"B105,SOGLE128,RZ131,BMS315             ", 7.20,     ,0.75
B107                                   ,1.0,83,0.012048192771084338,B107                                   ,     ,     ,0.75
"B108,SOGLE130,RZ133                    ",3.0,83,0.03614457831325301,"B108,SOGLE130,RZ133                    ", 8.75,     ,0.8
B109                                   ,0.0,78,0.0,B109                                   , 9.40,     ,0.7
B11                                    ,0.0,198,0.0,B11                                    ,     ,     ,0.2
B110                                   ,0.0,53,0.0,B110                                   , 8.00,     ,0.55
"B111,RZ134,OGLS 334                    ",0.0,16,0.0,"B111,RZ134,OGLS 334                    ", 9.15,-0.28,0.5
B112ne                                 ,1.0,114,0.008771929824561403,B112ne                                 ,     ,     ,0.35
B112sw                                 ,2.0,51,0.0392156862745098,B112sw                                 ,     ,     ,0.35
"B113,RZ142                             ",0.0,85,0.0,"B113,RZ142                             ", 8.75,-1.01,0.6
"B114,SOGLE234                          ",7.0,117,0.05982905982905983,"B114,SOGLE234                          ", 7.40,     ,0.85
"B115,SOGLE137,RZ144,BMS252             ",4.0,121,0.03305785123966942,"B115,SOGLE137,RZ144,BMS252             ", 7.43,     ,0.9
B116                                   ,3.0,106,0.02830188679245283,B116                                   ,     ,     ,0.6
"B117,RZ147                             ",0.0,91,0.0,"B117,RZ147                             ", 8.30,     ,0.65
B118                                   ,0.0,177,0.0,B118                                   ,     ,     ,0.45
B119                                   ,0.0,145,0.0,B119                                   , 8.90,     ,0.6
B12                                    ,0.0,102,0.0,B12                                    , 9.00,     ,0.45
B120                                   ,0.0,172,0.0,B120                                   ,     ,     ,0.45
"B121,SOGLE141,RZ149                    ",4.0,137,0.029197080291970802,"B121,SOGLE141,RZ149                    ", 8.07,     ,0.65
"B122,BS275,RZ148                       ",0.0,187,0.0,"B122,BS275,RZ148                       ", 8.60,     ,1.2
B123                                   ,0.0,12,0.0,B123                                   ,     ,     ,0.45
"B124,RZ152                             ",0.0,119,0.0,"B124,RZ152                             ", 8.05,-0.18,0.55
B125                                   ,0.0,16,0.0,B125                                   , 7.30,     ,0.6
B126                                   ,0.0,41,0.0,B126                                   , 7.90,     ,1.1
B127                                   ,0.0,129,0.0,B127                                   , 8.40,     ,0.95
"B128,RZ154                             ",0.0,65,0.0,"B128,RZ154                             ", 8.35,     ,0.7
"B129,SOGLE154,RZ163,BMS246             ",0.0,35,0.0,"B129,SOGLE154,RZ163,BMS246             ", 8.20,     ,1.1
B13                                    ,0.0,56,0.0,B13                                    ,     ,     ,1.2
B130                                   ,3.0,129,0.023255813953488372,B130                                   , 7.30,     ,1.1
"B131,RZ161                             ",1.0,142,0.007042253521126761,"B131,RZ161                             ", 7.76,     ,1.2
B132                                   ,0.0,45,0.0,B132                                   , 8.90,     ,0.55
B133                                   ,0.0,34,0.0,B133                                   ,     ,     ,0.5
B134                                   ,1.0,106,0.009433962264150943,B134                                   , 7.98,-0.28,0.8
B135                                   ,2.0,75,0.02666666666666667,B135                                   , 8.00,     ,0.7
"B136,RZ175                             ",0.0,40,0.0,"B136,RZ175                             ", 8.70,     ,0.85
B137                                   ,0.0,91,0.0,B137                                   , 8.40,     ,0.6
"B139,RZ183                             ",0.0,34,0.0,"B139,RZ183                             ", 8.30,     ,0.65
"B14,SOGLE162,RZ21                      ",1.0,79,0.012658227848101266,"B14,SOGLE162,RZ21                      ", 8.28,     ,0.6
B140                                   ,8.0,209,0.03827751196172249,B140                                   ,     ,     ,1.7
B142                                   ,0.0,25,0.0,B142                                   ,     ,     ,0.55
"B143,RZ192                             ",0.0,101,0.0,"B143,RZ192                             ", 8.25,     ,0.5
"B144,H86-200                           ",0.0,33,0.0,"B144,H86-200                           ",     ,     ,0.7
B146                                   ,0.0,37,0.0,B146                                   ,     ,     ,0.75
