id,ra,dec,mag_psf_g,mag_psf_i,mag_psf_j0378,mag_psf_j0395,mag_psf_j0410,mag_psf_j0430,mag_psf_j0515,mag_psf_j0660,mag_psf_j0861,mag_psf_r,mag_psf_u,mag_psf_z,OGLE-II,OGLE-III,OGLE-IV,ura,udec
i06MC006507QHF,83.61320994034352,-69.71674719358755,15.455299110412597,16.066657676696778,15.295441986083983,15.201169372558592,15.234719543457032,15.276909217834472,15.494668922424317,15.874795852661133,16.26161289215088,15.760358085632323,15.242656455993654,16.276113471984864,LMC_SC1_257458,LMC169.3.93679,LMC516.20.63196,83.61312,-69.71681
i06MC006500MPZ,83.69353364309221,-70.36394802084058,15.28973477935791,14.630474700927735,16.347279359817506,16.212081581115722,15.711657562255859,15.614521255493162,15.127949165344237,14.729526199340821,14.586112716674805,14.779111457824708,16.664678001403807,14.533187133789063,LMC_SC1_280022,LMC170.3.29064,LMC516.03.18360,83.69317,-70.36394
i06MC00650533B,83.65256462810099,-69.99425035256365,16.96549253845215,16.33148104095459,17.900002588272095,17.82722924423218,17.334684814453126,17.263562431335448,16.77156950378418,16.43820132446289,16.28802325439453,16.507047538757323,18.179102508544922,16.229619651794433,LMC_SC1_312837,LMC169.1.98949,LMC516.11.73965,83.65262,-69.99428
i06MC00650548G,83.67010334676729,-69.98928055352279,16.343933395385744,16.78281504058838,16.441851724624634,16.19216368865967,16.143127883911134,16.16891502380371,16.291125,16.635238067626954,16.91330744934082,16.540873413085937,16.659445457458496,16.895427375793457,LMC_SC1_312968,LMC169.2.39289,LMC516.11.88822,83.66988,-69.98931
i06MC006502ZWP,83.22150953184523,-70.18503099097835,14.40062017059326,13.74954103088379,15.632865516662598,15.453224807739257,14.850497283935546,14.753255119323729,14.22106224822998,13.817635215759278,13.702082000732421,13.891835159301756,15.908955749511719,13.633791450500489,LMC_SC1_31538,LMC170.4.63850,LMC516.12.55529,83.22146,-70.18497
i06MC00650338N,83.27879138484414,-70.18732927293686,16.88533632659912,16.3683158493042,17.716753093719483,17.58248057937622,17.2192631149292,17.100052108764647,16.69598211669922,16.430598892211915,16.3384450302124,16.50486122894287,18.05887335205078,16.28970957183838,LMC_SC1_31615,LMC170.4.64032,LMC516.12.133,83.27867,-70.18733
i06MC0065072UN,83.7711267368837,-69.78463422373677,16.949927238464355,17.429981437683104,16.972633419036864,16.74982898712158,16.771927436828612,16.817987121582032,16.977084671020506,17.226356475830077,17.576776649475097,17.180825462341307,17.026943183898926,17.598980865478516,LMC_SC1_335489,LMC169.3.47595,LMC516.20.10631,83.771,-69.78467
i06MC006507YV2,83.6396418179652,-69.70694648042861,15.5386957321167,16.107123580932615,15.350410343170164,15.283201576232909,15.314461021423341,15.3644527053833,15.56820920562744,15.780847633361816,16.279669357299806,15.812229934692382,15.308241477966309,16.286503349304198,LMC_SC1_340178,LMC169.3.93689,LMC516.20.63103,83.63942,-69.707
i06MC006507IVP,83.64068364069854,-69.73482437889598,16.558175369262695,16.879707946777344,16.736593034744264,16.47956502532959,16.41348538970947,16.451184211730958,16.53074983215332,16.73294497680664,16.984419418334962,16.68381523132324,16.960532890319826,16.940907440185548,LMC_SC1_340306,LMC169.3.93805,LMC516.20.63367,83.64062,-69.73486
i06MC0065037V7,83.17748535989902,-70.15941476901249,16.03949430847168,16.449840698242188,16.100154487609863,15.923896461486816,15.910586395263671,15.920656433105467,16.013262336730957,16.197097862243652,16.59994157409668,16.223258918762205,16.365719970703125,16.554619316101075,LMC_SC1_37892,LMC170.5.130391,LMC516.12.55719,83.17721,-70.15942
