ra,dec,OGLE-II,OGLE-III,OGLE-IV,Offset,RemOut
83.31325,-70.36894,LMC_SC1_108086,LMC170.3.21,LMC516.04.19670,53,
83.44342,-70.33486,LMC_SC1_113297,LMC170.3.73425,LMC516.04.19664,A,13.0
83.40288,-70.16544,LMC_SC1_124623,LMC170.4.81503,LMC516.12.2,A,19.0
83.32333,-70.20175,LMC_SC1_124756,LMC170.4.64358,LMC516.12.274,A,2.0
83.31079,-70.18892,LMC_SC1_124784,LMC170.4.64070,LMC516.12.324,12,
83.30254,-70.16481,LMC_SC1_124845,LMC170.4.64064,LMC516.12.413,15,
83.33104,-70.09783,LMC_SC1_136951,LMC169.1.16837,LMC516.12.12288,26,
83.33754,-70.10039,LMC_SC1_136999,LMC169.1.16867,LMC516.12.12344,A,14.0
83.25717,-70.37517,LMC_SC1_14210,LMC170.3.15,LMC516.04.19669,21,
83.16358,-70.3545,LMC_SC1_14373,LMC170.6.112550,LMC516.04.64676,A,5.0
83.37517,-69.99631,LMC_SC1_143809,LMC169.1.80878,LMC516.12.27257,A,8.0
83.34987,-70.03439,LMC_SC1_143832,LMC169.1.80968,LMC516.12.27326,M,5.0
83.3245,-70.02289,LMC_SC1_143844,LMC169.1.80861,LMC516.12.27237,0,
83.425,-70.00894,LMC_SC1_143863,LMC169.1.80898,LMC516.12.27370,A,10.0
83.14554,-70.34114,LMC_SC1_14404,LMC170.6.112874,LMC516.04.64720,A,21.0
83.41292,-69.93975,LMC_SC1_151021,LMC169.2.19402,LMC516.12.42740,1,
83.43042,-69.93136,LMC_SC1_151034,LMC169.2.19574,LMC516.12.42864,0,
83.36267,-69.92875,LMC_SC1_151200,LMC169.2.19513,LMC516.12.42870,22,
83.39625,-69.86794,LMC_SC1_158241,LMC169.2.91905,LMC516.21.130,A,2.0
83.38829,-69.83567,LMC_SC1_164770,LMC169.3.17823,LMC516.21.12265,5,
83.42288,-69.80158,LMC_SC1_169938,LMC169.3.16700,LMC516.21.11683,A,2.0
83.37317,-69.76761,LMC_SC1_169961,LMC169.3.16645,LMC516.21.24596,A,17.0
83.43154,-69.79928,LMC_SC1_170211,LMC169.3.17098,LMC516.21.12631,13,
83.28833,-69.68978,LMC_SC1_179817,LMC169.3.61422,LMC516.21.36500,14,
83.49992,-70.42111,LMC_SC1_191943,LMC170.3.14378,LMC516.03.49991,21,
83.48942,-70.45464,LMC_SC1_192011,LMC170.2.60367,LMC516.03.50023,M,10.0
83.6205,-70.29131,LMC_SC1_201726,LMC170.3.73503,LMC516.03.73678,2,
83.60971,-70.15008,LMC_SC1_217408,LMC170.4.81536,LMC516.11.59402,15,
83.47612,-70.13,LMC_SC1_217564,LMC169.1.17315,LMC516.11.59678,12,
83.56621,-70.05631,LMC_SC1_223113,LMC169.1.98773,LMC516.11.73851,16,
83.54633,-70.0405,LMC_SC1_229472,LMC169.1.98768,LMC516.11.73786,M,9.0
83.51967,-69.97583,LMC_SC1_235761,LMC169.2.39051,LMC516.11.88621,A,13.0
83.50883,-69.98317,LMC_SC1_235810,LMC169.2.19442,LMC516.11.88719,3,
83.47325,-69.86278,LMC_SC1_248039,LMC169.2.91966,LMC516.20.40474,13,
83.53612,-69.75317,LMC_SC1_252759,LMC169.3.93648,LMC516.20.63075,12,
83.49154,-69.78711,LMC_SC1_252841,LMC169.3.17177,LMC516.20.51533,A,0.0
83.59196,-69.73608,LMC_SC1_257438,LMC169.3.93670,LMC516.20.63086,A,6.0
83.61312,-69.71681,LMC_SC1_257458,LMC169.3.93679,LMC516.20.63196,M,15.0
83.78629,-70.55531,LMC_SC1_266514,LMC170.2.24180,LMC515.28.58027,27,
83.69317,-70.36394,LMC_SC1_280022,LMC170.3.29064,LMC516.03.18360,A,10.0
83.65262,-69.99428,LMC_SC1_312837,LMC169.1.98949,LMC516.11.73965,14,
83.66988,-69.98931,LMC_SC1_312968,LMC169.2.39289,LMC516.11.88822,8,
83.22146,-70.18497,LMC_SC1_31538,LMC170.4.63850,LMC516.12.55529,23,
83.27867,-70.18733,LMC_SC1_31615,LMC170.4.64032,LMC516.12.133,A,8.0
83.771,-69.78467,LMC_SC1_335489,LMC169.3.47595,LMC516.20.10631,16,
83.69429,-69.74406,LMC_SC1_340157,LMC169.3.93708,LMC516.20.21127,9,
83.63942,-69.707,LMC_SC1_340178,LMC169.3.93689,LMC516.20.63103,M,0.0
83.74717,-69.74403,LMC_SC1_340196,LMC169.3.108922,LMC516.20.21126,11,
83.64062,-69.73486,LMC_SC1_340306,LMC169.3.93805,LMC516.20.63367,A,0.0
83.17721,-70.15942,LMC_SC1_37892,LMC170.5.130391,LMC516.12.55719,3,
83.24942,-70.12653,LMC_SC1_37941,LMC169.1.226,LMC516.12.12428,M,24.0
83.15542,-70.07511,LMC_SC1_44630,LMC169.1.14,LMC516.12.68992,25,
83.25738,-70.075,LMC_SC1_44726,LMC169.1.231,LMC516.12.12513,A,10.0
83.23429,-70.08597,LMC_SC1_44805,LMC169.1.525,LMC516.12.12737,A,13.0
83.15917,-70.00183,LMC_SC1_51944,LMC169.1.62302,LMC516.12.86016,M,12.0
83.26904,-70.04264,LMC_SC1_51969,LMC169.1.62743,LMC516.12.27516,4,
83.21146,-69.99258,LMC_SC1_52114,LMC169.1.62333,LMC516.12.102666,A,7.0
83.15492,-70.00369,LMC_SC1_53565,LMC169.1.63364,LMC516.12.89579,17,
83.16662,-69.96936,LMC_SC1_59257,LMC169.2.16,LMC516.12.102509,A,17.0
83.16979,-69.95497,LMC_SC1_59479,LMC169.2.459,LMC516.12.102840,A,4.0
83.26479,-69.92903,LMC_SC1_59562,LMC169.2.2223,LMC516.12.43155,A,16.0
83.26342,-69.93114,LMC_SC1_60022,LMC169.2.648,LMC516.12.43818,M,15.0
83.23783,-69.89903,LMC_SC1_66546,LMC169.2.73657,LMC516.21.90,10,
83.13662,-69.87653,LMC_SC1_67127,LMC169.2.73807,LMC516.21.46200,8,
83.26862,-69.84294,LMC_SC1_73155,LMC169.2.73684,LMC516.21.11873,8,
83.18825,-69.84808,LMC_SC1_73390,LMC169.2.73924,LMC516.21.57927,A,16.0
83.15529,-69.81111,LMC_SC1_74749,LMC169.3.1020,LMC516.21.60097,A,28.0
83.15162,-70.55542,LMC_SC1_791,LMC170.7.36396,LMC515.30.24502,M,9.0
83.13254,-69.65039,LMC_SC1_90119,LMC169.4.43,LMC516.21.83422,14,
83.27483,-69.64697,LMC_SC1_90123,LMC169.4.203,LMC516.21.36604,12,
83.26908,-69.6465,LMC_SC1_90124,LMC169.4.82,LMC516.21.36533,29,
83.14783,-70.45022,LMC_SC1_9242,LMC170.7.85862,LMC516.04.52519,M,17.0
83.40508,-70.51781,LMC_SC1_94988,LMC170.2.12201,LMC516.04.180,12,
83.32454,-70.49808,LMC_SC1_98725,LMC170.2.46754,LMC516.04.34,0,
82.63942,-69.49469,LMC_SC2_103589,LMC168.8.27444,LMC516.30.47287,5,
82.50529,-69.46942,LMC_SC2_103618,LMC168.8.64491,LMC516.31.9910,8,
82.65121,-69.48731,LMC_SC2_103644,LMC168.8.27476,LMC516.30.47320,8,
82.62362,-69.51008,LMC_SC2_103695,LMC168.8.27665,LMC516.30.47509,A,14.0
82.52142,-69.47742,LMC_SC2_103770,LMC168.8.64812,LMC516.31.10182,M,10.0
82.58983,-69.47144,LMC_SC2_103787,LMC168.8.77202,LMC516.30.47643,10,
82.60133,-69.50839,LMC_SC2_104376,LMC168.8.28797,LMC516.30.48838,16,
82.50367,-69.44822,LMC_SC2_109026,LMC168.8.64577,LMC516.31.21057,9,
82.61808,-69.45339,LMC_SC2_109092,LMC168.8.77244,LMC516.30.47699,15,
82.64879,-70.30578,LMC_SC2_114092,LMC170.6.77110,LMC516.05.79000,24,
82.67929,-70.31014,LMC_SC2_114166,LMC170.6.77160,LMC516.05.79030,A,3.0
82.74142,-70.30958,LMC_SC2_114591,LMC170.6.95161,LMC516.05.79573,14,
82.65488,-70.26867,LMC_SC2_120415,LMC170.5.16553,LMC516.05.79016,5,
82.71946,-70.25231,LMC_SC2_120420,LMC170.5.16569,LMC516.05.79082,M,13.0
82.7665,-70.25272,LMC_SC2_120513,LMC170.5.36302,LMC516.05.79194,A,4.0
82.75933,-70.25347,LMC_SC2_120649,LMC170.5.36479,LMC516.05.79445,A,35.0
82.69079,-70.19806,LMC_SC2_128094,LMC170.5.92585,LMC516.13.58910,A,23.0
82.79688,-70.16342,LMC_SC2_128223,LMC170.5.111041,LMC516.13.539,A,0.0
82.66925,-70.21694,LMC_SC2_130136,LMC170.5.18542,LMC516.13.60226,A,2.0
82.81512,-70.15944,LMC_SC2_135399,LMC170.5.110608,LMC516.13.21,9,
82.81392,-70.08197,LMC_SC2_143288,LMC169.8.36602,LMC516.13.13814,18,
82.65708,-70.02389,LMC_SC2_151026,LMC169.8.115026,LMC516.13.88836,A,17.0
82.80375,-70.03653,LMC_SC2_152011,LMC169.8.119107,LMC516.13.35103,22,
82.70546,-69.96931,LMC_SC2_158697,LMC169.7.41084,LMC516.13.106122,A,1.0
82.73883,-69.95458,LMC_SC2_158712,LMC169.7.40977,LMC516.13.106149,10,
82.74192,-69.95794,LMC_SC2_158836,LMC169.7.41113,LMC516.13.106143,M,19.0
82.68012,-69.97775,LMC_SC2_159028,LMC169.7.42064,LMC516.13.106745,15,
82.7,-69.93358,LMC_SC2_159394,LMC169.7.41342,LMC516.13.107287,A,13.0
82.70171,-69.97572,LMC_SC2_159672,LMC169.7.44352,LMC516.13.108030,M,13.0
82.7155,-69.88469,LMC_SC2_166090,LMC169.7.124501,LMC516.22.47846,15,
82.70562,-69.87947,LMC_SC2_166264,LMC169.7.124748,LMC516.22.48081,5,
82.79842,-69.86728,LMC_SC2_166301,LMC169.7.124932,LMC516.22.974,M,5.0
82.6685,-69.80989,LMC_SC2_173721,LMC169.6.41326,LMC516.22.61910,A,20.0
82.70888,-69.71017,LMC_SC2_186955,LMC169.6.118647,LMC516.22.76540,28,
82.71775,-69.65683,LMC_SC2_193090,LMC169.5.35400,LMC516.22.90509,1,
82.66917,-69.42539,LMC_SC2_213896,LMC168.8.77038,LMC516.30.58564,1,
82.77642,-69.43625,LMC_SC2_213908,LMC168.8.77061,LMC516.30.58554,12,
82.68554,-69.43239,LMC_SC2_213911,LMC168.8.77011,LMC516.30.58556,0,
82.7075,-69.42778,LMC_SC2_213915,LMC168.8.77047,LMC516.30.58561,13,
82.70567,-69.428,LMC_SC2_213964,LMC168.8.77132,LMC516.30.58706,M,5.0
82.71262,-69.42239,LMC_SC2_214344,LMC168.8.78093,LMC516.30.59237,A,16.0
82.94146,-70.32453,LMC_SC2_219074,LMC170.6.95054,LMC516.05.19862,M,5.0
82.88167,-70.29683,LMC_SC2_219136,LMC170.6.94671,LMC516.05.32445,7,
82.94604,-70.25869,LMC_SC2_225605,LMC170.5.36430,LMC516.05.32509,A,21.0
82.93954,-70.25322,LMC_SC2_225611,LMC170.5.36425,LMC516.05.32517,A,0.0
82.87971,-70.21625,LMC_SC2_232837,LMC170.5.36257,LMC516.13.35,M,1.0
82.96592,-70.19969,LMC_SC2_233070,LMC170.5.130426,LMC516.13.373,M,23.0
82.91308,-70.16992,LMC_SC2_234895,LMC170.5.114635,LMC516.13.3035,A,93.0
82.9665,-70.11719,LMC_SC2_240763,LMC169.8.55989,LMC516.13.13759,A,12.0
82.93396,-70.11494,LMC_SC2_240975,LMC169.8.56222,LMC516.13.13995,A,12.0
82.95767,-70.04375,LMC_SC2_248770,LMC169.8.135855,LMC516.13.29799,30,
82.91162,-70.00444,LMC_SC2_256199,LMC169.8.135827,LMC516.13.29866,3,
82.97471,-70.01647,LMC_SC2_256306,LMC169.8.135870,LMC516.13.30101,30,
82.85888,-69.97642,LMC_SC2_263553,LMC169.7.41206,LMC516.13.45758,A,8.0
82.98196,-69.93231,LMC_SC2_263668,LMC169.7.62452,LMC516.13.45921,14,
82.98288,-69.92108,LMC_SC2_270595,LMC169.7.64117,LMC516.22.456,A,10.0
82.91604,-69.88081,LMC_SC2_273203,LMC169.7.149791,LMC516.22.4310,22,
82.88712,-69.84417,LMC_SC2_276971,LMC169.7.145228,LMC516.22.12629,M,13.0
82.96867,-69.86314,LMC_SC2_277001,LMC169.7.146035,LMC516.22.2747,21,
82.82879,-69.73778,LMC_SC2_289651,LMC169.6.118742,LMC516.22.26394,M,18.0
82.90038,-69.71003,LMC_SC2_289705,LMC169.6.137240,LMC516.22.26463,M,12.0
82.88246,-69.72069,LMC_SC2_289936,LMC169.6.137641,LMC516.22.26918,19,
82.88825,-69.6485,LMC_SC2_295100,LMC169.5.52379,LMC516.22.37960,M,10.0
82.847,-69.64111,LMC_SC2_295267,LMC169.5.35841,LMC516.22.38184,12,
82.82721,-69.58581,LMC_SC2_300430,LMC169.5.100596,LMC516.30.23,M,12.0
82.91833,-69.62781,LMC_SC2_300440,LMC169.5.52506,LMC516.22.38049,0,
82.95379,-69.51453,LMC_SC2_305338,LMC168.8.39784,LMC516.30.9090,0,
82.93012,-69.48453,LMC_SC2_310295,LMC168.8.39772,LMC516.30.9122,M,24.0
82.96088,-69.46197,LMC_SC2_310449,LMC168.8.89846,LMC516.30.9379,M,15.0
82.62212,-70.072,LMC_SC2_31066,LMC169.8.18203,LMC516.13.88742,21,
82.84346,-69.45889,LMC_SC2_311442,LMC168.8.91188,LMC516.30.11157,9,
82.83808,-69.42142,LMC_SC2_315062,LMC168.8.89732,LMC516.30.19733,1,
82.96371,-69.41247,LMC_SC2_315204,LMC168.8.90067,LMC516.30.19941,7,
83.01704,-70.28292,LMC_SC2_319557,LMC170.6.112450,LMC516.04.77514,14,
83.08829,-70.18892,LMC_SC2_334135,LMC170.5.130318,LMC516.12.55669,M,74.0
83.11025,-70.15847,LMC_SC2_341774,LMC170.5.130341,LMC516.12.55721,23,
83.03125,-70.12058,LMC_SC2_341996,LMC169.8.56030,LMC516.12.69336,15,
83.12958,-70.06714,LMC_SC2_350000,LMC169.1.62262,LMC516.12.85897,34,
83.136,-70.05769,LMC_SC2_350025,LMC169.1.62272,LMC516.12.85926,A,19.0
83.15138,-70.05081,LMC_SC2_350231,LMC169.1.62518,LMC516.12.86145,M,13.0
83.11938,-69.99783,LMC_SC2_358097,LMC169.1.62243,LMC516.12.86362,26,
83.09558,-69.97644,LMC_SC2_365594,LMC169.2.123,LMC516.12.102593,M,42.0
83.15621,-69.98336,LMC_SC2_366288,LMC169.2.1278,LMC516.12.104175,A,7.0
83.02512,-69.97628,LMC_SC2_366438,LMC169.7.64474,LMC516.12.104363,21,
83.15167,-69.91964,LMC_SC2_372529,LMC169.2.164,LMC516.21.45421,A,0.0
83.07779,-69.80947,LMC_SC2_379132,LMC169.6.61609,LMC516.21.58050,8,
83.14692,-69.79631,LMC_SC2_385394,LMC169.3.338,LMC516.21.58095,M,16.0
83.1355,-69.73836,LMC_SC2_390729,LMC169.3.61524,LMC516.21.71525,M,12.0
83.10117,-69.71389,LMC_SC2_391166,LMC169.3.62035,LMC516.21.72123,10,
83.03125,-69.702,LMC_SC2_392078,LMC169.6.139980,LMC516.21.73783,23,
83.11267,-69.67392,LMC_SC2_396402,LMC169.4.33,LMC516.21.83325,M,9.0
83.05333,-69.59739,LMC_SC2_402347,LMC169.5.116644,LMC516.29.34758,12,
83.12175,-69.58456,LMC_SC2_402446,LMC169.4.51316,LMC516.29.34865,8,
83.12921,-69.56989,LMC_SC2_407085,LMC169.4.50885,LMC516.29.34637,A,17.0
82.99371,-69.486,LMC_SC2_412008,LMC168.8.39807,3,,
83.06604,-69.47919,LMC_SC2_412117,LMC168.1.238,LMC516.29.43636,A,19.0
83.15462,-69.40997,LMC_SC2_416973,LMC168.1.41285,LMC516.29.54563,M,14.0
83.04292,-69.43814,LMC_SC2_417014,LMC168.1.41229,LMC516.29.54638,A,14.0
83.1545,-69.41158,LMC_SC2_417065,LMC168.1.41468,LMC516.29.54717,M,15.0
83.14025,-69.41544,LMC_SC2_417311,LMC168.1.41451,LMC516.29.55167,15,
82.63362,-69.97611,LMC_SC2_48565,LMC169.7.24954,LMC516.13.108011,A,12.0
82.55787,-69.91878,LMC_SC2_55482,LMC169.7.103227,LMC516.22.47798,3,
82.62796,-69.90428,LMC_SC2_56942,LMC169.7.104019,LMC516.22.48198,A,27.0
82.55546,-69.85353,LMC_SC2_63335,LMC169.7.103154,LMC516.22.60961,9,
82.55704,-69.79261,LMC_SC2_70885,LMC169.6.20683,LMC516.22.61011,7,
82.52075,-69.80461,LMC_SC2_70930,LMC169.6.20795,LMC516.23.13509,A,17.0
82.53521,-69.75469,LMC_SC2_71015,LMC169.6.99151,LMC516.23.28886,8,
82.56512,-69.79167,LMC_SC2_71113,LMC169.6.21225,LMC516.22.61422,A,8.0
82.53017,-69.7485,LMC_SC2_72006,LMC169.6.99474,LMC516.23.29473,A,13.0
82.49467,-69.79253,LMC_SC2_72322,LMC169.6.21971,LMC516.23.16356,11,
82.55783,-69.71136,LMC_SC2_78815,LMC169.6.98968,LMC516.22.76116,A,5.0
82.49746,-70.26081,LMC_SC2_8378,LMC170.5.3533,LMC516.06.35163,24,
82.55408,-69.54208,LMC_SC2_98006,LMC168.8.14346,A,3,
82.49446,-69.56878,LMC_SC2_98061,LMC169.5.84641,LMC516.31.218,2,
81.98542,-69.50439,LMC_SC3_102049,LMC161.1.28908,LMC516.32.10125,M,9.0
82.01304,-69.49542,LMC_SC3_102396,LMC161.1.29883,LMC516.32.10606,M,16.0
81.881,-69.43483,LMC_SC3_108072,LMC161.1.80219,LMC516.32.62697,A,10.0
82.02108,-69.40942,LMC_SC3_108098,LMC161.1.80502,LMC516.32.21407,A,11.0
81.96733,-69.43381,LMC_SC3_108159,LMC161.1.80259,LMC516.32.21353,1,
81.88533,-69.41908,LMC_SC3_108197,LMC161.1.80751,LMC516.32.63132,7,
81.88529,-69.39586,LMC_SC3_108264,LMC161.2.25873,LMC516.32.63267,4,
81.96725,-69.343,LMC_SC3_113723,LMC161.2.25614,LMC516.32.31528,7,
82.03054,-69.34644,LMC_SC3_113732,LMC161.2.25620,LMC516.32.31537,10,
81.92592,-69.37442,LMC_SC3_113787,LMC161.2.25725,LMC516.32.21301,A,14.0
81.99617,-69.34972,LMC_SC3_113816,LMC161.2.25762,LMC516.32.31679,A,6.0
81.88021,-70.12053,LMC_SC3_11963,LMC162.1.29824,LMC516.15.11489,A,18.0
81.94008,-70.10306,LMC_SC3_12050,LMC162.1.29925,LMC516.15.11586,A,15.0
81.91854,-70.13253,LMC_SC3_12150,LMC162.1.30074,LMC516.15.11721,A,29.0
82.11008,-70.18658,LMC_SC3_125022,LMC163.4.104747,LMC516.14.58915,A,23.0
82.18862,-70.10314,LMC_SC3_131633,LMC162.1.45330,LMC516.14.72193,A,12.0
82.17758,-70.15069,LMC_SC3_131652,LMC163.4.123098,LMC516.14.72261,0,
82.02983,-70.12114,LMC_SC3_131753,LMC162.1.30252,LMC516.15.11777,M,0.0
82.14188,-70.14581,LMC_SC3_132647,LMC163.4.106850,LMC516.14.72718,8,
82.14279,-70.06289,LMC_SC3_138725,LMC162.1.107114,LMC516.14.88275,A,29.0
82.14675,-70.08819,LMC_SC3_138755,LMC162.1.45309,LMC516.14.72217,A,17.0
82.17058,-70.02736,LMC_SC3_146260,LMC162.1.107222,LMC516.14.88412,A,10.0
82.19383,-69.99594,LMC_SC3_146286,LMC162.1.107135,LMC516.14.88473,A,6.0
82.08104,-69.94447,LMC_SC3_154003,LMC162.2.38617,LMC516.15.41784,4,
82.05021,-69.96494,LMC_SC3_154494,LMC162.2.40512,LMC516.15.42626,29,
82.10225,-69.94136,LMC_SC3_154768,LMC162.2.58908,LMC516.14.106214,14,
82.05304,-69.94397,LMC_SC3_155829,LMC162.2.40534,LMC516.15.42897,16,
81.94429,-70.25111,LMC_SC3_159,LMC163.4.34352,LMC516.07.29946,A,9.0
81.91612,-70.26475,LMC_SC3_16,LMC163.4.17019,LMC516.07.29818,M,34.0
82.11908,-69.86806,LMC_SC3_162177,LMC162.2.136588,LMC516.23.54166,6,
82.16379,-69.86553,LMC_SC3_162186,LMC162.2.136606,LMC516.23.54174,8,
82.11625,-69.90494,LMC_SC3_162220,LMC162.2.136701,LMC516.23.54224,A,0.0
82.12146,-69.91617,LMC_SC3_162294,LMC162.2.58494,LMC516.23.54345,A,13.0
82.15912,-69.85517,LMC_SC3_170198,LMC162.2.136558,LMC516.23.54107,M,28.0
82.07579,-69.84025,LMC_SC3_170313,LMC162.2.117222,LMC516.24.14626,37,
82.18817,-69.83542,LMC_SC3_170508,LMC162.3.64033,LMC516.23.68954,M,43.0
82.14546,-69.82444,LMC_SC3_170557,LMC162.3.63945,LMC516.23.69013,M,9.0
82.14896,-69.79861,LMC_SC3_178934,LMC162.3.63691,LMC516.23.68836,A,1.0
81.97483,-70.0735,LMC_SC3_19433,LMC162.1.30164,LMC516.15.11969,M,24.0
82.17204,-69.64431,LMC_SC3_194785,LMC162.4.59615,LMC516.23.102501,A,12.0
82.13025,-69.56647,LMC_SC3_201708,LMC162.4.129600,LMC516.31.40309,M,16.0
82.13708,-69.52453,LMC_SC3_207802,LMC161.1.41442,LMC516.31.50636,A,12.0
82.15754,-69.54414,LMC_SC3_207857,LMC161.1.41570,LMC516.31.40200,A,1.0
82.15508,-69.54956,LMC_SC3_208228,LMC162.4.129648,LMC516.31.40372,12,
82.13325,-69.49728,LMC_SC3_213911,LMC161.1.41440,LMC516.31.50629,A,21.0
82.06521,-69.48478,LMC_SC3_213921,LMC161.1.41429,LMC516.32.10047,A,7.0
82.15079,-69.47978,LMC_SC3_213922,LMC161.1.41447,LMC516.31.50647,A,16.0
82.16796,-69.47239,LMC_SC3_213949,LMC161.1.92001,LMC516.31.50694,A,4.0
82.169,-69.49975,LMC_SC3_213972,LMC161.1.41579,LMC516.31.50749,9,
82.15312,-69.47633,LMC_SC3_214004,LMC161.1.41568,LMC516.31.50690,0,
82.19708,-69.47072,LMC_SC3_214010,LMC161.1.92088,LMC516.31.50787,M,13.0
82.14712,-69.46628,LMC_SC3_214012,LMC161.1.92062,LMC516.31.50790,M,8.0
82.07862,-69.49861,LMC_SC3_214061,LMC161.1.41668,LMC516.32.10287,A,10.0
82.0525,-69.41061,LMC_SC3_220002,LMC161.1.92020,LMC516.32.21256,A,14.0
82.10004,-69.44739,LMC_SC3_220033,LMC161.1.92205,LMC516.32.21510,A,12.0
82.18017,-69.40864,LMC_SC3_220145,LMC161.1.92312,LMC516.31.63676,A,4.0
82.13992,-69.43953,LMC_SC3_220280,LMC161.1.92730,LMC516.31.63861,A,15.0
82.18867,-69.35497,LMC_SC3_225528,LMC161.2.37968,LMC516.31.75115,M,15.0
82.07812,-69.38053,LMC_SC3_225546,LMC161.2.38040,LMC516.32.21293,3,
82.35008,-70.23364,LMC_SC3_230755,LMC163.4.52093,3,,
82.34217,-70.24039,LMC_SC3_232058,LMC170.5.837,A,17,
82.33546,-70.18336,LMC_SC3_236900,LMC163.4.123216,LMC516.14.157,A,1.0
82.34246,-70.13331,LMC_SC3_243424,LMC169.8.21,LMC516.14.12853,A,33.0
82.20538,-70.11619,LMC_SC3_243515,LMC162.1.45342,LMC516.14.72170,A,14.0
82.25612,-70.11822,LMC_SC3_244096,LMC162.1.46269,LMC516.14.73054,13,
82.19908,-70.04189,LMC_SC3_251026,LMC162.1.107434,LMC516.14.88633,A,6.0
82.31979,-70.02564,LMC_SC3_258715,LMC169.8.74747,LMC516.14.28363,A,23.0
82.36933,-69.97956,LMC_SC3_258727,LMC169.7.36,LMC516.14.44853,23,
82.269,-70.00731,LMC_SC3_258975,LMC162.1.107544,LMC516.14.88797,5,
82.20475,-69.97522,LMC_SC3_266605,LMC162.2.58356,LMC516.14.105061,A,12.0
82.2315,-69.94008,LMC_SC3_266651,LMC162.2.58377,LMC516.14.105132,13,
82.23987,-69.93,LMC_SC3_266667,LMC162.2.58381,LMC516.14.105145,A,18.0
82.35367,-69.95108,LMC_SC3_266766,LMC169.7.635,LMC516.14.45233,A,21.0
82.25883,-69.94861,LMC_SC3_266778,LMC162.2.59778,LMC516.14.106118,8,
81.91679,-70.02489,LMC_SC3_26919,LMC162.1.91262,LMC516.15.26237,A,17.0
81.92513,-69.99969,LMC_SC3_26925,LMC162.1.91229,LMC516.15.26195,46,
82.01637,-69.99042,LMC_SC3_27066,LMC162.1.91411,LMC516.15.26420,11,
81.91787,-69.98083,LMC_SC3_27304,LMC162.2.38930,LMC516.15.41862,16,
82.3105,-69.88525,LMC_SC3_274414,LMC169.7.83335,LMC516.23.54260,10,
82.22375,-69.87206,LMC_SC3_274426,LMC162.2.136643,LMC516.23.54162,2,
82.32371,-69.91478,LMC_SC3_274450,LMC169.7.83193,LMC516.23.109,A,16.0
82.23779,-69.91094,LMC_SC3_274456,LMC162.2.136797,LMC516.23.54208,1,
82.293,-69.87819,LMC_SC3_274684,LMC162.2.137208,LMC516.23.54522,0,
82.29229,-69.90825,LMC_SC3_274868,LMC162.2.138471,LMC516.23.54880,A,8.0
82.32933,-69.84289,LMC_SC3_281998,LMC169.7.83130,LMC516.23.13072,A,21.0
82.25933,-69.81267,LMC_SC3_282139,LMC162.3.63780,LMC516.23.68805,15,
82.33983,-69.77622,LMC_SC3_290111,LMC169.6.27,LMC516.23.13177,6,
82.31779,-69.75361,LMC_SC3_290202,LMC169.6.79920,LMC516.23.86322,8,
82.27421,-69.79958,LMC_SC3_291207,LMC162.3.71159,LMC516.23.73198,A,17.0
82.27287,-69.69264,LMC_SC3_297992,LMC169.6.79885,LMC516.23.86416,A,1.0
82.24046,-69.65783,LMC_SC3_304784,LMC162.4.59642,LMC516.23.102386,A,12.0
82.25937,-69.61481,LMC_SC3_311081,LMC162.4.59655,A,9,
82.36671,-69.57394,LMC_SC3_312818,LMC169.5.69658,LMC516.31.1465,11,
82.22037,-69.54303,LMC_SC3_317033,LMC161.1.41501,LMC516.31.40110,A,5.0
82.35821,-69.54122,LMC_SC3_317084,LMC168.8.204,LMC516.31.127,M,1.0
82.20525,-69.53703,LMC_SC3_317087,LMC161.1.41594,LMC516.31.40207,M,1.0
82.34746,-69.53658,LMC_SC3_317088,LMC168.8.192,LMC516.31.138,A,27.0
82.31546,-69.46453,LMC_SC3_322968,LMC168.8.51424,LMC516.31.50653,36,
82.21667,-69.48186,LMC_SC3_323021,LMC161.1.41605,LMC516.31.50773,22,
82.20829,-69.47272,LMC_SC3_323033,LMC161.1.92093,LMC516.31.50785,35,
82.23671,-69.4515,LMC_SC3_323053,LMC168.8.51522,LMC516.31.50808,2,
82.24112,-69.41936,LMC_SC3_328843,LMC168.8.51669,LMC516.31.63646,14,
82.25867,-69.39114,LMC_SC3_328913,LMC168.7.311,LMC516.31.63727,M,18.0
82.20987,-69.38658,LMC_SC3_333536,LMC161.2.38106,LMC516.31.63519,A,16.0
82.33054,-69.38444,LMC_SC3_333537,LMC168.7.172,LMC516.31.63524,10,
82.28933,-69.347,LMC_SC3_333689,LMC168.7.340,LMC516.31.75578,A,15.0
82.40967,-70.24744,LMC_SC3_338569,LMC170.5.25,LMC516.06.32692,M,20.0
82.47746,-70.249,LMC_SC3_338596,LMC170.5.101,LMC516.06.32741,19,
82.50913,-70.25822,LMC_SC3_338637,LMC170.5.255,LMC516.06.32829,A,8.0
82.39829,-70.14361,LMC_SC3_352523,LMC170.5.74306,LMC516.14.12929,M,7.0
82.46254,-70.12867,LMC_SC3_352545,LMC169.8.18089,LMC516.14.12963,A,20.0
81.99725,-69.933,LMC_SC3_35302,LMC162.2.38573,LMC516.15.41683,M,16.0
81.904,-69.97464,LMC_SC3_35322,LMC162.2.38644,LMC516.15.41724,A,14.0
81.858,-69.96306,LMC_SC3_35342,LMC162.2.19240,LMC516.15.99468,15,
