ra,dec,OGLE-II,OGLE-III,OGLE-IV,Offset,RemOut
13.09446,-73.20536,SMC_SC6_110579,SMC100.2.49567,SMC720.26.36697,A,8.0
13.16012,-73.17703,SMC_SC6_110621,SMC100.2.49485,SMC720.26.36773,A,35.0
13.06892,-73.19264,SMC_SC6_110701,SMC100.2.49727,SMC720.26.37407,14,
13.07075,-73.17714,SMC_SC6_110746,SMC100.2.49546,SMC720.26.37509,2,
13.04133,-73.30567,SMC_SC6_11085,SMC100.1.36096,SMC720.26.570,A,16.0
12.99254,-73.29719,SMC_SC6_11091,SMC100.1.36085,SMC720.26.207,5,
12.89525,-73.312,SMC_SC6_11145,SMC100.1.36050,SMC720.27.703,M,6.0
13.03867,-73.28658,SMC_SC6_11171,SMC100.2.8894,SMC720.26.624,A,2.0
12.958,-73.28569,SMC_SC6_11172,SMC100.2.8854,SMC720.26.626,A,7.0
13.03721,-73.27281,SMC_SC6_11184,SMC100.2.9068,SMC720.26.36510,A,13.0
13.15504,-73.15033,SMC_SC6_116294,SMC100.2.49901,SMC720.26.37675,A,18.0
13.06221,-73.14936,SMC_SC6_116502,SMC100.2.49720,SMC720.26.39821,A,20.0
13.22696,-73.11344,SMC_SC6_117565,SMC100.3.21510,SMC719.03.5284,15,
13.22779,-73.05425,SMC_SC6_122241,SMC100.3.56015,SMC719.03.497,6,
13.24433,-73.03844,SMC_SC6_122253,SMC100.3.55937,SMC719.03.220,9,
13.15421,-73.07244,SMC_SC6_122286,SMC100.3.19915,SMC719.03.456,M,11.0
13.09317,-73.04422,SMC_SC6_122321,SMC100.3.55972,SMC719.03.530,11,
13.12217,-73.07617,SMC_SC6_122412,SMC100.3.19896,SMC719.03.1064,11,
13.09533,-73.04792,SMC_SC6_122511,SMC100.3.56334,SMC719.03.1232,11,
13.09396,-73.05733,SMC_SC6_122933,SMC100.3.57046,SMC719.03.7271,17,
13.24925,-73.03172,SMC_SC6_128811,SMC100.3.56179,SMC719.03.565,A,0.0
13.05292,-73.01042,SMC_SC6_128831,SMC100.3.55954,SMC719.03.608,A,19.0
13.16125,-72.94311,SMC_SC6_135383,SMC100.4.19680,SMC719.03.43571,11,
13.24021,-72.95247,SMC_SC6_135438,SMC100.4.19715,SMC719.03.43807,11,
13.0635,-72.94153,SMC_SC6_135452,SMC100.4.19762,SMC719.03.43834,A,7.0
13.22142,-72.93742,SMC_SC6_135618,SMC100.4.19885,SMC719.03.44430,4,
13.23383,-72.89069,SMC_SC6_141670,SMC100.4.54157,SMC719.03.44743,A,5.0
13.11992,-72.86639,SMC_SC6_141697,SMC100.4.53975,SMC719.03.44008,13,
13.21783,-72.80828,SMC_SC6_147662,SMC101.1.16556,SMC719.11.97,2,
13.14746,-72.84722,SMC_SC6_147671,SMC101.1.16547,7,,
13.22158,-72.83208,SMC_SC6_148151,SMC101.1.17096,15,,
13.06462,-72.76433,SMC_SC6_152923,SMC101.1.46789,SMC719.11.140,7,
13.14454,-72.76347,SMC_SC6_152924,SMC101.1.46796,SMC719.11.141,M,22.0
13.09683,-72.78583,SMC_SC6_152956,SMC101.1.16566,SMC719.11.224,M,12.0
13.11817,-72.79817,SMC_SC6_152961,SMC101.1.16588,SMC719.11.286,A,10.0
13.19317,-72.71225,SMC_SC6_158086,SMC101.1.46779,SMC719.11.62,M,6.0
13.24237,-72.73625,SMC_SC6_158096,SMC101.1.46812,SMC719.11.168,10,
13.25312,-72.71828,SMC_SC6_158150,SMC101.1.46874,SMC719.11.452,A,52.0
13.10167,-72.67739,SMC_SC6_162904,SMC101.2.14307,SMC719.11.77,7,
13.11917,-72.65728,SMC_SC6_162963,SMC101.2.14374,SMC719.11.36609,12,
13.21658,-72.58569,SMC_SC6_167467,SMC101.2.41412,SMC719.11.36407,4,
