OGLE,Ori,DC,DDC,Nou,Mass,Group
lmc_sc7_142214,P,0.354,0.949,0.414,0.0,1
lmc_sc7_142436,P,0.502,1.0,0.466,0.0,1
lmc_sc7_142765,P,0.501,1.0,0.259,0.0,1
lmc_sc7_149487,P,0.559,1.0,0.414,0.0,1
lmc_sc7_149542,P,0.557,0.951,0.673,0.0,1
lmc_sc7_157410,P,0.378,0.799,0.104,0.0,1
lmc_sc7_157430,P,0.283,0.375,0.224,0.0,1
lmc_sc7_157623,P,0.53,1.0,0.09,0.0,1
lmc_sc7_158035,P,0.771,0.889,0.045,0.0,1
lmc_sc7_158172,P,0.296,0.655,0.224,0.0,1
lmc_sc7_158746,P,0.068,0.132,0.052,0.0,1
lmc_sc7_165473,P,0.36,1.0,0.362,0.0,1
lmc_sc7_165761,P,0.484,0.967,0.207,11.1,2
lmc_sc7_166004,P,0.248,0.722,0.104,0.0,1
lmc_sc7_167288,P,0.119,0.947,0.052,4.9,3
lmc_sc7_174453,P,0.859,1.0,0.311,0.0,1
lmc_sc7_174860,P,0.365,1.0,0.166,0.0,1
lmc_sc7_175280,P,0.143,0.363,0.104,0.0,1
lmc_sc7_175499,P,0.977,0.977,0.052,0.0,1
lmc_sc7_192215,P,0.602,1.0,0.673,0.0,1
lmc_sc7_192246,P,0.313,0.681,0.673,0.0,1
lmc_sc7_199665,P,0.945,0.994,0.207,0.0,1
lmc_sc7_199677,P,0.763,1.0,0.518,0.0,1
lmc_sc7_199693,P,0.252,0.568,1.139,0.0,1
lmc_sc7_207085,P,0.022,0.081,0.052,0.0,1
lmc_sc7_207212,P,0.043,0.775,0.055,0.0,1
lmc_sc7_214391,P,0.582,1.0,0.828,0.0,1
lmc_sc7_214397,P,0.465,1.0,0.932,0.0,1
lmc_sc7_214760,P,0.447,1.0,0.0,0.0,1
lmc_sc7_21799,P,0.597,0.862,0.311,0.0,1
lmc_sc7_22022,P,0.099,0.602,0.672,0.0,1
lmc_sc7_22790,P,0.108,0.901,0.052,0.0,1
lmc_sc7_229,E,0.528,1.0,0.414,0.0,1
lmc_sc7_254716,P,0.518,0.725,0.314,0.0,1
lmc_sc7_255063,P,0.24,1.0,0.207,0.0,1
lmc_sc7_262765,P,0.607,1.0,1.294,0.0,1
lmc_sc7_262885,E,0.438,1.0,1.035,0.0,1
lmc_sc7_263457,P,0.433,0.96,0.179,0.0,1
lmc_sc7_270428,P,0.404,0.91,0.311,0.0,1
lmc_sc7_270437,P,0.34,0.94,0.672,0.0,1
lmc_sc7_278429,P,0.163,0.312,0.134,0.0,1
lmc_sc7_278512,P,0.237,0.852,0.052,0.0,1
lmc_sc7_286612,P,0.293,1.0,0.155,0.0,1
lmc_sc7_286622,P,0.321,1.0,0.259,0.0,1
lmc_sc7_286698,E,0.961,1.0,0.134,0.0,1
lmc_sc7_30131,P,0.402,1.0,0.73,0.0,1
lmc_sc7_30988,P,0.069,0.112,0.052,0.0,1
lmc_sc7_318531,P,0.712,1.0,0.569,0.0,1
lmc_sc7_319109,P,0.01,0.255,0.052,0.0,1
lmc_sc7_325318,P,0.353,0.817,0.621,0.0,1
lmc_sc7_331927,P,0.606,1.0,0.414,0.0,1
lmc_sc7_344568,P,0.813,1.0,0.518,0.0,1
lmc_sc7_364123,P,0.748,1.0,0.311,0.0,1
lmc_sc7_372003,P,0.388,1.0,0.159,0.0,1
lmc_sc7_372472,P,0.724,1.0,0.155,0.0,1
lmc_sc7_380432,P,0.766,1.0,0.311,0.0,1
lmc_sc7_38667,P,0.284,0.886,0.362,0.0,1
lmc_sc7_38669,P,0.161,0.917,0.362,0.0,1
lmc_sc7_38672,P,0.627,1.0,0.362,0.0,1
lmc_sc7_388060,P,0.593,1.0,0.466,0.0,1
lmc_sc7_38966,P,0.118,0.323,0.09,0.0,1
lmc_sc7_39117,P,0.481,0.981,0.88,0.0,1
lmc_sc7_397258,P,0.299,1.0,0.311,0.0,1
lmc_sc7_39751,P,0.685,1.0,0.104,0.0,1
lmc_sc7_406417,P,0.75,1.0,0.932,0.0,1
lmc_sc7_407047,P,0.913,1.0,0.052,0.0,1
lmc_sc7_407162,P,0.109,0.831,0.052,0.0,1
lmc_sc7_415751,P,0.232,0.523,0.207,0.0,1
lmc_sc7_415779,P,0.54,1.0,0.259,0.0,1
lmc_sc7_415788,P,0.465,0.634,0.518,12.6,3
lmc_sc7_415940,P,0.508,1.0,0.207,0.0,1
lmc_sc7_415950,P,0.621,0.986,0.311,10.7,2
lmc_sc7_433061,P,0.796,1.0,0.203,0.0,1
lmc_sc7_460143,P,0.143,0.587,0.166,6.5,3
lmc_sc7_47341,P,0.723,1.0,0.725,0.0,1
lmc_sc7_47372,P,0.528,1.0,0.466,0.0,1
lmc_sc7_48536,P,0.676,1.0,0.104,0.0,1
lmc_sc7_56031,P,0.296,0.991,0.88,9.2,2
lmc_sc7_56039,P,0.67,1.0,0.414,0.0,1
lmc_sc7_56063,P,0.45,0.943,0.725,0.0,1
lmc_sc7_56157,P,0.5,1.0,0.104,0.0,1
lmc_sc7_56481,P,0.259,1.0,0.052,0.0,1
lmc_sc7_56630,P,0.04,0.148,0.0,3.2,2
lmc_sc7_6481,P,0.735,1.0,0.414,0.0,1
lmc_sc7_64949,P,0.7,1.0,0.983,0.0,1
lmc_sc7_65012,P,0.516,1.0,0.725,0.0,1
lmc_sc7_65106,P,0.702,1.0,0.725,0.0,1
lmc_sc7_65114,P,0.125,0.897,0.052,6.7,3
lmc_sc7_72501,P,0.285,0.539,0.207,7.6,2
lmc_sc7_72689,P,0.733,1.0,0.052,0.0,1
lmc_sc7_79591,P,0.406,0.871,0.212,8.3,2
lmc_sc7_79604,E,0.545,1.0,0.424,0.0,1
lmc_sc7_80802,P,0.565,1.0,0.259,0.0,1
lmc_sc7_86310,P,0.494,1.0,0.259,0.0,1
lmc_sc7_86322,P,0.487,0.972,0.828,15.5,2
lmc_sc7_86842,P,0.066,0.144,0.053,6.0,3
lmc_sc7_93906,P,0.595,1.0,0.414,0.0,1
lmc_sc7_93966,P,0.621,1.0,0.466,0.0,1
lmc_sc8_100640,P,0.39,0.847,0.134,7.0,2
lmc_sc8_106054,P,0.442,0.977,0.155,12.7,2
lmc_sc8_106602,P,0.272,1.0,0.134,0.0,1
lmc_sc8_112067,P,0.337,0.987,0.269,7.0,3
lmc_sc8_112110,P,0.196,0.582,0.717,10.2,3
lmc_sc8_11574,P,0.509,0.989,0.162,7.0,2
lmc_sc8_118584,P,0.622,1.0,0.493,0.0,1
lmc_sc8_118643,P,0.095,0.868,0.045,7.4,2
lmc_sc8_118791,P,0.279,0.849,0.269,9.0,2
lmc_sc8_118972,P,0.664,0.973,0.466,9.1,3
lmc_sc8_125799,P,0.404,0.983,0.583,13.5,3
lmc_sc8_125907,P,0.447,0.916,0.583,7.9,2
lmc_sc8_132727,P,0.211,0.385,0.104,7.0,3
lmc_sc8_138954,P,0.257,0.844,0.359,6.6,3
lmc_sc8_138977,P,0.062,0.485,0.155,7.5,2
lmc_sc8_145223,P,0.583,1.0,0.311,0.0,1
lmc_sc8_151166,P,0.331,0.771,0.134,7.5,2
lmc_sc8_15552,P,0.557,0.972,0.311,12.3,2
lmc_sc8_15834,P,0.509,1.0,0.155,0.0,1
lmc_sc8_198896,P,0.538,0.87,0.362,9.0,2
lmc_sc8_205229,P,0.751,1.0,0.466,0.0,1
lmc_sc8_205234,P,0.154,0.454,0.518,8.8,3
lmc_sc8_205272,P,0.251,0.467,0.09,7.4,3
lmc_sc8_205390,E,0.454,1.0,0.621,0.0,1
lmc_sc8_205790,P,0.168,0.964,0.052,0.0,1
lmc_sc8_211887,E,0.631,1.0,0.362,0.0,1
lmc_sc8_211921,P,0.276,0.547,0.448,13.7,3
lmc_sc8_212006,P,0.318,0.826,0.155,11.3,3
lmc_sc8_212043,P,0.142,0.931,0.104,6.3,3
lmc_sc8_212172,P,0.383,0.825,0.207,4.5,2
lmc_sc8_212582,P,0.628,1.0,0.259,0.0,1
lmc_sc8_218714,P,0.743,0.997,1.346,18.5,3
lmc_sc8_218845,P,0.261,0.95,0.052,14.3,3
lmc_sc8_218918,P,0.745,1.0,0.134,0.0,1
lmc_sc8_219655,P,0.013,0.16,0.052,3.9,3
lmc_sc8_224909,E,0.692,1.0,0.466,0.0,1
lmc_sc8_237217,P,0.07,0.503,0.0,5.0,2
lmc_sc8_254081,P,0.508,1.0,0.362,0.0,1
lmc_sc8_268789,P,0.75,1.0,0.207,0.0,1
lmc_sc8_285258,P,0.343,0.699,0.466,12.6,3
lmc_sc8_291777,P,0.65,1.0,0.207,0.0,1
lmc_sc8_291817,P,0.616,1.0,0.725,0.0,1
lmc_sc8_291821,E,0.446,1.0,0.362,0.0,1
lmc_sc8_291839,P,0.568,0.996,0.207,15.8,3
lmc_sc8_292460,P,0.027,0.051,0.052,5.8,3
lmc_sc8_298777,P,0.276,1.0,0.466,0.0,1
lmc_sc8_298788,P,0.734,1.0,0.259,0.0,1
lmc_sc8_305738,P,0.644,1.0,0.673,0.0,1
lmc_sc8_305823,P,0.166,0.521,0.362,7.3,3
lmc_sc8_306311,P,0.425,0.788,0.052,4.7,2
lmc_sc8_306683,P,0.43,0.899,0.052,3.7,3
lmc_sc8_312245,P,0.513,0.895,0.311,6.9,2
lmc_sc8_312341,P,0.574,1.0,0.311,0.0,1
lmc_sc8_312532,P,0.418,0.935,0.045,4.8,2
lmc_sc8_318761,P,0.607,1.0,1.503,0.0,1
lmc_sc8_318811,P,0.536,1.0,0.621,0.0,1
lmc_sc8_318919,P,0.241,0.912,0.259,11.2,3
lmc_sc8_319287,P,0.524,1.0,0.045,0.0,1
lmc_sc8_320263,P,0.132,0.961,0.052,5.8,3
lmc_sc8_325981,P,0.103,0.673,0.414,7.6,3
lmc_sc8_331802,P,0.683,1.0,0.311,0.0,1
lmc_sc8_345675,P,0.93,1.0,0.045,0.0,1
lmc_sc8_354342,P,0.588,0.971,0.518,13.6,3
lmc_sc8_360139,P,0.024,0.065,0.052,3.4,3
lmc_sc8_39761,P,0.534,1.0,0.828,0.0,1
lmc_sc8_39795,P,0.547,0.934,0.621,8.4,2
lmc_sc8_39899,P,0.392,0.976,0.104,9.0,2
lmc_sc8_46515,P,0.046,0.428,0.155,6.2,3
lmc_sc8_53017,P,0.045,0.064,0.052,3.8,3
lmc_sc8_58850,P,0.595,0.97,0.777,8.3,2
lmc_sc8_64930,P,0.319,0.936,0.155,12.9,2
lmc_sc8_70442,P,0.463,1.0,0.88,0.0,1
lmc_sc8_86083,P,0.257,1.0,0.725,0.0,1
lmc_sc8_90549,P,0.615,1.0,0.932,0.0,1
lmc_sc8_90588,P,0.478,1.0,0.155,0.0,1
lmc_sc9_100476,P,0.699,1.0,0.627,0.0,1
lmc_sc9_115440,P,0.606,0.956,0.414,0.0,1
lmc_sc9_115478,P,0.212,0.696,0.518,8.4,3
lmc_sc9_121651,P,0.347,0.929,1.657,12.9,3
lmc_sc9_127737,P,0.093,0.13,0.052,5.0,2
lmc_sc9_127864,P,0.167,0.611,0.137,5.2,3
lmc_sc9_128048,P,0.0,0.432,0.0,5.4,2
lmc_sc9_134667,P,0.302,0.551,1.036,10.4,3
lmc_sc9_13712,P,0.678,1.0,0.621,0.0,1
lmc_sc9_13766,P,0.554,1.0,0.57,0.0,1
lmc_sc9_147297,P,0.097,0.854,0.052,3.7,3
lmc_sc9_148668,P,0.294,0.74,0.09,3.1,3
lmc_sc9_153860,P,0.927,1.0,0.155,0.0,1
lmc_sc9_159773,P,0.404,0.794,0.259,8.2,3
lmc_sc9_172044,P,0.694,1.0,0.0,0.0,1
lmc_sc9_172227,P,0.1,0.274,0.09,5.6,3
lmc_sc9_183607,P,0.359,0.71,0.777,10.8,3
lmc_sc9_198321,P,0.636,0.921,0.414,14.8,3
lmc_sc9_198417,P,0.501,0.936,0.448,9.5,2
lmc_sc9_198418,P,0.284,0.571,0.224,8.8,3
lmc_sc9_198433,P,0.146,0.751,0.104,8.6,3
lmc_sc9_198513,P,0.121,0.871,0.259,5.7,3
lmc_sc9_211385,P,0.206,1.0,0.045,0.0,1
lmc_sc9_217026,P,0.589,0.908,0.518,9.1,3
lmc_sc9_217034,E,0.544,1.0,0.673,0.0,1
lmc_sc9_224040,E,0.48,1.0,0.104,0.0,1
lmc_sc9_230643,P,0.332,0.892,0.57,9.4,3
lmc_sc9_237220,P,0.577,0.657,0.259,7.0,3
lmc_sc9_243716,P,0.37,0.644,0.414,7.5,3
lmc_sc9_250873,P,0.37,0.687,0.045,3.4,3
lmc_sc9_257405,P,0.47,0.844,0.052,4.2,2
lmc_sc9_26348,P,0.515,1.0,0.155,0.0,1
lmc_sc9_286046,P,0.232,1.0,0.052,0.0,1
lmc_sc9_298887,P,0.417,1.0,0.183,0.0,1
lmc_sc9_304868,P,0.797,1.0,0.052,0.0,1
lmc_sc9_319029,P,0.567,1.0,0.259,0.0,1
lmc_sc9_319122,P,0.557,1.0,0.466,0.0,1
lmc_sc9_32529,P,0.031,0.163,0.052,5.3,3
lmc_sc9_327366,P,0.326,1.0,0.055,0.0,1
lmc_sc9_334204,P,0.584,0.933,0.621,8.2,3
lmc_sc9_334358,P,0.176,0.846,0.259,4.7,3
lmc_sc9_334520,P,0.136,0.888,0.052,0.0,1
lmc_sc9_335785,P,0.634,1.0,0.673,0.0,1
lmc_sc9_342114,P,0.644,0.954,0.155,8.5,3
lmc_sc9_349892,P,0.249,1.0,0.414,0.0,1
lmc_sc9_350062,P,0.007,0.132,0.053,5.2,2
lmc_sc9_350152,P,0.155,0.536,0.207,5.6,3
lmc_sc9_385597,P,0.519,1.0,0.362,0.0,1
lmc_sc9_385700,P,0.098,0.373,0.207,5.9,2
lmc_sc9_39084,P,0.441,0.836,0.311,4.2,3
lmc_sc9_391759,P,0.741,1.0,0.317,0.0,1
lmc_sc9_45274,P,0.517,1.0,0.621,0.0,1
lmc_sc9_45391,P,0.582,1.0,0.571,0.0,1
lmc_sc9_52182,P,0.717,1.0,0.207,0.0,1
lmc_sc9_65459,P,0.211,1.0,0.052,0.0,1
lmc_sc9_65506,P,0.214,0.47,0.414,4.8,3
lmc_sc9_72583,P,0.342,1.0,0.0,0.0,1
lmc_sc9_84708,P,0.432,0.944,0.777,8.8,3
lmc_sc10_100630,P,0.601,0.958,0.362,11.8,2
lmc_sc10_105178,P,0.451,0.983,0.362,11.0,3
lmc_sc10_105185,P,0.222,1.0,0.466,0.0,1
lmc_sc10_105232,E,0.376,1.0,0.621,0.0,1
lmc_sc10_105269,P,0.555,0.98,0.207,7.1,2
lmc_sc10_105302,P,0.342,1.0,0.104,0.0,1
lmc_sc10_109825,P,0.734,1.0,0.362,0.0,1
lmc_sc10_119207,P,0.751,1.0,0.155,0.0,1
lmc_sc10_124043,P,0.588,1.0,0.155,0.0,1
lmc_sc10_124050,P,0.136,0.783,0.0,3.8,2
lmc_sc10_137343,P,0.683,0.945,0.311,4.3,2
lmc_sc10_155165,P,0.373,1.0,0.259,0.0,1
lmc_sc10_158625,P,0.432,1.0,0.362,0.0,1
lmc_sc10_158762,P,0.709,1.0,0.414,0.0,1
lmc_sc10_167866,P,0.661,1.0,0.104,0.0,1
lmc_sc10_172611,P,0.649,1.0,1.036,0.0,1
lmc_sc10_172616,P,0.412,0.95,1.346,13.8,2
lmc_sc10_172765,P,0.283,0.521,0.414,6.5,3
lmc_sc10_172788,E,0.095,0.874,0.104,12.0,3
lmc_sc10_173573,P,0.847,1.0,0.052,0.0,1
lmc_sc10_177174,P,0.666,1.0,0.673,0.0,1
lmc_sc10_181927,P,0.832,1.0,0.621,0.0,1
lmc_sc10_185953,P,0.828,1.0,0.052,0.0,1
lmc_sc10_186038,P,0.228,0.603,0.725,5.4,3
lmc_sc10_186276,P,0.142,1.0,0.052,0.0,1
lmc_sc10_190423,P,0.529,1.0,0.414,0.0,1
lmc_sc10_194851,P,0.231,0.489,0.269,8.0,3
lmc_sc10_199278,P,0.556,1.0,0.518,0.0,1
lmc_sc10_199435,P,0.497,0.825,0.57,6.8,3
lmc_sc10_203870,E,0.298,1.0,0.57,0.0,1
lmc_sc10_208314,P,0.508,1.0,1.657,0.0,1
lmc_sc10_212776,P,0.26,0.744,0.414,6.6,3
lmc_sc10_212852,E,0.156,0.653,0.104,6.0,3
lmc_sc10_230292,P,0.435,1.0,0.362,0.0,1
lmc_sc10_230403,P,0.785,1.0,0.104,0.0,1
lmc_sc10_235350,P,0.611,1.0,0.362,0.0,1
lmc_sc10_240485,P,0.379,0.761,0.207,5.9,2
lmc_sc10_245327,P,0.885,1.0,0.155,0.0,1
lmc_sc10_245393,P,0.188,0.784,0.311,6.9,3
lmc_sc10_245412,P,0.831,1.0,0.207,0.0,1
lmc_sc10_245556,P,0.226,0.49,0.259,4.9,3
lmc_sc10_259956,P,0.622,1.0,0.518,0.0,1
lmc_sc10_260043,P,0.562,1.0,0.311,0.0,1
lmc_sc10_260146,P,0.144,0.895,0.104,3.6,3
lmc_sc10_269388,P,0.493,1.0,1.036,0.0,1
lmc_sc10_269397,P,0.689,1.0,0.403,0.0,1
lmc_sc10_27286,P,0.412,0.749,0.88,6.5,2
lmc_sc10_274215,P,0.629,0.983,0.777,9.1,3
lmc_sc10_274459,P,0.026,0.066,0.052,4.7,3
lmc_sc10_278725,P,0.474,0.805,0.828,12.6,3
lmc_sc10_283638,P,0.0,1.0,0.0,0.0,1
lmc_sc10_31483,P,0.205,0.681,0.845,0.0,1
lmc_sc10_40703,P,0.778,0.921,0.104,5.3,2
lmc_sc10_49747,E,0.469,1.0,0.311,0.0,1
lmc_sc10_49768,P,0.529,0.979,0.621,15.9,2
lmc_sc10_49814,P,0.232,0.633,0.052,5.3,3
lmc_sc10_54624,P,0.681,1.0,0.57,0.0,1
lmc_sc10_54664,P,0.355,0.915,0.265,11.4,2
lmc_sc10_54677,P,0.145,0.388,0.259,6.3,3
lmc_sc10_54693,P,0.649,1.0,0.414,0.0,1
lmc_sc10_64304,P,0.201,0.38,0.518,9.0,3
lmc_sc10_66,P,0.708,1.0,0.621,0.0,1
lmc_sc10_74864,P,0.867,1.0,0.104,0.0,1
lmc_sc10_77730,P,0.188,0.93,0.09,6.2,3
lmc_sc10_86088,P,0.359,0.952,0.777,10.5,3
lmc_sc10_86343,E,0.172,1.0,0.104,0.0,1
lmc_sc10_90831,P,0.429,1.0,0.362,0.0,1
lmc_sc11_118653,P,0.481,1.0,0.538,0.0,1
lmc_sc11_118738,P,0.354,1.0,1.184,0.0,1
lmc_sc11_124361,E,0.475,1.0,0.334,0.0,1
lmc_sc11_124448,P,0.077,0.512,0.431,5.7,3
lmc_sc11_130212,P,0.544,1.0,0.269,0.0,1
lmc_sc11_140877,P,0.675,1.0,0.161,0.0,1
lmc_sc11_145986,P,0.335,0.901,0.646,7.5,3
lmc_sc11_145988,P,0.228,0.947,0.518,8.7,3
lmc_sc11_152248,E,0.486,1.0,0.51,0.0,1
lmc_sc11_156877,P,0.141,0.934,0.139,5.5,3
lmc_sc11_156984,P,0.699,1.0,0.323,0.0,1
lmc_sc11_157005,P,0.24,1.0,0.054,0.0,1
lmc_sc11_157293,P,0.899,1.0,0.108,0.0,1
lmc_sc11_162273,P,0.281,0.708,0.484,10.8,3
lmc_sc11_162373,P,0.717,1.0,0.161,0.0,1
lmc_sc11_162494,P,0.583,0.9,0.108,5.2,3
lmc_sc11_162525,P,0.26,0.711,0.538,5.8,3
lmc_sc11_168479,P,0.392,1.0,0.108,0.0,1
lmc_sc11_168859,P,0.094,0.942,0.046,4.5,3
lmc_sc11_180348,P,0.179,0.977,0.161,14.4,3
lmc_sc11_185800,P,0.397,0.965,0.927,13.1,3
lmc_sc11_195874,P,0.591,1.0,0.269,0.0,1
lmc_sc11_200828,P,0.365,0.76,0.323,6.2,2
lmc_sc11_206067,P,0.587,1.0,0.323,0.0,1
lmc_sc11_206151,P,0.327,0.934,0.108,4.8,3
lmc_sc11_211599,P,0.096,0.919,0.108,7.2,3
lmc_sc11_217140,P,0.249,0.892,0.431,7.8,2
lmc_sc11_217148,P,0.361,1.0,0.323,0.0,1
lmc_sc11_222902,P,0.371,0.927,0.484,7.9,2
lmc_sc11_228068,P,0.474,1.0,0.269,0.0,1
lmc_sc11_228081,P,0.556,0.775,0.0,4.7,2
lmc_sc11_233242,P,0.742,1.0,1.02,0.0,1
lmc_sc11_233269,P,0.139,1.0,0.054,0.0,1
lmc_sc11_244587,P,0.241,0.879,0.377,9.1,3
lmc_sc11_244787,P,0.201,0.452,0.054,5.7,2
lmc_sc11_250960,P,0.527,1.0,0.108,0.0,1
lmc_sc11_251056,P,0.667,1.0,0.432,0.0,1
lmc_sc11_251070,P,0.731,1.0,0.108,0.0,1
lmc_sc11_251083,P,0.442,0.854,0.463,7.4,3
lmc_sc11_251261,P,0.134,0.345,0.054,4.7,3
lmc_sc11_251877,P,0.876,1.0,0.093,0.0,1
lmc_sc11_257272,P,0.579,1.0,0.7,0.0,1
lmc_sc11_257387,P,0.128,0.481,0.377,6.8,2
lmc_sc11_257405,P,0.0,0.311,0.0,5.7,2
lmc_sc11_257637,P,0.112,0.359,0.185,4.0,3
lmc_sc11_268864,P,0.285,0.92,0.093,9.5,3
lmc_sc11_284989,P,0.152,0.363,0.108,4.5,3
lmc_sc11_290854,P,0.062,0.547,0.0,3.7,2
lmc_sc11_291185,P,0.099,0.586,0.054,3.4,3
lmc_sc11_314034,P,0.168,1.0,0.161,0.0,1
lmc_sc11_320160,P,0.605,0.984,0.215,6.2,2
lmc_sc11_325776,P,0.033,0.106,0.046,5.6,3
lmc_sc11_331593,P,0.674,1.0,0.161,0.0,1
lmc_sc11_338226,P,0.368,0.937,0.431,10.7,3
lmc_sc11_338231,P,0.455,1.0,0.754,0.0,1
lmc_sc11_338623,P,0.935,1.0,0.054,0.0,1
lmc_sc11_344651,P,0.648,1.0,0.754,0.0,1
lmc_sc11_350745,P,0.59,1.0,0.186,0.0,1
lmc_sc11_350788,P,0.935,1.0,0.093,0.0,1
lmc_sc11_54784,P,0.803,1.0,0.646,0.0,1
lmc_sc11_59860,P,0.365,0.759,0.324,9.8,3
lmc_sc11_65387,P,0.617,1.0,0.323,0.0,1
lmc_sc12_100031,P,0.581,1.0,0.726,0.0,1
lmc_sc12_100042,P,0.411,0.973,0.674,15.6,2
lmc_sc12_100250,P,0.347,1.0,0.104,0.0,1
lmc_sc12_104452,P,0.328,0.567,0.052,11.8,3
lmc_sc12_104499,P,0.653,0.873,0.518,6.1,2
lmc_sc12_109191,P,0.079,0.918,0.0,0.0,1
lmc_sc12_111444,P,0.412,0.911,0.674,0.0,1
lmc_sc12_111459,E,0.74,0.99,0.778,18.3,3
lmc_sc12_111511,P,0.068,0.262,0.259,7.5,3
lmc_sc12_116678,P,0.445,0.828,0.518,7.8,3
lmc_sc12_144330,P,0.638,1.0,0.311,0.0,1
lmc_sc12_156454,P,0.738,1.0,0.674,0.0,1
lmc_sc12_156465,P,0.499,0.997,0.778,0.0,1
lmc_sc12_160841,P,0.438,1.0,0.726,0.0,1
lmc_sc12_163282,P,0.42,1.0,0.259,0.0,1
lmc_sc12_163287,P,0.655,1.0,0.156,0.0,1
lmc_sc12_163306,P,0.188,0.9,0.104,0.0,1
lmc_sc12_163324,P,0.31,0.922,0.467,5.8,2
lmc_sc12_166109,P,0.201,0.663,0.207,8.2,3
lmc_sc12_171365,P,0.567,1.0,0.415,0.0,1
lmc_sc12_183430,P,0.587,1.0,0.259,0.0,1
lmc_sc12_202465,P,0.303,0.948,0.104,3.7,3
lmc_sc12_206467,P,0.158,0.521,0.207,6.8,3
lmc_sc12_206472,P,0.602,1.0,0.259,0.0,1
lmc_sc12_210616,P,0.694,1.0,0.467,0.0,1
lmc_sc12_210675,P,0.074,0.205,0.156,6.3,3
lmc_sc12_210708,P,0.423,0.61,0.518,5.2,2
lmc_sc12_2577,P,0.021,0.122,0.052,3.4,3
lmc_sc12_47020,P,0.667,0.974,0.311,7.2,3
lmc_sc12_5,P,0.647,0.973,0.778,10.4,3
lmc_sc12_51606,P,0.614,1.0,0.622,0.0,1
lmc_sc12_5204,P,0.337,0.774,0.57,9.8,3
lmc_sc12_58599,P,0.477,0.979,0.726,15.0,2
lmc_sc12_61153,P,0.298,0.612,0.104,0.0,1
lmc_sc12_63675,P,0.358,0.934,0.415,0.0,1
lmc_sc12_68663,P,0.451,1.0,1.296,0.0,1
lmc_sc12_77616,P,0.705,0.98,0.363,0.0,1
lmc_sc13_102420,P,0.787,1.0,0.484,0.0,1
lmc_sc13_102530,P,0.0,0.735,0.0,4.5,2
lmc_sc13_10549,P,0.358,1.0,0.161,0.0,1
lmc_sc13_106982,P,0.444,1.0,1.292,0.0,1
lmc_sc13_107000,P,0.547,1.0,0.538,0.0,1
lmc_sc13_107010,P,0.389,0.968,0.161,7.9,2
lmc_sc13_111954,P,0.564,1.0,1.184,0.0,1
lmc_sc13_112026,P,0.485,1.0,0.484,0.0,1
lmc_sc13_112039,P,0.675,1.0,0.538,0.0,1
lmc_sc13_112040,P,0.366,0.619,0.7,6.9,3
lmc_sc13_125181,P,0.566,1.0,0.323,0.0,1
lmc_sc13_128509,P,0.508,1.0,1.077,0.0,1
lmc_sc13_128540,P,0.204,0.554,0.161,8.6,2
lmc_sc13_128545,P,0.611,1.0,0.484,0.0,1
lmc_sc13_128717,P,0.134,0.869,0.054,3.8,3
lmc_sc13_128806,P,0.118,0.158,0.055,3.7,3
lmc_sc13_132077,P,0.036,0.116,0.108,5.1,3
lmc_sc13_137675,P,0.219,1.0,0.323,0.0,1
lmc_sc13_142637,P,0.67,0.877,0.431,10.5,3
lmc_sc13_151863,P,0.526,1.0,0.431,0.0,1
lmc_sc13_151870,P,0.328,1.0,0.553,0.0,1
lmc_sc13_151904,P,0.444,0.928,0.167,0.0,1
lmc_sc13_15286,P,0.256,0.642,0.538,10.9,3
lmc_sc13_15426,P,0.193,0.278,0.215,5.7,2
lmc_sc13_156224,P,0.308,0.951,0.232,0.0,1
lmc_sc13_173866,P,0.15,0.348,0.108,5.3,3
lmc_sc13_178887,P,0.8,1.0,0.323,0.0,1
lmc_sc13_179047,P,0.744,0.874,0.162,3.5,3
lmc_sc13_179074,P,0.075,0.318,0.046,3.2,3
lmc_sc13_183867,P,0.052,0.087,0.054,6.9,3
lmc_sc13_188008,P,0.666,1.0,0.269,0.0,1
lmc_sc13_188035,P,0.32,0.936,0.161,12.6,2
lmc_sc13_191214,P,0.443,0.823,0.27,9.4,3
lmc_sc13_191247,P,0.897,0.901,0.0,0.0,1
lmc_sc13_194114,E,0.597,1.0,0.649,0.0,1
lmc_sc13_197530,P,0.227,0.84,0.186,6.0,3
lmc_sc13_203509,P,0.543,1.0,0.484,0.0,1
lmc_sc13_203528,P,0.512,1.0,0.269,0.0,1
lmc_sc13_203607,E,0.518,0.98,0.538,15.0,3
lmc_sc13_209165,P,0.385,0.765,0.161,7.5,2
lmc_sc13_209221,P,0.559,1.0,0.108,0.0,1
lmc_sc13_209293,P,0.046,0.731,0.0,5.7,2
lmc_sc13_209371,P,0.556,1.0,0.269,0.0,1
lmc_sc13_209441,P,0.393,1.0,0.108,0.0,1
lmc_sc13_214215,P,0.906,1.0,0.161,0.0,1
lmc_sc13_214515,P,0.84,1.0,0.161,0.0,1
lmc_sc13_218700,P,0.321,0.582,0.592,11.8,3
lmc_sc13_218705,P,0.656,1.0,0.754,0.0,1
lmc_sc13_218738,P,0.807,1.0,0.431,0.0,1
lmc_sc13_218753,P,0.337,0.987,0.646,9.6,3
lmc_sc13_218812,P,0.156,1.0,0.484,0.0,1
lmc_sc13_218842,P,0.932,1.0,0.054,0.0,1
lmc_sc13_218853,P,0.089,0.261,0.215,6.5,3
