OGLE,Ori,DC,DDC,Nou,Mass,Group
lmc_sc3_108264,P,0.512,1.0,0.673,0.0,1
lmc_sc3_113723,E,0.503,1.0,2.329,0.0,1
lmc_sc3_113732,P,0.727,1.0,0.673,0.0,1
lmc_sc3_131753,P,0.181,0.987,0.052,5.0,3
lmc_sc3_132647,P,0.939,1.0,0.104,0.0,1
lmc_sc3_146260,E,0.42,0.939,0.414,12.7,3
lmc_sc3_146286,P,0.191,0.466,0.311,10.0,3
lmc_sc3_154494,P,0.704,1.0,0.362,0.0,1
lmc_sc3_154768,P,0.722,1.0,0.104,0.0,1
lmc_sc3_155829,P,0.313,1.0,0.052,0.0,1
lmc_sc3_162177,P,0.48,1.0,0.466,0.0,1
lmc_sc3_162186,P,0.834,1.0,0.362,0.0,1
lmc_sc3_162220,P,0.334,0.698,0.776,9.6,3
lmc_sc3_170313,P,0.428,0.881,0.569,9.0,3
lmc_sc3_170557,P,0.123,0.982,0.155,9.4,3
lmc_sc3_19433,P,0.175,0.643,0.0,5.9,2
lmc_sc3_201708,P,0.328,0.87,0.207,6.1,3
lmc_sc3_207857,P,0.265,0.864,0.493,7.5,3
lmc_sc3_208228,P,0.465,0.941,0.052,0.0,1
lmc_sc3_213949,P,0.176,0.558,0.179,11.3,3
lmc_sc3_214004,P,0.701,0.946,0.155,9.8,2
lmc_sc3_214012,P,0.058,0.079,0.052,7.8,3
lmc_sc3_220033,P,0.222,0.554,0.156,4.7,3
lmc_sc3_225528,P,0.708,1.0,0.224,0.0,1
lmc_sc3_225546,P,0.088,0.97,0.052,15.3,3
lmc_sc3_244096,P,0.397,0.973,0.134,0.0,1
lmc_sc3_251026,P,0.163,0.555,0.362,5.2,3
lmc_sc3_258975,P,0.261,1.0,1.165,0.0,1
lmc_sc3_266651,P,0.595,1.0,0.314,0.0,1
lmc_sc3_266667,P,0.561,1.0,0.448,0.0,1
lmc_sc3_266778,P,0.41,1.0,0.134,0.0,1
lmc_sc3_274456,P,0.521,0.986,0.493,7.0,3
lmc_sc3_274684,P,0.379,0.523,0.358,5.7,3
lmc_sc3_274868,P,0.074,0.232,0.045,4.4,3
lmc_sc3_290111,P,0.659,1.0,0.725,0.0,1
lmc_sc3_290202,P,0.749,1.0,0.207,0.0,1
lmc_sc3_312818,P,0.071,0.66,0.052,4.2,3
lmc_sc3_317033,P,0.634,1.0,0.806,0.0,1
lmc_sc3_317084,P,0.565,0.889,0.448,8.0,3
lmc_sc3_328843,P,0.555,1.0,0.045,0.0,1
lmc_sc3_328913,P,0.394,0.868,0.155,5.5,3
lmc_sc3_333536,E,0.161,0.914,0.269,15.2,3
lmc_sc3_333537,P,0.838,1.0,0.207,0.0,1
lmc_sc3_352523,P,0.522,0.974,0.851,12.9,3
lmc_sc3_35360,P,0.518,1.0,0.311,0.0,1
lmc_sc3_35362,P,0.825,1.0,0.311,0.0,1
lmc_sc3_35874,P,0.058,0.913,0.045,4.6,3
lmc_sc3_36043,P,0.851,1.0,0.052,0.0,1
lmc_sc3_36396,P,0.625,1.0,0.179,0.0,1
lmc_sc3_385082,P,0.774,1.0,0.673,0.0,1
lmc_sc3_385318,P,0.336,0.907,0.466,6.3,3
lmc_sc3_385543,P,0.199,0.927,0.207,7.9,3
lmc_sc3_393194,P,0.369,1.0,0.414,0.0,1
lmc_sc3_400696,P,0.576,1.0,0.414,0.0,1
lmc_sc3_400956,P,0.477,1.0,0.155,0.0,1
lmc_sc3_401581,P,0.362,1.0,0.045,0.0,1
lmc_sc3_401700,P,0.831,1.0,0.269,0.0,1
lmc_sc3_408735,P,0.234,0.569,0.414,7.6,3
lmc_sc3_415377,P,0.881,1.0,0.155,0.0,1
lmc_sc3_415478,P,0.219,0.946,0.207,0.0,1
lmc_sc3_421503,P,0.38,0.871,0.518,14.2,3
